datetime,YFIUSD_open,YFIUSD_high,YFIUSD_low,YFIUSD_close
2022-01-01 00:00:00,33022.31,33641.52,33018.44,33450.48
2022-01-01 01:00:00,33455.75,33967.5,33319.76,33705.87
2022-01-01 02:00:00,33705.87,33727.59,33286.6,33648.62
2022-01-01 03:00:00,33680.05,33746.62,33400.68,33576.89
2022-01-01 04:00:00,33571.96,33943.64,33302.28,33757.89
2022-01-01 05:00:00,33752.32,34291.22,33724.48,33886.96
2022-01-01 06:00:00,33883.45,33896.43,33229.33,33308.08
2022-01-01 07:00:00,33308.59,33351.73,32790.0,33111.43
2022-01-01 08:00:00,33126.79,33187.09,32673.88,32736.1
2022-01-01 09:00:00,32721.64,33182.94,32642.91,32913.45
2022-01-01 10:00:00,32909.3,33770.52,32480.0,33310.08
2022-01-01 11:00:00,33314.78,33992.91,33200.0,33597.78
2022-01-01 12:00:00,33574.21,33838.53,33206.29,33246.07
2022-01-01 13:00:00,33269.95,33816.67,33069.29,33570.82
2022-01-01 14:00:00,33557.84,34403.35,33552.77,34157.3
2022-01-01 15:00:00,34162.04,34508.7,34140.4,34190.31
2022-01-01 16:00:00,34230.34,34766.45,34150.12,34646.58
2022-01-01 17:00:00,34656.74,35240.49,34656.74,35010.6
2022-01-01 18:00:00,35014.94,36600.0,34741.52,36437.67
2022-01-01 19:00:00,36443.05,37800.0,36302.1,37616.82
2022-01-01 20:00:00,37613.71,37800.0,37228.51,37437.27
2022-01-01 21:00:00,37428.98,38499.0,37428.98,37781.65
2022-01-01 22:00:00,37807.49,37945.05,36517.24,36926.24
2022-01-01 23:00:00,36904.53,36923.82,35974.92,36575.08
2022-01-02 00:00:00,36606.07,36679.93,35781.32,36178.56
2022-01-02 01:00:00,36191.82,36275.72,35878.75,36210.4
2022-01-02 02:00:00,36210.35,36530.07,35829.73,36314.25
2022-01-02 03:00:00,36283.51,36641.3,36048.8,36387.85
2022-01-02 04:00:00,36365.29,37413.76,35637.82,36040.0
2022-01-02 05:00:00,36030.0,36678.4,35956.17,36272.66
2022-01-02 06:00:00,36245.9,36420.55,35766.9,35906.96
2022-01-02 07:00:00,35884.64,36269.26,35849.31,36131.06
2022-01-02 08:00:00,36131.98,36501.24,35870.0,35970.0
2022-01-02 09:00:00,35960.0,36286.34,35881.55,36024.06
2022-01-02 10:00:00,36006.38,36400.38,35851.85,35958.98
2022-01-02 11:00:00,35966.25,36661.31,35943.03,36589.13
2022-01-02 12:00:00,36612.77,37500.0,36278.9,37438.96
2022-01-02 13:00:00,37441.95,38355.04,37392.5,38154.12
2022-01-02 14:00:00,38177.08,38763.83,37489.1,38097.47
2022-01-02 15:00:00,38070.7,38317.19,37617.57,37711.35
2022-01-02 16:00:00,37690.0,38027.49,37301.63,37892.33
2022-01-02 17:00:00,37873.5,38006.55,37243.29,37452.14
2022-01-02 18:00:00,37466.77,38407.15,37400.0,38221.39
2022-01-02 19:00:00,38202.0,38202.0,37500.0,37875.46
2022-01-02 20:00:00,37857.59,38740.73,37823.76,38720.92
2022-01-02 21:00:00,38709.41,39483.92,38444.99,39406.97
2022-01-02 22:00:00,39449.38,39475.42,38563.62,39099.96
2022-01-02 23:00:00,39082.01,39398.89,38891.36,39116.51
2022-01-03 00:00:00,39116.21,40628.66,38990.52,40291.21
2022-01-03 01:00:00,40273.61,41000.0,40185.2,40551.07
2022-01-03 02:00:00,40551.07,41724.19,40215.46,41024.1
2022-01-03 03:00:00,41020.07,41191.04,40361.84,41037.5
2022-01-03 04:00:00,41042.36,41434.29,40606.79,41322.52
2022-01-03 05:00:00,41310.89,41500.0,40849.04,40948.64
2022-01-03 06:00:00,40929.63,41121.62,40590.24,41047.15
2022-01-03 07:00:00,41053.86,41298.34,40639.45,40697.23
2022-01-03 08:00:00,40692.42,40710.9,40143.81,40259.03
2022-01-03 09:00:00,40250.12,40371.93,39725.25,39980.57
2022-01-03 10:00:00,39968.07,40160.16,39555.0,39898.59
2022-01-03 11:00:00,39857.73,40452.99,39744.37,40302.56
2022-01-03 12:00:00,40320.56,40672.79,39897.15,39919.03
2022-01-03 13:00:00,39935.42,40683.72,39912.13,40410.58
2022-01-03 14:00:00,40421.42,41353.53,40348.33,40905.93
2022-01-03 15:00:00,40903.0,41629.33,40638.39,41333.86
2022-01-03 16:00:00,41312.72,41500.0,40156.22,40241.38
2022-01-03 17:00:00,40220.7,40309.01,38512.86,38899.39
2022-01-03 18:00:00,38902.92,38902.92,38100.0,38275.0
2022-01-03 19:00:00,38289.98,39036.11,38209.62,38693.6
2022-01-03 20:00:00,38703.39,38955.4,37827.12,38508.69
2022-01-03 21:00:00,38458.07,38955.7,38255.0,38429.98
2022-01-03 22:00:00,38454.27,39829.82,38421.0,39376.99
2022-01-03 23:00:00,39367.54,39550.0,38646.43,38753.93
2022-01-04 00:00:00,38739.69,39173.61,37950.0,38002.57
2022-01-04 01:00:00,37982.84,38499.23,37809.62,37853.17
2022-01-04 02:00:00,37857.02,38427.06,37652.45,38144.98
2022-01-04 03:00:00,38120.6,38359.16,37877.6,38294.62
2022-01-04 04:00:00,38259.89,39168.62,38196.6,38328.78
2022-01-04 05:00:00,38328.79,38889.68,38228.92,38733.88
2022-01-04 06:00:00,38764.05,38923.65,38429.56,38851.38
2022-01-04 07:00:00,38837.63,39404.76,38819.23,38934.85
2022-01-04 08:00:00,38959.52,39059.97,38677.1,38889.6
2022-01-04 09:00:00,38892.45,39338.93,38817.94,38940.81
2022-01-04 10:00:00,38958.87,39136.8,38580.65,38658.4
2022-01-04 11:00:00,38674.23,39183.3,38633.9,39069.81
2022-01-04 12:00:00,39100.42,39130.96,38487.05,38644.52
