datetime,KNCUSD_open,KNCUSD_high,KNCUSD_low,KNCUSD_close
2022-01-10 04:00:00,1.4592,1.4732,1.4373,1.4705
2022-01-10 05:00:00,1.4691,1.4726,1.4368,1.4484
2022-01-10 06:00:00,1.4478,1.4662,1.415,1.423
2022-01-10 07:00:00,1.423,1.4589,1.4144,1.4434
2022-01-10 08:00:00,1.4399,1.4499,1.4142,1.4178
2022-01-10 09:00:00,1.4154,1.4734,1.4103,1.4103
2022-01-10 10:00:00,1.4135,1.4183,1.3913,1.4164
2022-01-10 11:00:00,1.4164,1.51,1.4081,1.4643
2022-01-10 12:00:00,1.4643,1.4672,1.3902,1.3983
2022-01-10 13:00:00,1.399,1.3992,1.3615,1.3682
2022-01-10 14:00:00,1.3667,1.4542,1.3654,1.3992
2022-01-10 15:00:00,1.4028,1.406,1.3654,1.3749
2022-01-10 16:00:00,1.372,1.3984,1.3658,1.3863
2022-01-10 17:00:00,1.3837,1.4136,1.3589,1.3959
2022-01-10 18:00:00,1.3928,1.4111,1.3799,1.38
2022-01-10 19:00:00,1.38,1.4161,1.3428,1.369
2022-01-10 20:00:00,1.3691,1.3851,1.3547,1.3697
2022-01-10 21:00:00,1.3716,1.3935,1.3478,1.3676
2022-01-10 22:00:00,1.3696,1.3804,1.3482,1.3609
2022-01-10 23:00:00,1.3609,1.3811,1.3526,1.3749
2022-01-11 00:00:00,1.3736,1.3891,1.342,1.3714
2022-01-11 01:00:00,1.3726,1.4783,1.35,1.4124
2022-01-11 02:00:00,1.4108,1.4684,1.4101,1.4133
2022-01-11 03:00:00,1.4142,1.418,1.381,1.406
2022-01-11 04:00:00,1.4047,1.4519,1.3806,1.4077
2022-01-11 05:00:00,1.4121,1.4217,1.3716,1.3728
2022-01-11 06:00:00,1.3728,1.4032,1.3728,1.3834
2022-01-11 07:00:00,1.3878,1.3969,1.3747,1.3969
2022-01-11 08:00:00,1.3936,1.404,1.3851,1.393
2022-01-11 09:00:00,1.393,1.3945,1.3798,1.3871
2022-01-11 10:00:00,1.3867,1.3923,1.3705,1.3798
2022-01-11 11:00:00,1.3778,1.4311,1.3718,1.4004
2022-01-11 12:00:00,1.3985,1.4053,1.3853,1.3996
2022-01-11 13:00:00,1.3961,1.3992,1.3711,1.3737
2022-01-11 14:00:00,1.3744,1.4551,1.3675,1.4458
2022-01-11 15:00:00,1.4424,1.4727,1.4031,1.4229
2022-01-11 16:00:00,1.4229,1.45,1.398,1.4001
2022-01-11 17:00:00,1.4002,1.4112,1.3773,1.3954
2022-01-11 18:00:00,1.3943,1.4073,1.3842,1.3915
2022-01-11 19:00:00,1.3934,1.3989,1.3767,1.391
2022-01-11 20:00:00,1.3911,1.4136,1.3888,1.4016
2022-01-11 21:00:00,1.3999,1.4042,1.38,1.384
2022-01-11 22:00:00,1.3841,1.4028,1.3803,1.3843
2022-01-11 23:00:00,1.3843,1.385,1.3593,1.3709
2022-01-12 00:00:00,1.3732,1.3997,1.3603,1.3658
2022-01-12 01:00:00,1.3642,1.3901,1.3609,1.3726
2022-01-12 02:00:00,1.3738,1.3842,1.36,1.3648
2022-01-12 03:00:00,1.3666,1.3699,1.3601,1.3671
2022-01-12 04:00:00,1.3669,1.379,1.362,1.3709
2022-01-12 05:00:00,1.3675,1.3754,1.3642,1.375
2022-01-12 06:00:00,1.3752,1.406,1.3701,1.3856
2022-01-12 07:00:00,1.3857,1.3876,1.3782,1.3815
2022-01-12 08:00:00,1.3822,1.3842,1.375,1.379
2022-01-12 09:00:00,1.377,1.4217,1.3757,1.4071
2022-01-12 10:00:00,1.4078,1.4078,1.38,1.3825
2022-01-12 11:00:00,1.3844,1.404,1.3793,1.3971
2022-01-12 12:00:00,1.3965,1.4073,1.3935,1.3997
2022-01-12 13:00:00,1.4009,1.4119,1.3903,1.4094
2022-01-12 14:00:00,1.4109,1.4109,1.3942,1.4014
2022-01-12 15:00:00,1.4055,1.4199,1.393,1.4143
2022-01-12 16:00:00,1.4144,1.465,1.4095,1.4535
2022-01-12 17:00:00,1.4517,1.4828,1.4334,1.443
2022-01-12 18:00:00,1.4432,1.4532,1.43,1.4333
2022-01-12 19:00:00,1.4306,1.4514,1.43,1.4353
