datetime,BTCBUSD_open,BTCBUSD_high,BTCBUSD_low,BTCBUSD_close
2022-01-01 00:00:00,46710.73,47552.69,46679.66,47191.72
2022-01-01 01:00:00,47196.74,47320.0,46948.5,46983.38
2022-01-01 02:00:00,46983.38,47249.14,46896.35,47202.17
2022-01-01 03:00:00,47201.75,47357.08,47082.24,47122.84
2022-01-01 04:00:00,47122.85,47206.35,46942.76,47140.29
2022-01-01 05:00:00,47140.28,47293.36,46722.49,46876.84
2022-01-01 06:00:00,46876.84,47000.0,46760.56,46765.22
2022-01-01 07:00:00,46765.22,47167.1,46765.22,47079.78
2022-01-01 08:00:00,47079.79,47191.62,46945.3,47020.93
2022-01-01 09:00:00,47020.84,47100.0,46856.49,46925.06
2022-01-01 10:00:00,46925.05,47490.0,46881.0,47222.77
2022-01-01 11:00:00,47222.78,47520.0,47185.72,47277.39
2022-01-01 12:00:00,47277.39,47939.99,47234.77,47757.44
2022-01-01 13:00:00,47757.42,47833.32,47430.0,47563.3
2022-01-01 14:00:00,47563.31,47612.71,47300.38,47337.19
2022-01-01 15:00:00,47337.18,47559.56,47258.03,47401.67
2022-01-01 16:00:00,47401.67,47537.82,47285.37,47328.13
2022-01-01 17:00:00,47328.13,47490.65,47236.53,47442.79
2022-01-01 18:00:00,47442.78,47819.27,47287.4,47729.83
2022-01-01 19:00:00,47729.83,47758.47,47388.44,47635.41
2022-01-01 20:00:00,47636.38,47661.58,47325.77,47380.58
2022-01-01 21:00:00,47380.58,47453.54,47294.11,47375.09
2022-01-01 22:00:00,47375.09,47463.06,47275.0,47338.69
2022-01-01 23:00:00,47338.69,47423.22,46780.0,46916.22
2022-01-02 00:00:00,46916.22,47094.0,46822.66,47084.29
2022-01-02 01:00:00,47084.29,47245.45,47019.2,47131.53
2022-01-02 02:00:00,47131.54,47300.0,47100.0,47183.75
2022-01-02 03:00:00,47183.77,47257.68,46985.45,47228.58
2022-01-02 04:00:00,47229.54,47500.0,47155.29,47282.53
2022-01-02 05:00:00,47282.54,47349.91,47151.34,47191.07
2022-01-02 06:00:00,47191.07,47385.98,47173.19,47236.37
2022-01-02 07:00:00,47236.38,47452.7,47025.29,47297.92
2022-01-02 08:00:00,47297.91,47303.77,47100.1,47147.26
2022-01-02 09:00:00,47144.74,47201.74,47030.02,47122.47
2022-01-02 10:00:00,47118.89,47393.18,47082.57,47348.38
2022-01-02 11:00:00,47348.38,47882.33,47287.99,47799.98
2022-01-02 12:00:00,47799.96,47998.49,47330.56,47408.2
2022-01-02 13:00:00,47408.19,47408.96,46671.57,47064.97
2022-01-02 14:00:00,47063.71,47226.84,46862.6,46916.23
2022-01-02 15:00:00,46916.24,47056.34,46832.12,47013.48
2022-01-02 16:00:00,47012.63,47178.69,46930.16,47030.94
2022-01-02 17:00:00,47030.94,47408.0,47029.16,47263.07
2022-01-02 18:00:00,47263.07,47499.72,47263.07,47293.15
2022-01-02 19:00:00,47293.16,47299.99,47055.55,47059.37
2022-01-02 20:00:00,47059.45,47143.84,46959.57,47125.14
2022-01-02 21:00:00,47125.14,47125.14,46862.24,47005.45
2022-01-02 22:00:00,47005.44,47090.86,46730.0,46800.08
2022-01-02 23:00:00,46804.81,46949.99,46761.12,46826.66
2022-01-03 00:00:00,46826.67,47211.41,46778.15,47088.15
2022-01-03 01:00:00,47086.89,47101.8,46888.98,46928.15
2022-01-03 02:00:00,46928.14,47080.01,46862.25,47048.39
2022-01-03 03:00:00,47051.6,47136.09,46930.0,46982.91
2022-01-03 04:00:00,46982.92,47106.14,46780.0,46989.29
2022-01-03 05:00:00,46989.29,47249.97,46989.29,47130.88
2022-01-03 06:00:00,47137.63,47441.6,47133.85,47380.0
2022-01-03 07:00:00,47382.44,47580.0,47187.77,47200.01
2022-01-03 08:00:00,47200.0,47361.08,47134.0,47156.29
2022-01-03 09:00:00,47156.16,47286.94,46772.37,46873.4
2022-01-03 10:00:00,46873.41,47016.16,46580.66,46694.6
2022-01-03 11:00:00,46694.59,46786.55,46275.0,46481.04
2022-01-03 12:00:00,46481.03,46789.0,46420.01,46584.04
2022-01-03 13:00:00,46584.03,46740.0,46417.26,46476.19
2022-01-03 14:00:00,46476.19,46648.52,46360.0,46364.48
2022-01-03 15:00:00,46364.48,46400.0,45700.0,45922.2
2022-01-03 16:00:00,45922.22,46259.35,45809.96,45987.23
2022-01-03 17:00:00,45987.01,46440.0,45970.09,46222.14
2022-01-03 18:00:00,46222.16,46568.99,46174.76,46450.22
2022-01-03 19:00:00,46450.22,46536.75,46162.68,46252.82
2022-01-03 20:00:00,46248.47,46400.0,46053.3,46064.5
2022-01-03 21:00:00,46064.51,46261.63,45951.65,46110.46
2022-01-03 22:00:00,46109.99,46376.53,46018.29,46322.85
2022-01-03 23:00:00,46322.85,46407.76,46022.35,46098.55
2022-01-04 00:00:00,46098.52,46288.03,46023.49,46151.15
2022-01-04 01:00:00,46151.15,46385.0,46067.89,46371.23
2022-01-04 02:00:00,46370.27,46580.09,46325.92,46553.63
2022-01-04 03:00:00,46553.71,46700.0,46400.0,46498.09
2022-01-04 04:00:00,46498.09,46600.0,46307.54,46361.68
2022-01-04 05:00:00,46362.37,46751.0,46305.0,46634.8
