datetime,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close
2022-01-05 20:00:00,158.33,159.75,155.25,156.24
2022-01-05 21:00:00,156.1,158.25,153.39,153.39
2022-01-05 22:00:00,153.36,154.31,145.0,151.45
2022-01-05 23:00:00,151.42,156.03,151.21,154.37
2022-01-06 00:00:00,154.53,154.79,152.75,154.41
2022-01-06 01:00:00,154.32,154.34,151.65,152.33
2022-01-06 02:00:00,152.3,152.67,150.54,150.87
2022-01-06 03:00:00,150.75,151.36,148.0,148.11
2022-01-06 04:00:00,148.13,150.57,147.02,149.35
2022-01-06 05:00:00,149.46,150.92,148.59,149.37
2022-01-06 06:00:00,149.37,150.66,148.67,149.12
2022-01-06 07:00:00,149.16,150.84,148.79,150.84
2022-01-06 08:00:00,150.89,150.93,148.86,149.73
2022-01-06 09:00:00,149.75,149.75,146.79,147.31
2022-01-06 10:00:00,147.29,148.74,146.18,148.34
2022-01-06 11:00:00,148.43,148.74,146.64,147.52
2022-01-06 12:00:00,147.5,149.06,146.3,149.06
2022-01-06 13:00:00,149.09,149.83,148.38,149.44
2022-01-06 14:00:00,149.44,151.1,148.06,148.44
2022-01-06 15:00:00,148.52,150.0,147.34,149.68
2022-01-06 16:00:00,149.7,150.51,148.91,150.38
2022-01-06 17:00:00,150.47,152.76,150.26,152.19
2022-01-06 18:00:00,152.24,154.37,152.03,154.3
2022-01-06 19:00:00,154.25,154.32,153.41,153.91
2022-01-06 20:00:00,153.75,153.83,151.17,151.58
2022-01-06 21:00:00,151.65,152.16,151.07,151.11
2022-01-06 22:00:00,151.24,152.16,150.5,151.95
2022-01-06 23:00:00,152.07,152.07,150.06,150.29
2022-01-07 00:00:00,150.28,150.68,145.69,146.12
2022-01-07 01:00:00,146.25,147.78,146.12,147.14
2022-01-07 02:00:00,147.15,147.5,144.54,144.97
2022-01-07 03:00:00,145.04,145.11,137.92,139.6
2022-01-07 04:00:00,139.63,140.72,135.45,140.53
2022-01-07 05:00:00,140.61,141.17,138.85,139.86
2022-01-07 06:00:00,139.96,140.12,136.33,137.06
2022-01-07 07:00:00,137.02,139.37,134.55,138.93
2022-01-07 08:00:00,138.87,143.37,138.35,139.44
2022-01-07 09:00:00,139.63,142.19,139.29,141.02
2022-01-07 10:00:00,141.0,141.53,139.12,139.21
2022-01-07 11:00:00,139.12,140.24,138.4,139.38
2022-01-07 12:00:00,139.39,142.01,139.39,140.86
2022-01-07 13:00:00,140.95,142.79,135.96,137.9
2022-01-07 14:00:00,138.14,140.54,137.44,139.89
2022-01-07 15:00:00,139.86,139.86,133.08,135.93
2022-01-07 16:00:00,135.84,140.12,134.45,139.46
2022-01-07 17:00:00,139.67,140.22,138.09,140.22
2022-01-07 18:00:00,140.26,140.4,138.45,139.49
2022-01-07 19:00:00,139.65,140.63,138.37,140.27
2022-01-07 20:00:00,140.41,141.25,138.71,139.77
2022-01-07 21:00:00,139.82,140.44,139.33,139.52
2022-01-07 22:00:00,139.5,139.5,136.09,136.79
2022-01-07 23:00:00,136.62,137.44,135.96,136.67
2022-01-08 00:00:00,136.76,140.03,135.82,139.95
2022-01-08 01:00:00,139.96,141.55,139.64,139.85
2022-01-08 02:00:00,140.02,140.08,138.35,139.82
2022-01-08 03:00:00,139.79,139.84,138.28,139.67
2022-01-08 04:00:00,139.67,141.88,139.38,140.92
2022-01-08 05:00:00,140.91,141.97,140.73,141.89
2022-01-08 06:00:00,141.85,143.77,140.46,143.68
2022-01-08 07:00:00,143.39,144.63,142.57,144.41
2022-01-08 08:00:00,144.5,146.34,144.33,146.15
2022-01-08 09:00:00,146.33,146.97,145.75,146.89
2022-01-08 10:00:00,146.97,148.06,145.87,146.65
2022-01-08 11:00:00,146.66,146.67,144.82,146.4
2022-01-08 12:00:00,146.28,146.77,144.1,145.15
2022-01-08 13:00:00,145.15,146.08,144.53,145.56
2022-01-08 14:00:00,145.56,145.71,143.26,143.59
2022-01-08 15:00:00,143.48,144.72,142.31,144.27
2022-01-08 16:00:00,144.22,146.16,139.89,140.64
2022-01-08 17:00:00,140.66,141.21,135.06,135.47
2022-01-08 18:00:00,135.48,138.5,133.11,133.63
2022-01-08 19:00:00,133.84,136.4,133.22,135.42
2022-01-08 20:00:00,135.31,139.0,134.63,137.59
2022-01-08 21:00:00,137.44,145.91,137.42,144.51
2022-01-08 22:00:00,144.48,146.93,143.54,144.51
2022-01-08 23:00:00,144.22,144.22,141.61,142.17
2022-01-09 00:00:00,142.06,145.33,140.75,144.58
2022-01-09 01:00:00,144.61,145.26,141.77,142.61
2022-01-09 02:00:00,142.84,144.49,141.83,143.95
2022-01-09 03:00:00,143.85,143.96,141.5,141.95
2022-01-09 04:00:00,141.9,143.62,141.85,143.58
2022-01-09 05:00:00,143.65,143.71,140.95,141.21
2022-01-09 06:00:00,141.28,142.17,140.44,141.65
2022-01-09 07:00:00,141.65,141.99,140.09,140.45
2022-01-09 08:00:00,140.46,141.22,139.09,139.47
2022-01-09 09:00:00,139.34,139.94,138.38,138.84
2022-01-09 10:00:00,138.63,140.0,137.9,139.88
2022-01-09 11:00:00,139.85,141.16,139.78,140.65
2022-01-09 12:00:00,140.73,140.87,139.16,139.85
2022-01-09 13:00:00,139.87,140.72,138.46,138.5
2022-01-09 14:00:00,138.5,140.54,138.4,139.78
2022-01-09 15:00:00,139.89,140.24,137.89,140.1
2022-01-09 16:00:00,140.26,143.43,139.65,143.43
2022-01-09 17:00:00,143.51,144.77,142.48,144.52
2022-01-09 18:00:00,144.76,145.0,143.16,143.2
2022-01-09 19:00:00,143.2,145.69,143.0,145.35
2022-01-09 20:00:00,145.33,145.61,143.62,143.62
2022-01-09 21:00:00,143.55,143.89,142.08,142.29
2022-01-09 22:00:00,142.33,142.56,140.81,141.63
2022-01-09 23:00:00,141.52,141.67,140.03,140.8
2022-01-10 00:00:00,140.81,142.53,140.16,140.55
2022-01-10 01:00:00,140.4,141.34,139.96,140.37
2022-01-10 02:00:00,140.29,141.35,138.89,140.82
2022-01-10 03:00:00,140.74,140.75,139.88,140.6
2022-01-10 04:00:00,140.56,143.57,140.33,143.18
2022-01-10 05:00:00,143.35,143.35,142.44,142.91
2022-01-10 06:00:00,142.94,143.23,142.29,142.35
2022-01-10 07:00:00,142.44,143.74,142.29,143.27
2022-01-10 08:00:00,143.37,143.43,141.15,141.5
2022-01-10 09:00:00,141.43,142.11,141.19,141.36
2022-01-10 10:00:00,141.29,142.17,140.77,140.8
2022-01-10 11:00:00,140.73,140.8,138.97,139.41
2022-01-10 12:00:00,139.47,139.78,135.47,135.59
2022-01-10 13:00:00,135.52,136.77,135.09,135.44
2022-01-10 14:00:00,135.52,135.65,129.93,133.43
2022-01-10 15:00:00,133.62,135.54,130.77,133.17
2022-01-10 16:00:00,133.12,137.2,132.47,136.79
2022-01-10 17:00:00,136.88,137.51,131.02,133.26
2022-01-10 18:00:00,132.75,134.7,132.73,133.77
2022-01-10 19:00:00,133.73,134.62,132.34,132.78
2022-01-10 20:00:00,132.87,135.74,131.9,135.31
2022-01-10 21:00:00,135.27,135.64,134.59,135.14
2022-01-10 22:00:00,135.23,135.95,134.52,134.94
2022-01-10 23:00:00,134.64,136.11,134.44,136.05
2022-01-11 00:00:00,136.06,136.16,135.06,135.19
2022-01-11 01:00:00,135.13,135.71,133.58,135.64
2022-01-11 02:00:00,135.69,137.47,135.46,136.82
2022-01-11 03:00:00,136.73,137.46,136.04,137.39
2022-01-11 04:00:00,137.27,137.9,136.11,136.61
2022-01-11 05:00:00,136.56,136.56,135.02,135.69
2022-01-11 06:00:00,135.68,136.91,135.53,136.91
2022-01-11 07:00:00,136.91,137.35,136.28,137.34
2022-01-11 08:00:00,137.33,138.5,136.13,136.5
2022-01-11 09:00:00,136.59,136.9,135.37,136.11
2022-01-11 10:00:00,136.03,136.67,134.31,134.52
2022-01-11 11:00:00,134.58,136.16,134.52,135.45
2022-01-11 12:00:00,135.53,137.07,135.14,136.55
2022-01-11 13:00:00,136.68,137.09,135.69,136.81
2022-01-11 14:00:00,136.8,137.72,135.1,136.32
2022-01-11 15:00:00,136.3,138.01,135.85,137.16
2022-01-11 16:00:00,137.19,141.41,137.0,140.62
2022-01-11 17:00:00,140.69,143.4,140.19,141.64
2022-01-11 18:00:00,141.86,143.49,140.59,142.32
2022-01-11 19:00:00,142.44,142.84,141.51,142.44
2022-01-11 20:00:00,142.37,143.11,141.6,141.96
2022-01-11 21:00:00,141.97,142.21,140.88,141.02
2022-01-11 22:00:00,141.14,141.14,140.12,140.18
2022-01-11 23:00:00,140.28,140.85,139.7,140.2
2022-01-12 00:00:00,140.12,141.48,139.9,139.98
2022-01-12 01:00:00,140.0,140.21,139.16,140.13
2022-01-12 02:00:00,140.04,141.13,140.04,140.72
2022-01-12 03:00:00,140.82,141.06,139.96,140.15
2022-01-12 04:00:00,140.09,140.34,139.63,139.98
2022-01-12 05:00:00,140.01,140.36,139.65,140.32
2022-01-12 06:00:00,140.4,140.8,139.39,139.59
2022-01-12 07:00:00,139.53,139.73,138.26,139.04
2022-01-12 08:00:00,138.85,140.24,138.85,139.6
2022-01-12 09:00:00,139.77,144.12,139.64,141.97
2022-01-12 10:00:00,141.98,142.61,140.5,140.72
2022-01-12 11:00:00,140.7,142.53,140.04,141.3
2022-01-12 12:00:00,141.31,143.68,141.3,143.58
2022-01-12 13:00:00,143.59,147.76,142.54,147.53
2022-01-12 14:00:00,147.24,147.55,145.6,147.11
2022-01-12 15:00:00,147.12,148.58,146.39,147.71
2022-01-12 16:00:00,147.78,152.3,147.65,152.07
2022-01-12 17:00:00,152.04,152.04,150.3,151.08
2022-01-12 18:00:00,151.09,151.41,150.31,150.61
2022-01-12 19:00:00,150.67,153.18,149.22,152.74
2022-01-12 20:00:00,152.78,153.19,151.26,151.83
2022-01-12 21:00:00,151.8,153.27,151.61,152.13
2022-01-12 22:00:00,152.14,152.77,151.63,152.31
2022-01-12 23:00:00,152.31,152.55,151.34,151.47
2022-01-13 00:00:00,151.36,152.11,150.49,150.73
2022-01-13 01:00:00,150.91,151.04,149.24,149.43
2022-01-13 02:00:00,149.57,150.18,149.22,149.36
2022-01-13 03:00:00,149.25,149.63,148.18,148.64
2022-01-13 04:00:00,148.68,149.63,148.66,148.99
2022-01-13 05:00:00,149.07,149.95,148.75,149.57
2022-01-13 06:00:00,149.47,150.94,149.34,150.38
2022-01-13 07:00:00,150.25,151.6,150.04,151.35
2022-01-13 08:00:00,151.3,152.52,151.28,151.87
2022-01-13 09:00:00,151.86,152.1,151.0,151.86
2022-01-13 10:00:00,151.81,152.76,151.69,151.88
2022-01-13 11:00:00,151.99,151.99,149.93,150.27
2022-01-13 12:00:00,150.43,153.84,150.43,153.71
2022-01-13 13:00:00,153.67,154.95,153.54,154.8
2022-01-13 14:00:00,154.9,157.76,154.57,157.16
2022-01-13 15:00:00,157.12,157.3,151.65,154.9
2022-01-13 16:00:00,154.88,155.21,152.49,152.49
2022-01-13 17:00:00,152.48,152.98,148.62,150.56
2022-01-13 18:00:00,150.5,151.72,148.75,149.43
2022-01-13 19:00:00,149.77,151.4,146.59,147.32
2022-01-13 20:00:00,147.2,148.37,145.55,148.37
2022-01-13 21:00:00,148.4,149.87,147.98,149.0
2022-01-13 22:00:00,148.93,149.4,146.28,146.51
2022-01-13 23:00:00,146.42,147.5,145.55,146.35
2022-01-14 00:00:00,146.4,147.99,144.54,147.43
2022-01-14 01:00:00,147.46,147.9,146.77,147.46
2022-01-14 02:00:00,147.42,147.89,145.7,147.85
2022-01-14 03:00:00,147.9,147.95,146.77,147.54
2022-01-14 04:00:00,147.72,148.94,147.44,147.97
2022-01-14 05:00:00,148.03,149.4,147.16,149.4
2022-01-14 06:00:00,149.41,150.57,148.74,149.35
2022-01-14 07:00:00,149.24,149.48,146.79,147.57
2022-01-14 08:00:00,147.55,147.55,145.18,146.3
2022-01-14 09:00:00,146.39,147.34,146.25,146.66
2022-01-14 10:00:00,146.71,146.95,142.56,143.15
2022-01-14 11:00:00,143.04,143.7,141.95,143.38
2022-01-14 12:00:00,143.42,144.87,142.0,143.87
2022-01-14 13:00:00,143.99,145.26,142.84,143.27
2022-01-14 14:00:00,143.21,146.99,142.94,146.53
2022-01-14 15:00:00,146.62,148.41,145.73,147.38
2022-01-14 16:00:00,147.29,148.12,145.71,147.86
2022-01-14 17:00:00,147.8,148.56,145.75,145.84
2022-01-14 18:00:00,145.73,147.14,145.68,146.97
2022-01-14 19:00:00,147.05,149.86,146.77,148.52
2022-01-14 20:00:00,148.45,148.97,146.61,146.61
2022-01-14 21:00:00,146.61,147.55,146.25,146.92
2022-01-14 22:00:00,146.88,147.48,146.2,147.06
2022-01-14 23:00:00,147.06,147.28,145.38,146.17
2022-01-15 00:00:00,146.15,146.43,145.03,145.74
2022-01-15 01:00:00,145.85,146.91,145.46,146.49
2022-01-15 02:00:00,146.38,147.32,145.96,147.11
2022-01-15 03:00:00,146.98,147.0,145.6,145.91
2022-01-15 04:00:00,145.93,146.23,144.61,145.19
2022-01-15 05:00:00,145.28,145.82,145.14,145.25
2022-01-15 06:00:00,145.29,145.59,144.76,145.59
