datetime,IDEXBUSD_open,IDEXBUSD_high,IDEXBUSD_low,IDEXBUSD_close
2022-01-01 00:00:00,0.26246,0.26571,0.26208,0.263
2022-01-01 01:00:00,0.26292,0.26409,0.2629,0.26291
2022-01-01 02:00:00,0.26291,0.265,0.26291,0.265
2022-01-01 03:00:00,0.26449,0.26552,0.26327,0.2642
2022-01-01 04:00:00,0.264,0.26485,0.26125,0.26314
2022-01-01 05:00:00,0.26347,0.26364,0.26061,0.26109
2022-01-01 06:00:00,0.2611,0.26231,0.26026,0.26115
2022-01-01 07:00:00,0.26109,0.26353,0.26067,0.26202
2022-01-01 08:00:00,0.26202,0.26419,0.26202,0.26341
2022-01-01 09:00:00,0.2634,0.26341,0.26214,0.26254
2022-01-01 10:00:00,0.2622,0.2642,0.26136,0.26297
2022-01-01 11:00:00,0.26313,0.26386,0.26156,0.2622
2022-01-01 12:00:00,0.26222,0.26459,0.2618,0.26459
2022-01-01 13:00:00,0.26463,0.26463,0.2628,0.2631
2022-01-01 14:00:00,0.26428,0.26428,0.26291,0.26407
2022-01-01 15:00:00,0.26408,0.26595,0.26354,0.26587
2022-01-01 16:00:00,0.26476,0.26586,0.26281,0.26365
2022-01-01 17:00:00,0.26298,0.26508,0.26298,0.2637
2022-01-01 18:00:00,0.26428,0.26645,0.26339,0.26645
2022-01-01 19:00:00,0.26591,0.26599,0.26379,0.26404
2022-01-01 20:00:00,0.26429,0.26429,0.262,0.26203
2022-01-01 21:00:00,0.26203,0.26276,0.26125,0.26138
2022-01-01 22:00:00,0.26192,0.26192,0.25956,0.26143
2022-01-01 23:00:00,0.26143,0.26149,0.25724,0.2586
2022-01-02 00:00:00,0.25861,0.26114,0.25712,0.26113
2022-01-02 01:00:00,0.26058,0.26161,0.26054,0.2609
2022-01-02 02:00:00,0.261,0.26499,0.26065,0.26362
2022-01-02 03:00:00,0.26336,0.265,0.26056,0.26124
2022-01-02 04:00:00,0.26147,0.26299,0.26116,0.26219
2022-01-02 05:00:00,0.2622,0.263,0.26142,0.26251
2022-01-02 06:00:00,0.26252,0.2628,0.26145,0.26254
2022-01-02 07:00:00,0.26254,0.26307,0.26153,0.26197
2022-01-02 08:00:00,0.26197,0.26405,0.2607,0.26331
2022-01-02 09:00:00,0.2633,0.26386,0.26238,0.26269
2022-01-02 10:00:00,0.26269,0.2635,0.26268,0.2635
2022-01-02 11:00:00,0.26306,0.26504,0.26288,0.26476
2022-01-02 12:00:00,0.26505,0.26511,0.26222,0.26247
2022-01-02 13:00:00,0.26248,0.26348,0.26013,0.26117
2022-01-02 14:00:00,0.26117,0.26169,0.25864,0.2596
2022-01-02 15:00:00,0.25977,0.26167,0.2595,0.26111
2022-01-02 16:00:00,0.26165,0.26353,0.26094,0.2634
2022-01-02 17:00:00,0.26341,0.26463,0.26139,0.2618
2022-01-02 18:00:00,0.262,0.26417,0.26016,0.26053
2022-01-02 19:00:00,0.26081,0.26121,0.25966,0.25966
2022-01-02 20:00:00,0.25968,0.26026,0.259,0.26017
2022-01-02 21:00:00,0.26017,0.26017,0.25858,0.25891
2022-01-02 22:00:00,0.2593,0.25949,0.25644,0.25747
