datetime,FTMBUSD_open,FTMBUSD_high,FTMBUSD_low,FTMBUSD_close
2022-01-01 00:00:00,2.2737,2.3905,2.2737,2.3694
2022-01-01 01:00:00,2.3679,2.3918,2.3346,2.3395
2022-01-01 02:00:00,2.3396,2.3756,2.3277,2.3689
2022-01-01 03:00:00,2.3654,2.37,2.3245,2.3329
2022-01-01 04:00:00,2.3335,2.344,2.3,2.3254
2022-01-01 05:00:00,2.3255,2.3396,2.291,2.3121
2022-01-01 06:00:00,2.314,2.3274,2.2979,2.2991
2022-01-01 07:00:00,2.3011,2.3476,2.3002,2.3396
2022-01-01 08:00:00,2.3387,2.3523,2.3302,2.336
2022-01-01 09:00:00,2.3364,2.3457,2.3141,2.3383
2022-01-01 10:00:00,2.3371,2.3844,2.3303,2.3633
2022-01-01 11:00:00,2.3587,2.4869,2.353,2.4805
2022-01-01 12:00:00,2.4814,2.5026,2.4582,2.4746
2022-01-01 13:00:00,2.4746,2.524,2.4688,2.5
2022-01-01 14:00:00,2.4984,2.4994,2.4665,2.4796
2022-01-01 15:00:00,2.48,2.4924,2.4586,2.4841
2022-01-01 16:00:00,2.4862,2.5131,2.482,2.5012
2022-01-01 17:00:00,2.5006,2.536,2.4929,2.5234
2022-01-01 18:00:00,2.5199,2.592,2.5076,2.5813
2022-01-01 19:00:00,2.5833,2.5928,2.5436,2.5697
2022-01-01 20:00:00,2.5706,2.5706,2.5133,2.5351
2022-01-01 21:00:00,2.5352,2.5735,2.5271,2.5709
2022-01-01 22:00:00,2.5683,2.6,2.55,2.5851
2022-01-01 23:00:00,2.5874,2.5881,2.5198,2.5454
2022-01-02 00:00:00,2.5445,2.574,2.5307,2.5358
2022-01-02 01:00:00,2.5353,2.567,2.5202,2.5508
2022-01-02 02:00:00,2.5513,2.5669,2.4997,2.5202
2022-01-02 03:00:00,2.5206,2.5369,2.4885,2.5311
2022-01-02 04:00:00,2.5309,2.543,2.4907,2.4981
2022-01-02 05:00:00,2.4952,2.5,2.4753,2.4768
2022-01-02 06:00:00,2.4764,2.4936,2.4605,2.4607
2022-01-02 07:00:00,2.4605,2.4894,2.4457,2.4713
2022-01-02 08:00:00,2.4703,2.4753,2.4558,2.4682
2022-01-02 09:00:00,2.467,2.5144,2.4665,2.4985
2022-01-02 10:00:00,2.4995,2.5211,2.486,2.5005
2022-01-02 11:00:00,2.5005,2.5649,2.4989,2.5588
2022-01-02 12:00:00,2.5588,2.5657,2.5262,2.5299
2022-01-02 13:00:00,2.5274,2.5275,2.4547,2.4864
2022-01-02 14:00:00,2.4873,2.5037,2.4768,2.4768
2022-01-02 15:00:00,2.4776,2.4813,2.4545,2.4743
2022-01-02 16:00:00,2.4731,2.4751,2.4621,2.4674
2022-01-02 17:00:00,2.4679,2.4914,2.4679,2.4812
2022-01-02 18:00:00,2.4854,2.5119,2.4777,2.4846
