datetime,PLAUSD_open,PLAUSD_high,PLAUSD_low,PLAUSD_close
2022-01-03 10:00:00,1.5491,1.5643,1.5347,1.5347
2022-01-03 11:00:00,1.5345,1.5561,1.5306,1.5561
2022-01-03 12:00:00,1.556,1.5647,1.549,1.5612
2022-01-03 13:00:00,1.5612,1.5652,1.5541,1.5576
2022-01-03 14:00:00,1.5587,1.5603,1.5291,1.533
2022-01-03 15:00:00,1.5395,1.5443,1.525,1.5257
2022-01-03 16:00:00,1.5264,1.5298,1.483,1.493
2022-01-03 17:00:00,1.4928,1.5199,1.4869,1.4987
2022-01-03 18:00:00,1.5051,1.51,1.4957,1.5004
2022-01-03 19:00:00,1.5038,1.5098,1.4985,1.5086
2022-01-03 20:00:00,1.5067,1.5067,1.4609,1.4734
2022-01-03 21:00:00,1.475,1.4884,1.4648,1.4824
2022-01-03 22:00:00,1.4777,1.4916,1.4657,1.487
2022-01-03 23:00:00,1.4886,1.505,1.4792,1.5001
2022-01-04 00:00:00,1.4916,1.5678,1.482,1.5281
2022-01-04 01:00:00,1.5253,1.5266,1.4862,1.4929
2022-01-04 02:00:00,1.4931,1.4931,1.4607,1.4634
2022-01-04 03:00:00,1.4606,1.4786,1.4512,1.4755
2022-01-04 04:00:00,1.474,1.479,1.4585,1.464
2022-01-04 05:00:00,1.4633,1.4754,1.4616,1.4664
2022-01-04 06:00:00,1.4646,1.4804,1.4612,1.4804
2022-01-04 07:00:00,1.4804,1.4906,1.4791,1.4906
2022-01-04 08:00:00,1.4907,1.4964,1.4793,1.4856
2022-01-04 09:00:00,1.4891,1.4892,1.4718,1.4796
2022-01-04 10:00:00,1.4774,1.4861,1.4698,1.4861
2022-01-04 11:00:00,1.485,1.4939,1.4822,1.4875
2022-01-04 12:00:00,1.4858,1.4904,1.4683,1.4724
2022-01-04 13:00:00,1.4759,1.489,1.4659,1.4833
2022-01-04 14:00:00,1.4869,1.496,1.4759,1.4923
2022-01-04 15:00:00,1.4927,1.4965,1.4773,1.4773
2022-01-04 16:00:00,1.4808,1.4882,1.4731,1.4882
2022-01-04 17:00:00,1.4856,1.4929,1.4755,1.4764
2022-01-04 18:00:00,1.4773,1.4808,1.4492,1.4492
2022-01-04 19:00:00,1.4508,1.4689,1.4438,1.4604
2022-01-04 20:00:00,1.4609,1.4743,1.4572,1.4685
2022-01-04 21:00:00,1.4688,1.4688,1.4598,1.4648
2022-01-04 22:00:00,1.4657,1.4699,1.4602,1.4683
2022-01-04 23:00:00,1.4675,1.4676,1.4508,1.4568
2022-01-05 00:00:00,1.4583,1.5,1.4583,1.4892
2022-01-05 01:00:00,1.4921,1.494,1.4696,1.4749
2022-01-05 02:00:00,1.4722,1.4836,1.4681,1.4787
2022-01-05 03:00:00,1.4817,1.4889,1.4751,1.4867
2022-01-05 04:00:00,1.4824,1.4834,1.4718,1.4786
2022-01-05 05:00:00,1.4787,1.4837,1.4725,1.4808
2022-01-05 06:00:00,1.4809,1.4811,1.4746,1.4806
2022-01-05 07:00:00,1.4835,1.4835,1.4747,1.4758
2022-01-05 08:00:00,1.4787,1.4904,1.4723,1.4904
2022-01-05 09:00:00,1.4875,1.4968,1.4755,1.4859
2022-01-05 10:00:00,1.4862,1.4971,1.4752,1.4802
2022-01-05 11:00:00,1.4826,1.485,1.4679,1.4845
2022-01-05 12:00:00,1.4856,1.5219,1.482,1.4993
2022-01-05 13:00:00,1.4953,1.4953,1.4838,1.4866
2022-01-05 14:00:00,1.4902,1.5025,1.4771,1.489
2022-01-05 15:00:00,1.4857,1.489,1.4776,1.4849
2022-01-05 16:00:00,1.488,1.4895,1.4772,1.4894
2022-01-05 17:00:00,1.491,1.4913,1.477,1.477
