datetime,ALGOUSD_open,ALGOUSD_high,ALGOUSD_low,ALGOUSD_close
2022-01-03 16:00:00,1.7368,1.7518,1.6885,1.7503
2022-01-03 17:00:00,1.7501,1.79,1.7442,1.7691
2022-01-03 18:00:00,1.769,1.8088,1.7628,1.8064
2022-01-03 19:00:00,1.8058,1.826,1.7938,1.8253
2022-01-03 20:00:00,1.8254,1.8365,1.7883,1.8232
2022-01-03 21:00:00,1.8233,1.8274,1.7945,1.7976
2022-01-03 22:00:00,1.7978,1.8148,1.7656,1.7892
2022-01-03 23:00:00,1.7894,1.8038,1.7702,1.7949
2022-01-04 00:00:00,1.7945,1.8334,1.7745,1.8096
2022-01-04 01:00:00,1.809,1.8238,1.7506,1.7509
2022-01-04 02:00:00,1.7524,1.845,1.7345,1.8164
2022-01-04 03:00:00,1.8141,1.8197,1.7726,1.7814
2022-01-04 04:00:00,1.781,1.7847,1.7483,1.7511
2022-01-04 05:00:00,1.751,1.759,1.7217,1.7422
2022-01-04 06:00:00,1.7408,1.7503,1.725,1.7308
2022-01-04 07:00:00,1.7312,1.7443,1.7276,1.7354
2022-01-04 08:00:00,1.7358,1.769,1.729,1.7549
2022-01-04 09:00:00,1.7548,1.7574,1.7356,1.7388
2022-01-04 10:00:00,1.7393,1.7589,1.7393,1.7506
2022-01-04 11:00:00,1.7508,1.7579,1.7266,1.7465
2022-01-04 12:00:00,1.747,1.7522,1.7236,1.733
2022-01-04 13:00:00,1.7331,1.7796,1.713,1.7509
2022-01-04 14:00:00,1.7507,1.7639,1.7417,1.7502
2022-01-04 15:00:00,1.7501,1.7595,1.7248,1.7272
2022-01-04 16:00:00,1.7289,1.7579,1.7154,1.7389
2022-01-04 17:00:00,1.739,1.7406,1.714,1.7155
2022-01-04 18:00:00,1.7155,1.7236,1.6604,1.6745
2022-01-04 19:00:00,1.6739,1.7066,1.6655,1.689
2022-01-04 20:00:00,1.688,1.7031,1.6791,1.6917
2022-01-04 21:00:00,1.6917,1.6956,1.6832,1.6875
2022-01-04 22:00:00,1.6872,1.69,1.672,1.6846
2022-01-04 23:00:00,1.6846,1.6846,1.6583,1.6714
2022-01-05 00:00:00,1.6726,1.7036,1.6606,1.6977
2022-01-05 01:00:00,1.6979,1.7171,1.6937,1.7107
2022-01-05 02:00:00,1.7106,1.74,1.7106,1.7354
2022-01-05 03:00:00,1.7356,1.7541,1.7274,1.7526
2022-01-05 04:00:00,1.7528,1.7551,1.74,1.7446
2022-01-05 05:00:00,1.7445,1.7519,1.739,1.7512
2022-01-05 06:00:00,1.7501,1.775,1.7492,1.77
2022-01-05 07:00:00,1.77,1.774,1.7615,1.7649
2022-01-05 08:00:00,1.7644,1.7704,1.7442,1.7626
2022-01-05 09:00:00,1.762,1.7785,1.76,1.769
2022-01-05 10:00:00,1.7694,1.7722,1.7418,1.7418
2022-01-05 11:00:00,1.7423,1.744,1.7179,1.7323
2022-01-05 12:00:00,1.7327,1.7409,1.7008,1.7173
2022-01-05 13:00:00,1.7176,1.744,1.7107,1.7432
2022-01-05 14:00:00,1.7434,1.7492,1.7247,1.7447
2022-01-05 15:00:00,1.7439,1.7941,1.7321,1.7905
2022-01-05 16:00:00,1.7918,1.8022,1.7668,1.7801
2022-01-05 17:00:00,1.7799,1.792,1.72,1.723
2022-01-05 18:00:00,1.7244,1.7423,1.6818,1.7259
2022-01-05 19:00:00,1.7246,1.7288,1.6384,1.6402
2022-01-05 20:00:00,1.64,1.6549,1.5736,1.5798
2022-01-05 21:00:00,1.58,1.6095,1.5533,1.5584
2022-01-05 22:00:00,1.5584,1.5705,1.45,1.5456
2022-01-05 23:00:00,1.5454,1.575,1.5301,1.5562
2022-01-06 00:00:00,1.5561,1.5695,1.5405,1.5683
2022-01-06 01:00:00,1.5687,1.57,1.5254,1.5377
2022-01-06 02:00:00,1.5376,1.555,1.5209,1.5304
2022-01-06 03:00:00,1.5304,1.5455,1.4992,1.5002
2022-01-06 04:00:00,1.5002,1.5259,1.4816,1.5123
2022-01-06 05:00:00,1.512,1.5331,1.5012,1.5197
2022-01-06 06:00:00,1.5217,1.5403,1.5126,1.5247
2022-01-06 07:00:00,1.5262,1.5377,1.5161,1.5352
2022-01-06 08:00:00,1.5351,1.5388,1.5102,1.5275
2022-01-06 09:00:00,1.5288,1.5309,1.4839,1.4935
2022-01-06 10:00:00,1.4943,1.5338,1.4939,1.5293
2022-01-06 11:00:00,1.5303,1.5414,1.505,1.5208
2022-01-06 12:00:00,1.5208,1.5379,1.5001,1.5371
2022-01-06 13:00:00,1.5377,1.571,1.5264,1.5639
2022-01-06 14:00:00,1.564,1.5759,1.5416,1.5471
2022-01-06 15:00:00,1.548,1.5617,1.5254,1.552
2022-01-06 16:00:00,1.5528,1.5744,1.5444,1.5691
2022-01-06 17:00:00,1.5691,1.5815,1.5546,1.5738
2022-01-06 18:00:00,1.5731,1.6025,1.5675,1.6006
2022-01-06 19:00:00,1.6012,1.6058,1.5865,1.5993
2022-01-06 20:00:00,1.5992,1.6051,1.5695,1.5726
2022-01-06 21:00:00,1.5731,1.5744,1.5473,1.5592
2022-01-06 22:00:00,1.5594,1.5755,1.5533,1.5748
2022-01-06 23:00:00,1.5749,1.5749,1.5587,1.5631
2022-01-07 00:00:00,1.5624,1.5689,1.509,1.5124
2022-01-07 01:00:00,1.5133,1.5262,1.4993,1.5087
2022-01-07 02:00:00,1.5091,1.5126,1.4912,1.4929
2022-01-07 03:00:00,1.4928,1.5026,1.4389,1.4459
2022-01-07 04:00:00,1.4474,1.4539,1.393,1.441
2022-01-07 05:00:00,1.4405,1.4521,1.4255,1.4363
2022-01-07 06:00:00,1.4357,1.437,1.4145,1.4243
2022-01-07 07:00:00,1.4235,1.4473,1.406,1.447
2022-01-07 08:00:00,1.4452,1.4884,1.4386,1.4606
2022-01-07 09:00:00,1.4603,1.4928,1.4589,1.4823
2022-01-07 10:00:00,1.482,1.4826,1.4572,1.4575
2022-01-07 11:00:00,1.4586,1.4749,1.4584,1.4629
2022-01-07 12:00:00,1.4632,1.4802,1.4614,1.4642
2022-01-07 13:00:00,1.4645,1.474,1.406,1.4266
2022-01-07 14:00:00,1.4275,1.4617,1.4208,1.4551
2022-01-07 15:00:00,1.4559,1.4582,1.4008,1.431
2022-01-07 16:00:00,1.4299,1.4682,1.4048,1.4649
2022-01-07 17:00:00,1.4635,1.4704,1.4434,1.4679
2022-01-07 18:00:00,1.4668,1.468,1.442,1.4526
