datetime,ONEBUSD_open,ONEBUSD_high,ONEBUSD_low,ONEBUSD_close
2022-01-01 00:00:00,0.24,0.24356,0.23852,0.24235
2022-01-01 01:00:00,0.24235,0.24552,0.2415,0.2435
2022-01-01 02:00:00,0.2436,0.24901,0.2436,0.24603
2022-01-01 03:00:00,0.24613,0.2485,0.24533,0.24684
2022-01-01 04:00:00,0.24689,0.24809,0.24343,0.24466
2022-01-01 05:00:00,0.24485,0.24768,0.24232,0.24351
2022-01-01 06:00:00,0.24355,0.24451,0.24151,0.2417
2022-01-01 07:00:00,0.24207,0.24821,0.24166,0.24734
2022-01-01 08:00:00,0.24732,0.2489,0.24594,0.24716
2022-01-01 09:00:00,0.247,0.2508,0.24614,0.24863
2022-01-01 10:00:00,0.24862,0.25419,0.24857,0.25359
2022-01-01 11:00:00,0.25366,0.26175,0.25299,0.2614
2022-01-01 12:00:00,0.26139,0.265,0.2588,0.265
2022-01-01 13:00:00,0.265,0.26677,0.26305,0.26527
2022-01-01 14:00:00,0.26518,0.26668,0.2623,0.26251
2022-01-01 15:00:00,0.2625,0.26472,0.26071,0.26429
2022-01-01 16:00:00,0.26446,0.26643,0.2634,0.26498
2022-01-01 17:00:00,0.26498,0.268,0.263,0.26594
2022-01-01 18:00:00,0.26621,0.26887,0.26554,0.268
2022-01-01 19:00:00,0.268,0.27209,0.26621,0.27168
2022-01-01 20:00:00,0.27135,0.27607,0.26945,0.27218
2022-01-01 21:00:00,0.27226,0.27226,0.2683,0.27012
2022-01-01 22:00:00,0.27019,0.27362,0.2681,0.27312
2022-01-01 23:00:00,0.2732,0.2784,0.27205,0.2781
2022-01-02 00:00:00,0.27797,0.282,0.27719,0.2801
2022-01-02 01:00:00,0.27985,0.283,0.27587,0.27606
2022-01-02 02:00:00,0.27606,0.27892,0.2753,0.27867
2022-01-02 03:00:00,0.27848,0.27878,0.26993,0.27293
2022-01-02 04:00:00,0.27313,0.27695,0.27167,0.27173
2022-01-02 05:00:00,0.27199,0.27338,0.2712,0.27171
2022-01-02 06:00:00,0.27143,0.2745,0.26881,0.2698
2022-01-02 07:00:00,0.2698,0.27656,0.26773,0.27303
2022-01-02 08:00:00,0.27296,0.27359,0.27021,0.27303
2022-01-02 09:00:00,0.27302,0.27876,0.27245,0.27428
2022-01-02 10:00:00,0.27441,0.27951,0.27307,0.27925
2022-01-02 11:00:00,0.27943,0.28199,0.27653,0.27744
2022-01-02 12:00:00,0.27753,0.2848,0.27721,0.28332
2022-01-02 13:00:00,0.28326,0.291,0.27915,0.28257
2022-01-02 14:00:00,0.28237,0.28757,0.28176,0.28588
2022-01-02 15:00:00,0.28604,0.295,0.28512,0.29002
2022-01-02 16:00:00,0.29,0.2918,0.28728,0.288
2022-01-02 17:00:00,0.28828,0.29171,0.28651,0.29125
2022-01-02 18:00:00,0.29126,0.29348,0.28982,0.29211
2022-01-02 19:00:00,0.29202,0.29469,0.28638,0.29204
2022-01-02 20:00:00,0.29205,0.29677,0.28927,0.29345
2022-01-02 21:00:00,0.29325,0.29379,0.28825,0.28992
2022-01-02 22:00:00,0.28964,0.2929,0.28861,0.29003
2022-01-02 23:00:00,0.28964,0.29234,0.28778,0.28908
2022-01-03 00:00:00,0.28908,0.29108,0.287,0.28799
2022-01-03 01:00:00,0.28825,0.28847,0.28385,0.2842
2022-01-03 02:00:00,0.28405,0.28712,0.28376,0.28579
2022-01-03 03:00:00,0.28579,0.2924,0.28511,0.29072
2022-01-03 04:00:00,0.29091,0.2934,0.28937,0.29267
2022-01-03 05:00:00,0.29275,0.29779,0.2926,0.29644
2022-01-03 06:00:00,0.29643,0.29898,0.2944,0.2949
2022-01-03 07:00:00,0.29502,0.29814,0.29199,0.29258
2022-01-03 08:00:00,0.29269,0.2949,0.29077,0.29171
2022-01-03 09:00:00,0.29141,0.29245,0.28828,0.28886
2022-01-03 10:00:00,0.28904,0.28996,0.28558,0.28727
2022-01-03 11:00:00,0.28731,0.28827,0.28031,0.28327
2022-01-03 12:00:00,0.28332,0.28745,0.28327,0.28644
2022-01-03 13:00:00,0.2864,0.29657,0.286,0.293
2022-01-03 14:00:00,0.293,0.29645,0.29219,0.29241
2022-01-03 15:00:00,0.29219,0.29235,0.28588,0.29146
2022-01-03 16:00:00,0.29132,0.294,0.28767,0.29302
2022-01-03 17:00:00,0.29302,0.31779,0.2919,0.31075
2022-01-03 18:00:00,0.31042,0.31408,0.31021,0.31241
2022-01-03 19:00:00,0.31241,0.31568,0.31,0.31367
2022-01-03 20:00:00,0.31366,0.31485,0.30921,0.31143
2022-01-03 21:00:00,0.31162,0.31182,0.30348,0.30593
2022-01-03 22:00:00,0.30593,0.31065,0.30275,0.30935
2022-01-03 23:00:00,0.30923,0.3127,0.30694,0.31167
2022-01-04 00:00:00,0.31135,0.3145,0.30747,0.31257
2022-01-04 01:00:00,0.31305,0.31327,0.30755,0.30931
2022-01-04 02:00:00,0.30931,0.31097,0.30794,0.31041
2022-01-04 03:00:00,0.3105,0.3189,0.31014,0.31743
2022-01-04 04:00:00,0.31744,0.32446,0.31711,0.324
2022-01-04 05:00:00,0.32395,0.32433,0.31939,0.32155
2022-01-04 06:00:00,0.32218,0.32409,0.318,0.31819
2022-01-04 07:00:00,0.31825,0.32264,0.31597,0.32005
2022-01-04 08:00:00,0.32045,0.321,0.31793,0.31888
2022-01-04 09:00:00,0.31896,0.31991,0.316,0.31895
2022-01-04 10:00:00,0.31897,0.33056,0.31897,0.32682
2022-01-04 11:00:00,0.32686,0.32964,0.32396,0.32466
2022-01-04 12:00:00,0.3246,0.32647,0.31943,0.32004
2022-01-04 13:00:00,0.32003,0.32183,0.30321,0.30758
2022-01-04 14:00:00,0.3077,0.31634,0.3035,0.30813
2022-01-04 15:00:00,0.30812,0.31446,0.30515,0.3104
2022-01-04 16:00:00,0.31082,0.31636,0.31027,0.31515
2022-01-04 17:00:00,0.31497,0.31497,0.305,0.30672
2022-01-04 18:00:00,0.307,0.30779,0.30043,0.30248
2022-01-04 19:00:00,0.3027,0.30913,0.29842,0.30876
2022-01-04 20:00:00,0.30887,0.3125,0.30772,0.30842
2022-01-04 21:00:00,0.30857,0.31481,0.30843,0.31386
2022-01-04 22:00:00,0.31385,0.31765,0.31312,0.3165
2022-01-04 23:00:00,0.31657,0.31737,0.31229,0.31507
2022-01-05 00:00:00,0.3145,0.3166,0.31238,0.3164
2022-01-05 01:00:00,0.3164,0.32303,0.31425,0.32267
2022-01-05 02:00:00,0.32281,0.32897,0.32139,0.32511
2022-01-05 03:00:00,0.32521,0.32588,0.3207,0.32131
2022-01-05 04:00:00,0.32119,0.32398,0.31926,0.32041
2022-01-05 05:00:00,0.3205,0.321,0.31559,0.31904
2022-01-05 06:00:00,0.31897,0.319,0.31361,0.317
2022-01-05 07:00:00,0.317,0.31803,0.30923,0.31545
2022-01-05 08:00:00,0.31546,0.32407,0.31397,0.32357
2022-01-05 09:00:00,0.32321,0.32513,0.31584,0.32068
2022-01-05 10:00:00,0.32098,0.32533,0.31945,0.32261
2022-01-05 11:00:00,0.3228,0.323,0.31634,0.31678
2022-01-05 12:00:00,0.31678,0.31996,0.30679,0.30725
2022-01-05 13:00:00,0.30753,0.3137,0.30345,0.30908
2022-01-05 14:00:00,0.30908,0.30928,0.28841,0.29213
2022-01-05 15:00:00,0.29185,0.29587,0.28306,0.28471
2022-01-05 16:00:00,0.28471,0.28986,0.27611,0.27655
