datetime,ZECUSD_open,ZECUSD_high,ZECUSD_low,ZECUSD_close
2022-01-05 15:00:00,150.08,150.21,149.46,149.83
2022-01-05 16:00:00,149.9,150.1,149.03,149.31
2022-01-05 17:00:00,149.52,149.88,148.83,148.83
2022-01-05 18:00:00,148.92,149.92,147.64,148.77
2022-01-05 19:00:00,148.64,149.13,143.0,143.41
2022-01-05 20:00:00,143.18,143.92,140.4,140.9
2022-01-05 21:00:00,140.76,142.55,136.93,138.65
2022-01-05 22:00:00,138.87,139.51,128.01,136.01
2022-01-05 23:00:00,135.94,138.23,134.72,136.6
2022-01-06 00:00:00,136.8,138.73,135.93,138.4
2022-01-06 01:00:00,138.39,138.74,135.56,136.16
2022-01-06 02:00:00,136.13,136.48,134.5,134.97
2022-01-06 03:00:00,135.02,135.71,133.51,133.56
2022-01-06 04:00:00,133.62,134.93,132.3,134.56
2022-01-06 05:00:00,134.62,134.98,133.1,133.59
2022-01-06 06:00:00,133.51,134.66,132.82,133.79
2022-01-06 07:00:00,133.71,134.69,132.93,134.18
2022-01-06 08:00:00,134.1,134.29,131.31,132.83
2022-01-06 09:00:00,132.83,133.06,129.79,130.48
2022-01-06 10:00:00,130.49,132.75,130.49,132.24
2022-01-06 11:00:00,132.67,132.68,130.93,131.93
2022-01-06 12:00:00,132.03,132.8,130.55,132.8
2022-01-06 13:00:00,132.84,133.86,132.03,133.72
2022-01-06 14:00:00,133.86,134.96,132.22,133.16
2022-01-06 15:00:00,133.01,134.43,131.65,133.77
2022-01-06 16:00:00,133.86,134.93,133.79,134.7
2022-01-06 17:00:00,134.49,136.96,134.29,135.94
2022-01-06 18:00:00,135.94,137.6,135.94,137.44
2022-01-06 19:00:00,137.52,138.59,135.78,137.6
2022-01-06 20:00:00,137.61,137.71,135.5,136.17
2022-01-06 21:00:00,136.21,137.65,136.03,136.72
2022-01-06 22:00:00,136.65,138.57,136.02,138.21
2022-01-06 23:00:00,138.25,138.72,137.22,137.22
2022-01-07 00:00:00,137.16,137.59,135.18,136.11
2022-01-07 01:00:00,136.37,138.97,135.75,138.55
2022-01-07 02:00:00,138.4,138.8,137.18,137.34
2022-01-07 03:00:00,137.42,137.42,131.16,134.75
2022-01-07 04:00:00,134.71,137.8,130.52,137.8
2022-01-07 05:00:00,137.85,140.3,136.45,137.97
2022-01-07 06:00:00,137.92,138.38,134.3,135.28
2022-01-07 07:00:00,135.29,138.92,133.6,138.92
2022-01-07 08:00:00,138.78,142.43,138.07,141.27
2022-01-07 09:00:00,141.26,143.41,141.1,141.61
2022-01-07 10:00:00,141.34,141.93,138.77,138.77
2022-01-07 11:00:00,138.83,140.49,138.81,140.45
2022-01-07 12:00:00,140.47,141.33,138.89,139.33
2022-01-07 13:00:00,139.34,139.98,133.31,134.57
2022-01-07 14:00:00,134.61,143.25,134.09,140.15
2022-01-07 15:00:00,140.19,140.74,135.78,138.97
2022-01-07 16:00:00,138.89,141.98,136.12,141.58
2022-01-07 17:00:00,141.59,141.59,139.08,141.12
2022-01-07 18:00:00,140.76,141.26,138.76,140.08
2022-01-07 19:00:00,140.18,140.4,139.01,140.05
2022-01-07 20:00:00,139.88,141.33,139.08,140.89
2022-01-07 21:00:00,140.93,141.94,139.43,139.62
2022-01-07 22:00:00,139.62,139.92,138.22,138.77
2022-01-07 23:00:00,138.56,141.03,138.56,139.6
2022-01-08 00:00:00,139.6,141.58,139.07,141.12
2022-01-08 01:00:00,141.1,141.77,140.6,141.2
2022-01-08 02:00:00,141.31,143.12,140.63,141.49
2022-01-08 03:00:00,141.51,143.34,141.48,143.06
2022-01-08 04:00:00,143.07,143.6,142.55,143.51
2022-01-08 05:00:00,143.49,145.77,143.15,145.76
2022-01-08 06:00:00,145.74,145.94,144.35,145.36
2022-01-08 07:00:00,145.36,149.23,145.13,149.22
2022-01-08 08:00:00,149.22,155.47,149.16,153.9
2022-01-08 09:00:00,154.34,156.06,153.21,153.6
2022-01-08 10:00:00,153.48,154.68,152.22,153.61
2022-01-08 11:00:00,153.62,154.26,147.86,148.16
2022-01-08 12:00:00,148.11,149.7,146.67,147.86
2022-01-08 13:00:00,147.8,148.87,146.3,147.37
2022-01-08 14:00:00,147.42,147.94,145.64,145.91
2022-01-08 15:00:00,145.86,147.82,144.72,146.71
2022-01-08 16:00:00,146.78,149.29,144.64,145.1
2022-01-08 17:00:00,145.11,147.29,141.41,141.46
2022-01-08 18:00:00,141.48,143.07,136.98,136.98
2022-01-08 19:00:00,137.2,139.02,136.34,138.78
2022-01-08 20:00:00,138.78,140.77,138.11,138.47
2022-01-08 21:00:00,138.53,142.95,138.41,142.59
2022-01-08 22:00:00,142.65,146.19,142.54,144.36
2022-01-08 23:00:00,144.36,145.01,143.2,143.68
2022-01-09 00:00:00,143.52,147.14,138.91,141.33
2022-01-09 01:00:00,141.12,141.56,136.94,138.02
2022-01-09 02:00:00,138.02,139.65,137.98,138.79
2022-01-09 03:00:00,138.73,139.61,137.72,137.92
2022-01-09 04:00:00,137.91,138.1,136.2,136.2
2022-01-09 05:00:00,136.47,137.72,134.78,135.24
2022-01-09 06:00:00,135.28,136.59,135.1,136.23
2022-01-09 07:00:00,136.11,136.43,135.45,135.53
2022-01-09 08:00:00,135.62,136.5,134.7,135.73
2022-01-09 09:00:00,135.71,136.24,134.16,135.55
2022-01-09 10:00:00,135.54,137.49,135.32,136.71
2022-01-09 11:00:00,136.76,138.42,136.7,138.11
2022-01-09 12:00:00,138.08,138.21,136.7,136.97
2022-01-09 13:00:00,136.94,137.76,135.39,135.6
2022-01-09 14:00:00,135.85,137.97,135.81,137.02
2022-01-09 15:00:00,137.17,137.22,133.36,135.7
2022-01-09 16:00:00,135.7,141.27,135.5,140.75
2022-01-09 17:00:00,140.75,141.01,138.0,139.05
2022-01-09 18:00:00,139.07,141.96,138.97,141.16
2022-01-09 19:00:00,141.09,142.48,140.38,141.67
2022-01-09 20:00:00,141.7,141.97,140.83,141.5
2022-01-09 21:00:00,141.4,141.67,140.3,140.68
2022-01-09 22:00:00,140.68,143.24,140.48,142.34
2022-01-09 23:00:00,142.31,144.99,142.03,144.28
2022-01-10 00:00:00,144.28,145.01,141.08,141.08
2022-01-10 01:00:00,141.12,143.46,141.12,142.82
2022-01-10 02:00:00,142.91,144.24,142.08,143.06
2022-01-10 03:00:00,143.04,143.19,141.71,142.0
2022-01-10 04:00:00,142.03,145.17,141.55,144.58
2022-01-10 05:00:00,144.58,145.5,144.32,145.04
2022-01-10 06:00:00,145.02,146.64,144.75,145.33
2022-01-10 07:00:00,145.33,147.98,145.23,147.62
2022-01-10 08:00:00,147.56,147.67,145.99,146.46
2022-01-10 09:00:00,146.37,147.39,146.28,146.76
2022-01-10 10:00:00,146.72,147.05,146.05,146.41
2022-01-10 11:00:00,146.29,148.89,144.27,145.13
2022-01-10 12:00:00,145.08,145.59,140.27,140.99
2022-01-10 13:00:00,141.0,142.79,140.54,142.22
2022-01-10 14:00:00,142.29,143.12,137.4,141.79
2022-01-10 15:00:00,141.56,143.04,139.29,141.86
2022-01-10 16:00:00,141.86,147.52,141.56,144.71
2022-01-10 17:00:00,144.6,145.14,136.13,137.75
2022-01-10 18:00:00,137.53,139.89,137.03,139.51
2022-01-10 19:00:00,139.32,140.0,138.37,138.54
2022-01-10 20:00:00,138.41,140.62,137.89,140.4
2022-01-10 21:00:00,140.47,141.28,139.24,141.28
2022-01-10 22:00:00,141.24,141.57,140.39,140.81
2022-01-10 23:00:00,140.81,142.08,140.69,141.24
2022-01-11 00:00:00,141.28,141.77,140.8,141.3
2022-01-11 01:00:00,141.2,142.51,140.87,142.51
2022-01-11 02:00:00,142.54,145.58,142.29,142.9
2022-01-11 03:00:00,142.9,144.01,141.26,143.54
2022-01-11 04:00:00,143.61,143.74,142.04,142.54
2022-01-11 05:00:00,142.54,142.71,141.3,141.46
2022-01-11 06:00:00,141.4,141.95,140.79,141.22
2022-01-11 07:00:00,141.31,141.47,140.61,141.23
2022-01-11 08:00:00,141.23,142.27,139.94,140.11
2022-01-11 09:00:00,140.1,140.26,138.43,138.53
2022-01-11 10:00:00,138.54,139.16,137.78,138.16
2022-01-11 11:00:00,138.14,139.41,138.0,138.47
2022-01-11 12:00:00,138.44,142.01,137.84,142.01
