datetime,QNTUSD_open,QNTUSD_high,QNTUSD_low,QNTUSD_close
2022-01-03 20:00:00,179.72,180.82,176.93,179.98
2022-01-03 21:00:00,179.94,181.85,179.43,180.81
2022-01-03 22:00:00,180.49,180.89,175.59,176.66
2022-01-03 23:00:00,176.77,179.93,176.63,178.99
2022-01-04 00:00:00,179.21,180.55,178.54,178.87
2022-01-04 01:00:00,178.68,179.98,177.26,177.48
2022-01-04 02:00:00,177.47,178.22,175.72,177.64
2022-01-04 03:00:00,177.64,179.28,177.04,179.24
2022-01-04 04:00:00,179.23,179.61,177.44,177.82
2022-01-04 05:00:00,177.93,179.41,177.73,179.3
2022-01-04 06:00:00,178.89,181.24,178.75,180.94
2022-01-04 07:00:00,180.98,183.7,180.5,183.18
2022-01-04 08:00:00,183.42,184.61,183.06,183.93
2022-01-04 09:00:00,183.99,183.99,180.96,183.81
2022-01-04 10:00:00,183.87,184.62,183.12,184.07
2022-01-04 11:00:00,184.23,184.85,183.04,183.67
2022-01-04 12:00:00,183.67,183.7,181.08,181.39
2022-01-04 13:00:00,181.57,182.97,180.76,182.64
2022-01-04 14:00:00,182.48,184.05,181.15,183.78
2022-01-04 15:00:00,183.74,184.87,180.45,180.98
2022-01-04 16:00:00,180.92,183.53,180.07,182.71
2022-01-04 17:00:00,183.01,184.3,181.35,181.46
2022-01-04 18:00:00,181.49,182.06,176.39,176.84
2022-01-04 19:00:00,176.83,180.97,175.64,179.62
2022-01-04 20:00:00,179.46,180.48,178.66,179.51
2022-01-04 21:00:00,179.36,181.16,179.02,180.69
2022-01-04 22:00:00,180.64,180.71,179.81,180.07
2022-01-04 23:00:00,180.3,180.65,178.89,179.47
2022-01-05 00:00:00,179.26,179.73,177.77,179.69
2022-01-05 01:00:00,179.63,180.7,178.57,179.01
2022-01-05 02:00:00,179.19,180.35,179.12,179.48
2022-01-05 03:00:00,179.53,179.93,178.8,179.78
2022-01-05 04:00:00,179.72,181.46,179.6,180.42
2022-01-05 05:00:00,180.42,182.22,179.89,180.37
2022-01-05 06:00:00,180.23,180.92,179.04,180.92
2022-01-05 07:00:00,181.12,183.19,180.51,183.19
2022-01-05 08:00:00,183.16,183.31,180.93,182.94
