datetime,YFIBUSD_open,YFIBUSD_high,YFIBUSD_low,YFIBUSD_close
2022-01-01 00:00:00,33762.87,34303.18,33718.33,33816.82
2022-01-01 01:00:00,33849.05,33849.05,33227.76,33291.45
2022-01-01 02:00:00,33282.29,33322.56,32810.29,33127.49
2022-01-01 03:00:00,33104.0,33168.4,32682.29,32756.04
2022-01-01 04:00:00,32739.07,33181.14,32647.54,32902.07
2022-01-01 05:00:00,32902.35,33887.26,32460.19,33285.4
2022-01-01 06:00:00,33307.8,33994.55,33206.04,33598.16
2022-01-01 07:00:00,33596.57,33835.61,33193.86,33244.02
2022-01-01 08:00:00,33245.46,33831.21,33063.46,33572.83
2022-01-01 09:00:00,33580.45,34392.21,33580.45,34151.73
2022-01-01 10:00:00,34149.94,34635.42,34137.77,34222.24
2022-01-01 11:00:00,34197.62,34776.99,34161.28,34636.7
2022-01-01 12:00:00,34628.88,35205.17,34612.78,35003.51
2022-01-01 13:00:00,35027.61,36633.56,34691.77,36413.36
2022-01-01 14:00:00,36401.09,37806.66,36344.97,37599.92
2022-01-01 15:00:00,37614.12,37796.66,37057.2,37403.0
2022-01-01 16:00:00,37434.94,38490.91,37434.94,37842.35
2022-01-01 17:00:00,37830.74,37943.94,36625.09,36887.58
2022-01-01 18:00:00,36886.52,36886.52,35988.2,36551.73
2022-01-01 19:00:00,36551.73,36667.17,35758.15,36213.31
2022-01-01 20:00:00,36144.89,36260.38,35885.83,36204.55
2022-01-01 21:00:00,36217.96,36515.95,35842.09,36314.52
2022-01-01 22:00:00,36250.15,36600.0,36073.09,36397.59
2022-01-01 23:00:00,36372.7,37402.31,35610.62,36078.04
2022-01-02 00:00:00,36011.19,36680.33,35955.0,36253.46
2022-01-02 01:00:00,36213.78,36431.54,35767.79,35928.65
2022-01-02 02:00:00,35876.67,36289.88,35843.32,36101.75
2022-01-02 03:00:00,36065.65,36492.1,35869.21,36008.2
2022-01-02 04:00:00,36008.2,36268.77,35869.21,35990.95
2022-01-02 05:00:00,35948.16,36413.81,35812.79,35940.87
2022-01-02 06:00:00,35976.3,36654.96,35964.27,36560.02
2022-01-02 07:00:00,36599.0,37513.81,36282.89,37434.18
2022-01-02 08:00:00,37400.46,38353.1,37395.86,38158.27
2022-01-02 09:00:00,38158.27,38879.97,37493.77,38091.25
2022-01-02 10:00:00,38064.89,38329.0,37508.04,37709.93
2022-01-02 11:00:00,37667.23,37977.76,37324.77,37960.63
2022-01-02 12:00:00,37858.33,38016.07,37241.55,37457.73
2022-01-02 13:00:00,37463.61,38406.11,37401.23,38231.49
2022-01-02 14:00:00,38200.28,38224.34,37511.3,37874.25
2022-01-02 15:00:00,37875.12,38736.04,37810.01,38699.44
2022-01-02 16:00:00,38731.24,39500.0,38447.9,39446.98
2022-01-02 17:00:00,39413.89,39473.79,38594.21,39092.69
2022-01-02 18:00:00,39092.73,39377.04,38896.32,39148.75
2022-01-02 19:00:00,39123.91,40675.47,38945.22,40248.0
2022-01-02 20:00:00,40253.9,40844.27,40139.47,40512.92
2022-01-02 21:00:00,40515.53,41659.39,40178.23,41006.0
2022-01-02 22:00:00,40995.11,41198.82,40310.4,41028.25
2022-01-02 23:00:00,41018.82,41421.04,40623.38,41276.99
2022-01-03 00:00:00,41278.93,41526.44,40841.38,40901.08
2022-01-03 01:00:00,40946.37,41135.8,40559.39,41050.37
2022-01-03 02:00:00,41046.38,41310.0,40658.31,40677.9
2022-01-03 03:00:00,40670.21,40742.39,40120.61,40246.87
