datetime,AAVEUSD_open,AAVEUSD_high,AAVEUSD_low,AAVEUSD_close
2022-01-03 20:00:00,272.19,273.74,264.77,268.27
2022-01-03 21:00:00,268.11,273.75,267.31,269.05
2022-01-03 22:00:00,269.05,275.42,268.58,271.09
2022-01-03 23:00:00,270.92,271.35,265.51,267.25
2022-01-04 00:00:00,267.26,268.42,259.05,260.47
2022-01-04 01:00:00,260.23,260.48,255.94,256.98
2022-01-04 02:00:00,257.26,259.0,254.77,257.1
2022-01-04 03:00:00,257.16,258.54,255.6,257.03
2022-01-04 04:00:00,257.16,258.0,254.03,254.25
2022-01-04 05:00:00,254.44,257.3,253.93,257.3
2022-01-04 06:00:00,257.4,260.32,256.52,260.19
2022-01-04 07:00:00,260.08,261.03,258.87,260.46
2022-01-04 08:00:00,260.56,263.15,260.1,262.47
2022-01-04 09:00:00,262.48,263.96,260.89,261.43
2022-01-04 10:00:00,261.51,265.87,261.18,265.3
2022-01-04 11:00:00,265.2,268.94,265.2,266.94
2022-01-04 12:00:00,267.26,267.59,264.3,265.43
2022-01-04 13:00:00,265.55,268.55,262.58,267.88
2022-01-04 14:00:00,268.57,269.52,266.96,267.32
2022-01-04 15:00:00,267.14,268.93,263.9,264.64
2022-01-04 16:00:00,264.74,265.02,260.29,260.99
2022-01-04 17:00:00,260.96,262.04,258.57,259.3
2022-01-04 18:00:00,259.33,261.0,250.01,251.18
2022-01-04 19:00:00,250.93,256.49,250.0,252.6
2022-01-04 20:00:00,252.74,259.72,252.5,257.89
2022-01-04 21:00:00,257.77,257.79,254.4,255.99
2022-01-04 22:00:00,255.85,256.13,254.2,255.49
2022-01-04 23:00:00,255.34,255.36,251.21,252.03
2022-01-05 00:00:00,252.65,258.29,250.93,256.91
2022-01-05 01:00:00,256.78,256.95,253.9,254.37
2022-01-05 02:00:00,254.75,257.01,254.69,256.79
2022-01-05 03:00:00,256.76,257.6,253.8,256.59
2022-01-05 04:00:00,256.71,257.03,254.93,255.14
2022-01-05 05:00:00,255.29,255.36,253.68,254.73
2022-01-05 06:00:00,254.62,257.35,254.16,257.09
2022-01-05 07:00:00,257.35,257.97,255.4,255.54
2022-01-05 08:00:00,255.85,256.8,253.64,255.13
2022-01-05 09:00:00,255.32,256.31,254.3,255.47
2022-01-05 10:00:00,255.37,255.6,254.26,254.92
2022-01-05 11:00:00,254.76,254.8,251.28,252.58
2022-01-05 12:00:00,252.72,254.3,250.93,253.94
2022-01-05 13:00:00,253.79,254.98,251.5,254.07
2022-01-05 14:00:00,253.9,256.37,252.33,255.92
2022-01-05 15:00:00,255.95,259.16,255.28,258.85
2022-01-05 16:00:00,258.84,259.4,256.5,256.83
2022-01-05 17:00:00,256.84,258.73,252.3,252.39
2022-01-05 18:00:00,252.73,253.34,246.54,251.46
2022-01-05 19:00:00,251.29,251.72,236.56,239.24
2022-01-05 20:00:00,239.26,241.3,230.0,235.59
2022-01-05 21:00:00,235.73,239.3,230.43,230.57
2022-01-05 22:00:00,230.96,231.95,215.09,228.1
2022-01-05 23:00:00,228.61,233.48,226.76,230.12
2022-01-06 00:00:00,230.38,232.97,228.61,231.55
2022-01-06 01:00:00,231.79,232.08,226.93,228.0
2022-01-06 02:00:00,227.56,228.75,224.58,225.85
2022-01-06 03:00:00,225.9,226.7,220.06,221.13
2022-01-06 04:00:00,221.22,225.59,219.24,224.61
2022-01-06 05:00:00,224.94,231.23,223.24,228.14
2022-01-06 06:00:00,228.22,230.3,226.52,228.4
2022-01-06 07:00:00,228.54,230.18,226.98,228.05
2022-01-06 08:00:00,227.94,228.12,223.36,224.87
2022-01-06 09:00:00,224.81,224.81,215.65,216.69
2022-01-06 10:00:00,216.7,223.37,216.7,223.37
2022-01-06 11:00:00,223.19,223.74,217.99,220.06
2022-01-06 12:00:00,220.01,220.88,216.46,219.97
2022-01-06 13:00:00,219.97,224.31,219.97,223.83
2022-01-06 14:00:00,223.81,224.37,220.33,221.09
2022-01-06 15:00:00,221.1,227.0,218.61,223.36
2022-01-06 16:00:00,223.46,225.04,219.84,223.68
2022-01-06 17:00:00,223.75,225.85,222.43,224.5
2022-01-06 18:00:00,224.59,228.84,224.53,228.84
2022-01-06 19:00:00,228.89,228.91,224.19,225.48
