datetime,ETHUSD_open,ETHUSD_high,ETHUSD_low,ETHUSD_close
2022-01-04 09:00:00,3770.78,3779.42,3763.47,3767.29
2022-01-04 10:00:00,3767.28,3815.32,3764.67,3806.05
2022-01-04 11:00:00,3806.05,3840.81,3806.05,3837.12
2022-01-04 12:00:00,3837.12,3841.63,3819.07,3832.82
2022-01-04 13:00:00,3832.82,3876.25,3816.78,3867.42
2022-01-04 14:00:00,3867.42,3894.12,3854.67,3876.48
2022-01-04 15:00:00,3876.41,3886.49,3844.23,3849.18
2022-01-04 16:00:00,3849.22,3859.98,3836.1,3851.78
2022-01-04 17:00:00,3851.83,3865.0,3837.34,3838.43
2022-01-04 18:00:00,3838.24,3854.97,3762.73,3770.91
2022-01-04 19:00:00,3770.9,3840.69,3757.69,3810.76
2022-01-04 20:00:00,3810.76,3829.38,3796.45,3816.02
2022-01-04 21:00:00,3815.94,3832.07,3807.38,3825.99
2022-01-04 22:00:00,3825.68,3825.91,3805.45,3816.05
2022-01-04 23:00:00,3815.44,3816.21,3783.85,3785.0
2022-01-05 00:00:00,3785.0,3811.88,3765.61,3809.82
2022-01-05 01:00:00,3809.91,3810.69,3791.62,3792.79
2022-01-05 02:00:00,3792.48,3807.88,3792.33,3802.52
2022-01-05 03:00:00,3802.4,3827.77,3801.82,3809.38
2022-01-05 04:00:00,3809.38,3816.3,3802.77,3809.62
2022-01-05 05:00:00,3809.81,3809.9,3797.16,3804.2
2022-01-05 06:00:00,3804.2,3822.11,3800.28,3819.46
2022-01-05 07:00:00,3819.4,3823.0,3810.64,3816.18
2022-01-05 08:00:00,3816.18,3826.58,3802.37,3821.21
2022-01-05 09:00:00,3821.53,3841.55,3817.14,3837.32
2022-01-05 10:00:00,3837.5,3848.2,3821.4,3826.95
2022-01-05 11:00:00,3827.49,3828.02,3781.19,3791.91
2022-01-05 12:00:00,3791.52,3796.36,3764.12,3789.95
2022-01-05 13:00:00,3789.97,3817.92,3780.11,3814.43
2022-01-05 14:00:00,3814.75,3832.95,3788.37,3820.34
2022-01-05 15:00:00,3820.42,3828.23,3805.57,3822.42
2022-01-05 16:00:00,3822.42,3825.18,3790.49,3793.11
2022-01-05 17:00:00,3792.7,3804.33,3770.74,3771.96
2022-01-05 18:00:00,3772.02,3772.49,3725.33,3746.64
2022-01-05 19:00:00,3746.94,3759.92,3644.44,3652.55
2022-01-05 20:00:00,3653.1,3663.41,3581.31,3590.84
2022-01-05 21:00:00,3591.34,3632.46,3551.33,3553.18
2022-01-05 22:00:00,3553.12,3569.0,3414.88,3533.0
2022-01-05 23:00:00,3533.0,3565.27,3502.9,3539.0
2022-01-06 00:00:00,3539.0,3550.02,3514.74,3538.19
2022-01-06 01:00:00,3538.42,3539.29,3500.0,3524.38
2022-01-06 02:00:00,3524.59,3529.49,3495.26,3508.16
2022-01-06 03:00:00,3508.16,3510.31,3445.0,3447.28
2022-01-06 04:00:00,3448.12,3469.22,3405.11,3450.31
2022-01-06 05:00:00,3450.02,3480.28,3435.58,3456.82
2022-01-06 06:00:00,3456.83,3466.24,3420.48,3437.97
2022-01-06 07:00:00,3438.23,3463.52,3426.4,3452.03
2022-01-06 08:00:00,3451.43,3454.76,3385.06,3404.44
2022-01-06 09:00:00,3404.69,3407.34,3300.0,3307.42
2022-01-06 10:00:00,3307.18,3364.94,3306.95,3355.44
2022-01-06 11:00:00,3355.39,3367.71,3329.06,3348.15
2022-01-06 12:00:00,3347.83,3360.55,3315.84,3360.26
2022-01-06 13:00:00,3360.19,3409.34,3359.86,3404.92
2022-01-06 14:00:00,3404.7,3425.23,3383.04,3393.27
2022-01-06 15:00:00,3393.35,3405.47,3357.37,3396.46
2022-01-06 16:00:00,3396.46,3419.53,3381.87,3401.07
2022-01-06 17:00:00,3401.06,3435.15,3395.36,3422.64
2022-01-06 18:00:00,3422.29,3459.41,3415.55,3457.54
2022-01-06 19:00:00,3457.53,3461.53,3434.94,3447.62
2022-01-06 20:00:00,3447.63,3458.57,3418.91,3424.02
2022-01-06 21:00:00,3424.43,3432.66,3412.37,3427.67
2022-01-06 22:00:00,3427.66,3435.0,3414.67,3428.77
2022-01-06 23:00:00,3428.74,3430.0,3404.19,3406.03
2022-01-07 00:00:00,3405.66,3415.52,3363.12,3364.4
2022-01-07 01:00:00,3364.55,3394.28,3364.38,3390.0
2022-01-07 02:00:00,3390.06,3391.51,3355.12,3359.0
2022-01-07 03:00:00,3358.99,3362.34,3227.0,3236.75
2022-01-07 04:00:00,3237.11,3248.98,3140.0,3216.41
2022-01-07 05:00:00,3216.62,3248.0,3210.69,3234.81
2022-01-07 06:00:00,3234.96,3235.42,3149.34,3168.62
2022-01-07 07:00:00,3168.72,3203.75,3112.5,3200.61
