datetime,BTCUSD_open,BTCUSD_high,BTCUSD_low,BTCUSD_close
2022-01-01 00:00:00,46211.24,46744.99,46205.0,46656.85
2022-01-01 01:00:00,46656.85,46931.0,46573.65,46780.85
2022-01-01 02:00:00,46778.0,46929.2,46728.5,46808.55
2022-01-01 03:00:00,46808.55,46895.06,46757.45,46804.01
2022-01-01 04:00:00,46804.0,46872.86,46621.59,46701.29
2022-01-01 05:00:00,46696.45,47548.53,46668.64,47188.0
2022-01-01 06:00:00,47188.0,47327.89,46944.81,46976.98
2022-01-01 07:00:00,46982.82,47251.76,46903.5,47200.01
2022-01-01 08:00:00,47200.14,47347.54,47087.17,47119.93
2022-01-01 09:00:00,47124.07,47212.89,46938.37,47139.67
2022-01-01 10:00:00,47139.66,47299.79,46722.71,46863.79
2022-01-01 11:00:00,46863.79,47000.0,46205.0,46758.11
2022-01-01 12:00:00,46754.97,47155.28,46754.97,47085.01
2022-01-01 13:00:00,47085.01,47206.01,46950.75,47023.9
2022-01-01 14:00:00,47023.89,47115.48,46855.69,46926.47
2022-01-01 15:00:00,46926.42,47486.85,46872.46,47231.0
2022-01-01 16:00:00,47231.0,47549.69,47202.18,47302.78
2022-01-01 17:00:00,47301.52,47967.12,47260.55,47769.78
2022-01-01 18:00:00,47769.78,47850.0,47436.76,47578.42
2022-01-01 19:00:00,47577.44,47634.98,47305.71,47347.77
2022-01-01 20:00:00,47347.22,47579.24,47265.78,47413.98
2022-01-01 21:00:00,47413.98,47550.0,47288.18,47335.57
2022-01-01 22:00:00,47334.12,47500.0,47245.84,47455.8
2022-01-01 23:00:00,47455.8,47823.25,47295.97,47733.43
2022-01-02 00:00:00,47733.43,47770.37,47400.0,47637.43
2022-01-02 01:00:00,47637.43,47654.79,47328.15,47384.62
2022-01-02 02:00:00,47387.09,47457.12,47290.75,47379.51
2022-01-02 03:00:00,47379.51,47491.5,47280.0,47339.42
2022-01-02 04:00:00,47338.81,47430.8,46767.94,46915.59
2022-01-02 05:00:00,46920.39,47097.47,46841.88,47093.4
2022-01-02 06:00:00,47095.58,47246.77,47023.68,47128.82
2022-01-02 07:00:00,47130.3,47305.87,47101.67,47189.04
2022-01-02 08:00:00,47189.04,47258.18,46985.03,47231.0
2022-01-02 09:00:00,47230.43,47494.84,47158.47,47282.86
2022-01-02 10:00:00,47282.86,47356.21,47150.89,47200.1
2022-01-02 11:00:00,47198.58,47397.02,47172.91,47245.99
2022-01-02 12:00:00,47246.49,47453.71,47025.59,47296.55
2022-01-02 13:00:00,47304.51,47314.56,47091.06,47145.08
2022-01-02 14:00:00,47146.3,47209.65,47023.96,47126.08
2022-01-02 15:00:00,47125.21,47391.77,47082.0,47360.35
2022-01-02 16:00:00,47360.35,47892.54,47291.89,47799.55
2022-01-02 17:00:00,47802.57,47990.0,47341.97,47418.22
2022-01-02 18:00:00,47418.23,47423.12,46633.36,47068.65
2022-01-02 19:00:00,47064.65,47232.93,46851.75,46920.01
2022-01-02 20:00:00,46920.01,47069.59,46833.24,47017.83
2022-01-02 21:00:00,47018.79,47189.91,46922.84,47028.21
2022-01-02 22:00:00,47028.21,47407.31,47021.58,47273.39
2022-01-02 23:00:00,47273.34,47479.54,47273.34,47299.07
2022-01-03 00:00:00,47299.06,47300.0,47065.0,47065.0
2022-01-03 01:00:00,47065.01,47146.82,46942.42,47128.55
2022-01-03 02:00:00,47127.17,47128.56,46862.19,47008.12
2022-01-03 03:00:00,47008.12,47082.23,46723.82,46796.57
2022-01-03 04:00:00,46800.61,46950.46,46752.8,46827.41
2022-01-03 05:00:00,46827.41,47209.86,46778.03,47090.32
2022-01-03 06:00:00,47090.32,47115.22,46891.66,46936.5
2022-01-03 07:00:00,46936.5,47085.16,46866.0,47058.42
2022-01-03 08:00:00,47058.43,47145.47,46932.62,46981.93
2022-01-03 09:00:00,46980.33,47106.31,46783.87,46988.39
2022-01-03 10:00:00,46989.14,47256.87,46987.74,47134.35
2022-01-03 11:00:00,47135.48,47436.63,47135.48,47385.28
2022-01-03 12:00:00,47387.05,47583.33,47179.08,47200.0
2022-01-03 13:00:00,47197.98,47366.61,47130.63,47149.82
2022-01-03 14:00:00,47155.37,47279.19,46777.97,46871.04
2022-01-03 15:00:00,46871.98,47030.0,46600.0,46687.69
2022-01-03 16:00:00,46687.68,46781.46,46276.68,46491.77
2022-01-03 17:00:00,46491.44,46792.06,46416.59,46584.86
2022-01-03 18:00:00,46584.86,46745.98,46415.79,46475.86
2022-01-03 19:00:00,46475.53,46654.66,46362.83,46372.55
2022-01-03 20:00:00,46372.55,46417.42,45700.0,45915.66
2022-01-03 21:00:00,45910.34,46269.56,45816.0,45987.4
2022-01-03 22:00:00,45983.01,46455.96,45974.64,46225.32
2022-01-03 23:00:00,46225.31,46576.53,46174.0,46459.56
2022-01-04 00:00:00,46459.57,46534.32,46153.59,46245.77
2022-01-04 01:00:00,46245.76,46400.83,46044.31,46060.38
2022-01-04 02:00:00,46060.37,46263.46,45950.0,46104.69
2022-01-04 03:00:00,46102.58,46385.2,46015.89,46319.84
2022-01-04 04:00:00,46319.99,46410.94,46022.76,46097.21
2022-01-04 05:00:00,46097.21,46296.01,46030.1,46157.15
2022-01-04 06:00:00,46153.68,46403.75,46068.52,46382.67
2022-01-04 07:00:00,46382.67,46581.59,46334.54,46558.25
2022-01-04 08:00:00,46558.26,46686.14,46410.68,46506.27
2022-01-04 09:00:00,46502.71,46606.33,46304.41,46356.0
2022-01-04 10:00:00,46359.02,46755.83,46297.25,46634.9
2022-01-04 11:00:00,46632.01,46775.01,46630.52,46735.35
2022-01-04 12:00:00,46732.31,46764.31,46473.41,46634.4
2022-01-04 13:00:00,46632.41,47094.01,46412.88,46971.26
2022-01-04 14:00:00,46970.54,47461.99,46829.51,47338.27
2022-01-04 15:00:00,47335.01,47532.89,46833.53,46900.0
2022-01-04 16:00:00,46906.54,46906.54,46630.54,46759.47
2022-01-04 17:00:00,46759.46,46971.03,46522.38,46540.06
2022-01-04 18:00:00,46542.67,46720.0,45515.0,45736.11
2022-01-04 19:00:00,45736.14,46452.01,45556.36,46039.93
2022-01-04 20:00:00,46039.93,46425.43,45950.09,46256.15
2022-01-04 21:00:00,46256.15,46318.05,46011.22,46215.85
2022-01-04 22:00:00,46215.86,46235.06,45958.05,46152.75
2022-01-04 23:00:00,46151.8,46153.18,45705.19,45814.61
2022-01-05 00:00:00,45817.13,46344.15,45711.74,46270.59
2022-01-05 01:00:00,46270.59,46335.88,46089.33,46101.06
2022-01-05 02:00:00,46101.98,46384.11,46101.96,46299.62
2022-01-05 03:00:00,46299.28,46547.91,46299.02,46427.36
2022-01-05 04:00:00,46427.35,46529.02,46346.3,46412.0
2022-01-05 05:00:00,46412.24,46412.24,46243.32,46304.01
2022-01-05 06:00:00,46304.01,46468.26,46246.62,46453.63
2022-01-05 07:00:00,46454.3,46490.46,46337.39,46407.17
2022-01-05 08:00:00,46407.63,46677.08,46271.03,46646.05
2022-01-05 09:00:00,46646.06,46959.66,46573.61,46856.46
2022-01-05 10:00:00,46859.79,47076.55,46701.82,46820.84
2022-01-05 11:00:00,46820.84,46840.0,46111.33,46274.88
2022-01-05 12:00:00,46271.61,46344.61,45900.0,46230.06
2022-01-05 13:00:00,46230.1,46456.25,46104.28,46436.08
2022-01-05 14:00:00,46436.09,46830.0,46137.2,46699.32
2022-01-05 15:00:00,46702.61,46826.61,46379.89,46629.7
2022-01-05 16:00:00,46632.22,46696.53,46278.88,46297.89
2022-01-05 17:00:00,46297.89,46470.07,45999.66,46007.5
2022-01-05 18:00:00,46007.5,46277.92,45533.35,45917.49
2022-01-05 19:00:00,45917.48,46112.95,44500.0,44665.0
2022-01-05 20:00:00,44665.0,44828.74,43705.0,43948.01
2022-01-05 21:00:00,43945.78,44307.21,43355.0,43588.83
2022-01-05 22:00:00,43587.62,43805.33,42500.0,43433.04
2022-01-05 23:00:00,43431.99,43722.29,43240.02,43436.04
2022-01-06 00:00:00,43446.34,43773.06,43268.74,43688.24
2022-01-06 01:00:00,43684.43,43794.5,43262.0,43548.44
2022-01-06 02:00:00,43541.81,43615.25,43135.49,43254.32
2022-01-06 03:00:00,43254.32,43309.34,42815.0,42825.2
2022-01-06 04:00:00,42832.08,43139.35,42584.15,43024.73
2022-01-06 05:00:00,43024.73,43240.22,42792.46,43047.28
2022-01-06 06:00:00,43048.04,43230.73,42894.62,43081.28
2022-01-06 07:00:00,43091.2,43264.4,42971.67,43227.81
2022-01-06 08:00:00,43228.6,43261.56,42910.5,43052.55
2022-01-06 09:00:00,43051.86,43084.76,42432.99,42583.42
2022-01-06 10:00:00,42589.7,42938.94,42559.76,42882.77
2022-01-06 11:00:00,42882.76,42950.38,42678.32,42860.16
2022-01-06 12:00:00,42858.37,43056.14,42619.2,43048.61
2022-01-06 13:00:00,43054.29,43195.32,42900.0,43143.83
2022-01-06 14:00:00,43143.84,43230.0,42750.0,42786.39
2022-01-06 15:00:00,42792.25,43000.0,42643.55,42938.36
2022-01-06 16:00:00,42940.47,43106.28,42743.99,42876.79
2022-01-06 17:00:00,42876.48,43179.66,42789.01,43011.02
2022-01-06 18:00:00,43007.1,43427.5,42980.15,43385.85
2022-01-06 19:00:00,43385.85,43516.77,43236.97,43441.82
2022-01-06 20:00:00,43441.82,43594.12,43104.59,43214.64
2022-01-06 21:00:00,43217.1,43250.0,43062.67,43114.04
2022-01-06 22:00:00,43112.31,43230.0,43000.0,43170.79
2022-01-06 23:00:00,43171.5,43230.0,43049.32,43083.76
2022-01-07 00:00:00,43081.79,43144.72,42724.09,42768.35
2022-01-07 01:00:00,42768.39,43024.52,42765.56,43000.81
2022-01-07 02:00:00,43000.81,43024.62,42761.16,42779.33
2022-01-07 03:00:00,42780.65,42813.64,41567.0,41797.85
2022-01-07 04:00:00,41798.69,41892.22,41000.0,41689.99
2022-01-07 05:00:00,41691.63,41945.65,41522.31,41834.3
2022-01-07 06:00:00,41834.97,41843.29,41389.3,41507.76
2022-01-07 07:00:00,41505.97,41700.0,41200.0,41683.68
2022-01-07 08:00:00,41689.66,42815.0,41596.38,42072.51
2022-01-07 09:00:00,42063.32,42614.6,42044.86,42415.48
2022-01-07 10:00:00,42412.07,42500.0,42161.66,42162.88
2022-01-07 11:00:00,42162.88,42338.1,42141.23,42241.74
2022-01-07 12:00:00,42241.74,42490.14,42241.74,42397.71
2022-01-07 13:00:00,42398.85,42736.37,41175.84,41476.71
2022-01-07 14:00:00,41479.62,42142.56,41376.52,41895.02
2022-01-07 15:00:00,41898.25,41919.5,40571.53,41321.73
2022-01-07 16:00:00,41316.13,42323.17,40925.04,42141.29
2022-01-07 17:00:00,42153.3,42178.57,41765.02,41992.31
2022-01-07 18:00:00,41992.31,42000.0,41508.27,41697.79
2022-01-07 19:00:00,41693.38,41888.0,41507.83,41771.8
2022-01-07 20:00:00,41771.9,42049.43,41591.28,41912.19
2022-01-07 21:00:00,41912.19,42020.0,41850.04,41877.12
2022-01-07 22:00:00,41876.02,41880.01,41360.99,41535.69
2022-01-07 23:00:00,41535.65,41591.46,41333.0,41565.18
2022-01-08 00:00:00,41564.57,42106.02,41552.2,41993.0
2022-01-08 01:00:00,41992.15,42237.12,41847.38,41887.63
2022-01-08 02:00:00,41889.41,41944.53,41695.0,41878.93
2022-01-08 03:00:00,41878.93,41910.82,41650.0,41807.56
2022-01-08 04:00:00,41807.55,41991.09,41755.37,41900.12
2022-01-08 05:00:00,41899.95,41995.0,41835.76,41977.37
2022-01-08 06:00:00,41976.07,41999.27,41737.65,41923.58
2022-01-08 07:00:00,41923.58,41976.37,41843.86,41907.74
2022-01-08 08:00:00,41912.5,42182.85,41887.33,41966.97
2022-01-08 09:00:00,41962.92,42160.0,41951.89,42158.3
2022-01-08 10:00:00,42158.3,42200.0,41814.92,41921.22
2022-01-08 11:00:00,41921.66,41978.82,41768.6,41947.32
2022-01-08 12:00:00,41947.31,42059.31,41776.77,41879.61
2022-01-08 13:00:00,41878.15,42029.44,41631.79,41906.37
2022-01-08 14:00:00,41908.63,42009.26,41715.37,41745.09
2022-01-08 15:00:00,41749.7,41808.56,41445.44,41613.86
2022-01-08 16:00:00,41613.86,41740.25,41235.52,41334.08
2022-01-08 17:00:00,41344.22,41407.97,40789.36,40840.9
2022-01-08 18:00:00,40842.35,41310.64,40569.0,40678.22
2022-01-08 19:00:00,40673.81,41083.11,40505.3,40825.96
2022-01-08 20:00:00,40821.62,41175.87,40707.77,40969.36
2022-01-08 21:00:00,40981.74,42064.27,40928.58,41785.88
2022-01-08 22:00:00,41782.6,42318.97,41749.92,41925.68
2022-01-08 23:00:00,41925.68,41960.33,41662.98,41684.84
2022-01-09 00:00:00,41684.84,41830.98,41387.44,41777.52
2022-01-09 01:00:00,41772.23,41944.22,41601.53,41810.07
2022-01-09 02:00:00,41820.09,42190.15,41783.29,42119.23
2022-01-09 03:00:00,42119.24,42119.24,41799.69,41846.66
2022-01-09 04:00:00,41846.65,42112.53,41816.83,42084.1
2022-01-09 05:00:00,42084.21,42098.57,41711.41,41770.5
2022-01-09 06:00:00,41769.53,41957.09,41675.39,41878.37
2022-01-09 07:00:00,41878.37,41910.92,41781.45,41797.24
2022-01-09 08:00:00,41797.24,41940.0,41617.86,41664.28
2022-01-09 09:00:00,41666.11,41766.82,41473.68,41510.59
2022-01-09 10:00:00,41510.6,41727.43,41407.4,41646.04
2022-01-09 11:00:00,41646.03,41986.25,41646.03,41867.68
2022-01-09 12:00:00,41865.63,41931.64,41683.61,41756.93
2022-01-09 13:00:00,41760.86,41901.06,41466.66,41466.67
2022-01-09 14:00:00,41466.66,41742.5,41466.66,41541.48
2022-01-09 15:00:00,41542.5,41683.66,41209.53,41622.98
2022-01-09 16:00:00,41622.98,42154.99,41571.28,42154.98
2022-01-09 17:00:00,42154.99,42221.15,41893.31,42104.91
2022-01-09 18:00:00,42104.91,42288.5,41918.07,41982.84
2022-01-09 19:00:00,41982.85,42766.33,41949.77,42706.11
2022-01-09 20:00:00,42712.03,42831.12,42381.43,42447.46
2022-01-09 21:00:00,42447.46,42554.2,42300.0,42311.28
2022-01-09 22:00:00,42311.21,42500.0,42100.24,42218.6
2022-01-09 23:00:00,42218.59,42292.16,41775.0,41876.52
2022-01-10 00:00:00,41876.52,42040.84,41625.0,41655.56
2022-01-10 01:00:00,41655.56,41850.51,41600.0,41823.24
2022-01-10 02:00:00,41823.25,42010.82,41726.85,41942.11
2022-01-10 03:00:00,41943.81,42001.38,41873.63,41977.45
2022-01-10 04:00:00,41979.61,42250.0,41938.74,42202.9
2022-01-10 05:00:00,42205.16,42236.16,41964.74,42030.31
2022-01-10 06:00:00,42032.18,42051.3,41835.51,41929.58
2022-01-10 07:00:00,41926.27,42161.38,41908.43,42053.05
2022-01-10 08:00:00,42056.35,42120.57,41724.28,41826.43
2022-01-10 09:00:00,41817.06,41938.53,41720.64,41813.38
2022-01-10 10:00:00,41814.2,41994.32,41760.7,41793.2
2022-01-10 11:00:00,41793.2,41807.01,41435.77,41554.45
2022-01-10 12:00:00,41557.35,41608.3,40900.0,40945.48
2022-01-10 13:00:00,40940.95,41064.88,40722.1,40774.99
2022-01-10 14:00:00,40774.99,41273.85,39650.0,40797.31
2022-01-10 15:00:00,40792.29,41218.01,40565.1,40988.0
2022-01-10 16:00:00,40988.0,41998.97,40857.23,41921.09
2022-01-10 17:00:00,41921.08,42122.42,40559.39,41206.18
2022-01-10 18:00:00,41206.1,41750.0,41129.85,41624.39
2022-01-10 19:00:00,41624.34,41724.32,41235.05,41295.1
2022-01-10 20:00:00,41295.1,41780.0,41169.07,41680.0
2022-01-10 21:00:00,41714.45,41992.58,41586.66,41733.32
2022-01-10 22:00:00,41732.87,41865.54,41527.69,41620.35
2022-01-10 23:00:00,41620.35,41900.93,41506.55,41824.07
2022-01-11 00:00:00,41824.06,41891.9,41606.87,41612.83
2022-01-11 01:00:00,41612.83,42078.88,41559.18,41929.28
2022-01-11 02:00:00,41929.29,42397.02,41824.52,42184.67
2022-01-11 03:00:00,42188.83,42298.33,42068.41,42297.29
2022-01-11 04:00:00,42295.73,42377.48,42145.8,42315.0
2022-01-11 05:00:00,42322.94,42330.9,42017.4,42120.64
2022-01-11 06:00:00,42120.64,42237.61,41987.61,42117.9
2022-01-11 07:00:00,42123.49,42294.05,42090.54,42219.43
2022-01-11 08:00:00,42219.41,42620.0,41944.31,41999.14
2022-01-11 09:00:00,41999.15,42157.55,41850.01,41997.48
2022-01-11 10:00:00,41997.48,42077.44,41591.6,41633.59
2022-01-11 11:00:00,41633.6,41950.87,41598.18,41829.71
2022-01-11 12:00:00,41827.68,41969.87,41730.88,41830.86
2022-01-11 13:00:00,41829.32,41906.93,41591.78,41708.68
2022-01-11 14:00:00,41706.85,41827.47,41274.8,41642.87
2022-01-11 15:00:00,41642.87,42186.0,41454.11,41743.78
2022-01-11 16:00:00,41743.78,43000.0,41691.3,42723.86
2022-01-11 17:00:00,42730.59,43127.87,42333.33,42567.11
2022-01-11 18:00:00,42567.11,42947.01,42383.28,42775.05
