datetime,KP3RBUSD_open,KP3RBUSD_high,KP3RBUSD_low,KP3RBUSD_close
2022-01-01 00:00:00,894.31,915.2,891.2,907.5
2022-01-01 01:00:00,907.5,960.5,903.84,951.37
2022-01-01 02:00:00,951.65,975.0,933.0,972.91
2022-01-01 03:00:00,974.9,1079.8,951.33,1062.15
2022-01-01 04:00:00,1056.79,1142.99,1015.71,1071.08
2022-01-01 05:00:00,1067.04,1108.04,1032.29,1036.63
2022-01-01 06:00:00,1038.09,1050.0,1016.48,1031.89
2022-01-01 07:00:00,1032.4,1050.0,1010.28,1030.21
2022-01-01 08:00:00,1025.46,1045.0,1015.83,1027.18
2022-01-01 09:00:00,1027.67,1145.0,1019.08,1071.7
2022-01-01 10:00:00,1071.68,1215.85,1070.01,1144.77
2022-01-01 11:00:00,1148.25,1148.25,1079.54,1110.73
2022-01-01 12:00:00,1107.75,1143.27,1077.94,1124.59
2022-01-01 13:00:00,1122.02,1272.9,1118.0,1257.5
2022-01-01 14:00:00,1259.99,1265.2,1176.63,1191.11
2022-01-01 15:00:00,1190.99,1265.0,1190.0,1230.53
2022-01-01 16:00:00,1230.6,1290.0,1214.99,1229.99
2022-01-01 17:00:00,1230.1,1248.92,1182.13,1183.74
2022-01-01 18:00:00,1184.84,1221.47,1184.83,1202.01
2022-01-01 19:00:00,1206.97,1286.0,1195.0,1276.28
2022-01-01 20:00:00,1276.22,1282.81,1244.4,1262.79
2022-01-01 21:00:00,1262.79,1337.34,1261.53,1324.0
2022-01-01 22:00:00,1320.73,1337.68,1295.0,1299.53
2022-01-01 23:00:00,1301.18,1345.52,1296.34,1345.52
2022-01-02 00:00:00,1345.65,1368.0,1327.8,1350.58
2022-01-02 01:00:00,1348.77,1383.38,1325.0,1336.45
2022-01-02 02:00:00,1336.0,1375.97,1301.45,1308.0
2022-01-02 03:00:00,1309.58,1331.5,1220.0,1279.04
2022-01-02 04:00:00,1279.99,1330.0,1250.0,1300.0
2022-01-02 05:00:00,1300.0,1318.3,1285.46,1289.07
2022-01-02 06:00:00,1289.07,1309.44,1266.82,1297.6
2022-01-02 07:00:00,1294.58,1299.43,1275.63,1280.39
2022-01-02 08:00:00,1280.42,1287.98,1242.0,1242.09
2022-01-02 09:00:00,1242.09,1247.78,1167.21,1173.72
2022-01-02 10:00:00,1173.72,1224.0,1171.73,1211.19
2022-01-02 11:00:00,1212.85,1276.73,1210.93,1270.0
2022-01-02 12:00:00,1267.51,1300.0,1219.05,1237.94
2022-01-02 13:00:00,1238.26,1269.9,1189.93,1192.61
2022-01-02 14:00:00,1196.56,1214.24,1142.87,1148.67
2022-01-02 15:00:00,1149.97,1188.04,1146.12,1167.18
2022-01-02 16:00:00,1167.26,1192.0,1144.01,1148.69
2022-01-02 17:00:00,1152.86,1233.24,1152.86,1188.51
2022-01-02 18:00:00,1188.51,1214.0,1167.03,1175.06
2022-01-02 19:00:00,1179.53,1179.59,1155.27,1156.88
