datetime,IOTXUSD_open,IOTXUSD_high,IOTXUSD_low,IOTXUSD_close
2022-01-01 00:00:00,0.14815,0.14875,0.14776,0.14869
2022-01-01 01:00:00,0.14869,0.14891,0.14623,0.14853
2022-01-01 02:00:00,0.14853,0.14869,0.14728,0.14771
2022-01-01 03:00:00,0.14771,0.1485,0.1477,0.1479
2022-01-01 04:00:00,0.14785,0.14818,0.14548,0.1456
2022-01-01 05:00:00,0.14551,0.14866,0.14551,0.14806
2022-01-01 06:00:00,0.14817,0.14865,0.14652,0.14702
2022-01-01 07:00:00,0.14713,0.14899,0.14696,0.14812
2022-01-01 08:00:00,0.14829,0.14898,0.14745,0.1478
2022-01-01 09:00:00,0.1479,0.14839,0.14702,0.14755
2022-01-01 10:00:00,0.14749,0.14872,0.14696,0.14788
2022-01-01 11:00:00,0.14821,0.14841,0.147,0.1472
2022-01-01 12:00:00,0.14726,0.14849,0.14696,0.14772
2022-01-01 13:00:00,0.1478,0.14912,0.14696,0.14755
2022-01-01 14:00:00,0.14755,0.14812,0.1469,0.14717
2022-01-01 15:00:00,0.14717,0.15084,0.14694,0.15006
2022-01-01 16:00:00,0.14984,0.15202,0.14937,0.15168
2022-01-01 17:00:00,0.15168,0.15858,0.15167,0.15441
2022-01-01 18:00:00,0.15459,0.159,0.1544,0.15844
2022-01-01 19:00:00,0.15881,0.15894,0.15603,0.15654
2022-01-01 20:00:00,0.15624,0.15894,0.1557,0.15712
2022-01-01 21:00:00,0.15771,0.15863,0.15477,0.1548
2022-01-01 22:00:00,0.15482,0.156,0.15404,0.15475
2022-01-01 23:00:00,0.15473,0.1557,0.15399,0.15553
2022-01-02 00:00:00,0.15526,0.15673,0.15458,0.1555
2022-01-02 01:00:00,0.15535,0.15784,0.15406,0.15532
2022-01-02 02:00:00,0.15554,0.15597,0.1535,0.15426
2022-01-02 03:00:00,0.15427,0.15522,0.15294,0.15401
2022-01-02 04:00:00,0.15381,0.15497,0.1526,0.15295
2022-01-02 05:00:00,0.1526,0.15436,0.15227,0.15418
2022-01-02 06:00:00,0.15402,0.15408,0.15305,0.15324
2022-01-02 07:00:00,0.15335,0.15509,0.15286,0.153
