datetime,SANDBUSD_open,SANDBUSD_high,SANDBUSD_low,SANDBUSD_close
2022-01-02 06:00:00,5.8865,5.9091,5.8835,5.8965
2022-01-02 07:00:00,5.8958,5.9048,5.8604,5.8875
2022-01-02 08:00:00,5.8863,5.894,5.851,5.8511
2022-01-02 09:00:00,5.851,5.8675,5.8342,5.8467
2022-01-02 10:00:00,5.8515,5.9036,5.8482,5.8906
2022-01-02 11:00:00,5.8906,5.9736,5.8773,5.9671
2022-01-02 12:00:00,5.9691,5.9946,5.935,5.9519
2022-01-02 13:00:00,5.9502,5.9507,5.8579,5.8773
2022-01-02 14:00:00,5.8747,5.89,5.85,5.85
2022-01-02 15:00:00,5.8507,5.8602,5.835,5.8452
2022-01-02 16:00:00,5.845,5.8731,5.838,5.8666
2022-01-02 17:00:00,5.8651,5.8936,5.8651,5.8918
2022-01-02 18:00:00,5.8934,5.9356,5.8929,5.9108
2022-01-02 19:00:00,5.9136,5.9891,5.8775,5.9203
2022-01-02 20:00:00,5.9157,5.9286,5.86,5.8825
2022-01-02 21:00:00,5.8763,5.8819,5.8324,5.858
2022-01-02 22:00:00,5.8575,5.8732,5.7768,5.7956
2022-01-02 23:00:00,5.7914,5.827,5.7795,5.7838
2022-01-03 00:00:00,5.781,5.8253,5.7652,5.8085
2022-01-03 01:00:00,5.8094,5.8116,5.7757,5.7836
2022-01-03 02:00:00,5.782,5.8147,5.7699,5.7977
2022-01-03 03:00:00,5.7946,5.814,5.79,5.7978
2022-01-03 04:00:00,5.7968,5.8162,5.766,5.7954
2022-01-03 05:00:00,5.7954,5.82,5.7896,5.8046
2022-01-03 06:00:00,5.8057,5.864,5.8046,5.8576
2022-01-03 07:00:00,5.8621,5.8778,5.8202,5.8304
2022-01-03 08:00:00,5.8299,5.8545,5.8273,5.83
2022-01-03 09:00:00,5.8305,5.8501,5.7981,5.7981
2022-01-03 10:00:00,5.7979,5.8167,5.7226,5.7516
2022-01-03 11:00:00,5.7539,5.7661,5.6359,5.6515
2022-01-03 12:00:00,5.6544,5.7038,5.6509,5.6892
2022-01-03 13:00:00,5.6879,5.7115,5.672,5.6827
2022-01-03 14:00:00,5.6827,5.7162,5.6688,5.6721
2022-01-03 15:00:00,5.67,5.6806,5.5777,5.6351
2022-01-03 16:00:00,5.6303,5.6788,5.6154,5.6622
2022-01-03 17:00:00,5.6622,5.7034,5.655,5.6879
2022-01-03 18:00:00,5.6925,5.716,5.6785,5.6866
2022-01-03 19:00:00,5.6905,5.7048,5.5854,5.6097
2022-01-03 20:00:00,5.6059,5.6059,5.5053,5.5097
2022-01-03 21:00:00,5.5075,5.5418,5.418,5.4817
2022-01-03 22:00:00,5.4813,5.5489,5.4653,5.531
2022-01-03 23:00:00,5.529,5.5474,5.4927,5.4997
2022-01-04 00:00:00,5.495,5.5464,5.4833,5.535
2022-01-04 01:00:00,5.5376,5.567,5.5227,5.5659
2022-01-04 02:00:00,5.5664,5.6036,5.5489,5.6033
2022-01-04 03:00:00,5.6035,5.6373,5.5731,5.5917
2022-01-04 04:00:00,5.5891,5.6076,5.5611,5.5717
