datetime,DARBUSD_open,DARBUSD_high,DARBUSD_low,DARBUSD_close
2022-01-03 17:00:00,2.05548,2.05936,2.04,2.04641
2022-01-03 18:00:00,2.04372,2.05655,2.04185,2.04493
2022-01-03 19:00:00,2.05169,2.05466,2.04,2.04277
2022-01-03 20:00:00,2.04277,2.04277,2.02259,2.02398
2022-01-03 21:00:00,2.024,2.02615,2.0002,2.002
2022-01-03 22:00:00,2.00486,2.04424,1.98889,2.0312
2022-01-03 23:00:00,2.03008,2.03536,2.01556,2.01626
2022-01-04 00:00:00,2.01618,2.02285,2.00248,2.00879
2022-01-04 01:00:00,2.01282,2.01819,2.00536,2.01557
2022-01-04 02:00:00,2.01556,2.0522,2.00944,2.0522
2022-01-04 03:00:00,2.0522,2.06151,2.04352,2.04859
2022-01-04 04:00:00,2.04472,2.05528,2.03458,2.04571
2022-01-04 05:00:00,2.04946,2.06702,2.04185,2.06516
2022-01-04 06:00:00,2.06516,2.12528,2.06278,2.11314
2022-01-04 07:00:00,2.11289,2.11289,2.06788,2.0703
2022-01-04 08:00:00,2.0703,2.08528,2.06081,2.083
2022-01-04 09:00:00,2.08545,2.08548,2.06633,2.07482
2022-01-04 10:00:00,2.07482,2.09196,2.07159,2.07868
2022-01-04 11:00:00,2.07858,2.08,2.06,2.06697
2022-01-04 12:00:00,2.06696,2.07653,2.05641,2.064
2022-01-04 13:00:00,2.06045,2.10993,2.05289,2.06
2022-01-04 14:00:00,2.05731,2.1001,2.04683,2.08622
2022-01-04 15:00:00,2.08629,2.13147,2.08078,2.11349
2022-01-04 16:00:00,2.11349,2.11772,2.09484,2.11772
2022-01-04 17:00:00,2.11532,2.11532,2.07916,2.07937
2022-01-04 18:00:00,2.08137,2.09416,2.06122,2.0836
2022-01-04 19:00:00,2.08375,2.09533,2.06346,2.0928
2022-01-04 20:00:00,2.09268,2.1327,2.09057,2.11772
2022-01-04 21:00:00,2.11772,2.14259,2.11678,2.13905
2022-01-04 22:00:00,2.13471,2.13897,2.11046,2.13
2022-01-04 23:00:00,2.13,2.13162,2.08641,2.10172
2022-01-05 00:00:00,2.1021,2.11749,2.09504,2.11749
2022-01-05 01:00:00,2.11367,2.13118,2.09986,2.10367
2022-01-05 02:00:00,2.10808,2.11831,2.09951,2.10799
2022-01-05 03:00:00,2.10483,2.1299,2.0976,2.11656
2022-01-05 04:00:00,2.11926,2.17107,2.11892,2.14725
2022-01-05 05:00:00,2.1451,2.14681,2.12088,2.12455
2022-01-05 06:00:00,2.12088,2.1327,2.09429,2.10043
2022-01-05 07:00:00,2.10124,2.10904,2.082,2.10167
2022-01-05 08:00:00,2.0976,2.10587,2.07997,2.09793
2022-01-05 09:00:00,2.09501,2.10267,2.0777,2.09054
2022-01-05 10:00:00,2.09495,2.09726,2.07333,2.07895
2022-01-05 11:00:00,2.08,2.0907,2.06475,2.06475
2022-01-05 12:00:00,2.06475,2.07627,2.0385,2.03855
2022-01-05 13:00:00,2.04104,2.05494,2.0123,2.04847
2022-01-05 14:00:00,2.04728,2.05345,1.955,1.955
2022-01-05 15:00:00,1.96091,1.98725,1.91863,1.96835
2022-01-05 16:00:00,1.96927,2.035,1.96927,1.99707
2022-01-05 17:00:00,1.99947,2.02367,1.94313,1.98379
2022-01-05 18:00:00,1.98436,2.01313,1.9522,1.98018
2022-01-05 19:00:00,1.98018,1.99952,1.9618,1.98575
2022-01-05 20:00:00,1.98575,2.01408,1.96364,1.99545
2022-01-05 21:00:00,1.9894,2.02278,1.97577,1.98529
2022-01-05 22:00:00,1.98652,2.0136,1.95857,1.9604
2022-01-05 23:00:00,1.96462,1.98536,1.92488,1.97326
2022-01-06 00:00:00,1.97095,1.97913,1.93589,1.95782
2022-01-06 01:00:00,1.95571,1.96312,1.93501,1.94732
2022-01-06 02:00:00,1.94672,1.95611,1.9373,1.94489
2022-01-06 03:00:00,1.94365,1.94365,1.9,1.91562
2022-01-06 04:00:00,1.91413,1.92093,1.84501,1.85312
2022-01-06 05:00:00,1.85489,1.895,1.85489,1.87734
2022-01-06 06:00:00,1.8813,1.89163,1.86044,1.89116
2022-01-06 07:00:00,1.88932,1.89544,1.8575,1.89544
2022-01-06 08:00:00,1.89163,1.92369,1.88618,1.91668
2022-01-06 09:00:00,1.91639,1.975,1.89282,1.94
2022-01-06 10:00:00,1.94051,1.94051,1.91212,1.92629
2022-01-06 11:00:00,1.92614,1.93902,1.91825,1.9232
2022-01-06 12:00:00,1.91986,1.9266,1.90155,1.91586
2022-01-06 13:00:00,1.91586,1.92749,1.90779,1.92599
2022-01-06 14:00:00,1.9274,1.93105,1.91429,1.93105
2022-01-06 15:00:00,1.93,1.93803,1.91074,1.93803
2022-01-06 16:00:00,1.93827,1.94552,1.9192,1.93363
2022-01-06 17:00:00,1.93363,1.94146,1.925,1.92735
2022-01-06 18:00:00,1.93324,1.93356,1.90342,1.91221
2022-01-06 19:00:00,1.91285,1.92146,1.88512,1.91186
2022-01-06 20:00:00,1.91192,1.91716,1.8935,1.90578
2022-01-06 21:00:00,1.9047,1.90753,1.87186,1.87186
2022-01-06 22:00:00,1.87166,1.87896,1.8203,1.82342
2022-01-06 23:00:00,1.82056,1.8391,1.73362,1.77391
2022-01-07 00:00:00,1.7794,1.79407,1.76579,1.78554
2022-01-07 01:00:00,1.78617,1.79162,1.75922,1.76121
2022-01-07 02:00:00,1.76527,1.79527,1.735,1.79326
2022-01-07 03:00:00,1.79144,1.81941,1.78345,1.80328
2022-01-07 04:00:00,1.80588,1.82555,1.80415,1.80489
2022-01-07 05:00:00,1.81118,1.819,1.79776,1.79776
2022-01-07 06:00:00,1.79721,1.80698,1.79,1.79674
2022-01-07 07:00:00,1.79987,1.81074,1.79786,1.80209
2022-01-07 08:00:00,1.80704,1.81006,1.73806,1.74805
2022-01-07 09:00:00,1.74889,1.7674,1.74177,1.75691
2022-01-07 10:00:00,1.75599,1.75599,1.7039,1.72
2022-01-07 11:00:00,1.72021,1.77311,1.70281,1.77311
2022-01-07 12:00:00,1.76982,1.7735,1.74418,1.7576
2022-01-07 13:00:00,1.75748,1.75779,1.7188,1.72389
2022-01-07 14:00:00,1.72531,1.7293,1.70403,1.717
2022-01-07 15:00:00,1.71708,1.72354,1.70745,1.71888
2022-01-07 16:00:00,1.72174,1.72526,1.71385,1.71713
