datetime,STPTBUSD_open,STPTBUSD_high,STPTBUSD_low,STPTBUSD_close
2022-01-01 00:00:00,0.10324,0.10414,0.10324,0.10414
2022-01-01 01:00:00,0.10361,0.10381,0.10361,0.10372
2022-01-01 02:00:00,0.10325,0.10339,0.10293,0.10339
2022-01-01 03:00:00,0.10341,0.10361,0.10334,0.10334
2022-01-01 04:00:00,0.10334,0.10359,0.1031,0.1031
2022-01-01 05:00:00,0.10317,0.10319,0.10259,0.10259
2022-01-01 06:00:00,0.10299,0.103,0.10231,0.10231
2022-01-01 07:00:00,0.1024,0.1031,0.1024,0.1031
2022-01-01 08:00:00,0.1033,0.10355,0.10307,0.10355
2022-01-01 09:00:00,0.10312,0.10312,0.10282,0.10282
2022-01-01 10:00:00,0.10311,0.10395,0.10311,0.10395
2022-01-01 11:00:00,0.1038,0.10428,0.1035,0.10428
2022-01-01 12:00:00,0.10428,0.10498,0.10428,0.10498
2022-01-01 13:00:00,0.10498,0.10559,0.10498,0.10517
2022-01-01 14:00:00,0.10545,0.10547,0.10492,0.10493
2022-01-01 15:00:00,0.10555,0.10555,0.10555,0.10555
2022-01-01 16:00:00,0.10513,0.10533,0.1049,0.10533
2022-01-01 17:00:00,0.10506,0.10551,0.10447,0.10447
2022-01-01 18:00:00,0.10488,0.10506,0.10447,0.10502
2022-01-01 19:00:00,0.10486,0.1049,0.10443,0.10489
2022-01-01 20:00:00,0.10467,0.10467,0.10426,0.10426
2022-01-01 21:00:00,0.10436,0.10591,0.10436,0.10591
2022-01-01 22:00:00,0.1059,0.10604,0.10547,0.10566
2022-01-01 23:00:00,0.10582,0.10588,0.10467,0.10467
2022-01-02 00:00:00,0.1045,0.10525,0.10447,0.10524
2022-01-02 01:00:00,0.10519,0.10533,0.10468,0.10533
2022-01-02 02:00:00,0.10533,0.10603,0.10533,0.10603
2022-01-02 03:00:00,0.10604,0.1114,0.1055,0.10896
2022-01-02 04:00:00,0.10951,0.11313,0.10853,0.11108
2022-01-02 05:00:00,0.11108,0.1111,0.10893,0.10961
2022-01-02 06:00:00,0.10962,0.11111,0.10961,0.11014
2022-01-02 07:00:00,0.11036,0.11057,0.10939,0.10981
2022-01-02 08:00:00,0.10981,0.11221,0.1091,0.11221
2022-01-02 09:00:00,0.11221,0.122,0.11221,0.1201
2022-01-02 10:00:00,0.12043,0.127,0.11204,0.11251
2022-01-02 11:00:00,0.11297,0.1137,0.11131,0.113
2022-01-02 12:00:00,0.1131,0.1131,0.11159,0.1118
2022-01-02 13:00:00,0.11181,0.11309,0.11022,0.11062
2022-01-02 14:00:00,0.11072,0.11191,0.11063,0.11182
2022-01-02 15:00:00,0.11146,0.1129,0.11102,0.11236
2022-01-02 16:00:00,0.11229,0.11229,0.11096,0.11201
2022-01-02 17:00:00,0.11211,0.11457,0.11211,0.11396
2022-01-02 18:00:00,0.11323,0.11459,0.11315,0.11382
2022-01-02 19:00:00,0.11448,0.11902,0.11231,0.11391
2022-01-02 20:00:00,0.11355,0.11654,0.11355,0.11637
2022-01-02 21:00:00,0.11637,0.1223,0.11563,0.118
2022-01-02 22:00:00,0.118,0.1198,0.11529,0.11585
2022-01-02 23:00:00,0.11574,0.11719,0.11482,0.11534
2022-01-03 00:00:00,0.11473,0.11657,0.11448,0.11654
2022-01-03 01:00:00,0.11656,0.1207,0.11456,0.11868
2022-01-03 02:00:00,0.11933,0.11935,0.11573,0.11811
2022-01-03 03:00:00,0.11852,0.12057,0.11531,0.11554
2022-01-03 04:00:00,0.11553,0.11588,0.11125,0.11191
2022-01-03 05:00:00,0.11198,0.11363,0.11198,0.11293
2022-01-03 06:00:00,0.11288,0.11525,0.11288,0.11524
2022-01-03 07:00:00,0.11524,0.11714,0.11439,0.11439
2022-01-03 08:00:00,0.11439,0.11526,0.1142,0.11461
2022-01-03 09:00:00,0.11419,0.11461,0.11303,0.11312
2022-01-03 10:00:00,0.11311,0.11348,0.11235,0.11235
2022-01-03 11:00:00,0.11235,0.11237,0.11111,0.11154
2022-01-03 12:00:00,0.11153,0.11271,0.11146,0.11218
2022-01-03 13:00:00,0.1127,0.1127,0.11193,0.11193
2022-01-03 14:00:00,0.11193,0.11256,0.11145,0.11249
2022-01-03 15:00:00,0.11226,0.11226,0.11018,0.11126
2022-01-03 16:00:00,0.11051,0.11168,0.11043,0.11112
2022-01-03 17:00:00,0.11169,0.11256,0.11109,0.11109
2022-01-03 18:00:00,0.11197,0.11233,0.11197,0.11221
2022-01-03 19:00:00,0.112,0.11257,0.10979,0.10979
2022-01-03 20:00:00,0.10959,0.10999,0.10851,0.10851
2022-01-03 21:00:00,0.10851,0.10941,0.10766,0.10875
2022-01-03 22:00:00,0.1085,0.11011,0.10848,0.11011
2022-01-03 23:00:00,0.11011,0.11052,0.10993,0.11016
2022-01-04 00:00:00,0.11015,0.11017,0.10963,0.10963
2022-01-04 01:00:00,0.10962,0.11022,0.10905,0.11022
2022-01-04 02:00:00,0.10987,0.11035,0.10983,0.11035
2022-01-04 03:00:00,0.11035,0.11089,0.11015,0.11015
2022-01-04 04:00:00,0.11088,0.11088,0.10983,0.10983
2022-01-04 05:00:00,0.10985,0.11041,0.10962,0.11027
2022-01-04 06:00:00,0.11027,0.11243,0.11027,0.11243
2022-01-04 07:00:00,0.11189,0.11189,0.11077,0.1108
2022-01-04 08:00:00,0.1107,0.11074,0.11026,0.11045
2022-01-04 09:00:00,0.11122,0.1115,0.11054,0.1115
2022-01-04 10:00:00,0.1115,0.11183,0.11009,0.11041
2022-01-04 11:00:00,0.11003,0.1109,0.10999,0.11081
2022-01-04 12:00:00,0.11081,0.11146,0.1108,0.11143
2022-01-04 13:00:00,0.11132,0.11139,0.10817,0.10817
2022-01-04 14:00:00,0.10859,0.10978,0.10804,0.10872
2022-01-04 15:00:00,0.10834,0.10924,0.10821,0.10871
2022-01-04 16:00:00,0.10877,0.10994,0.10865,0.10931
2022-01-04 17:00:00,0.10922,0.10922,0.10909,0.10909
2022-01-04 18:00:00,0.10862,0.10901,0.10826,0.10826
2022-01-04 19:00:00,0.10826,0.10924,0.1081,0.10924
2022-01-04 20:00:00,0.10924,0.10979,0.10924,0.10978
2022-01-04 21:00:00,0.10891,0.10976,0.10888,0.10974
2022-01-04 22:00:00,0.10974,0.1103,0.10914,0.11002
2022-01-04 23:00:00,0.10967,0.10967,0.10956,0.10962
2022-01-05 00:00:00,0.10962,0.10965,0.10927,0.10927
2022-01-05 01:00:00,0.10952,0.11002,0.10951,0.10962
2022-01-05 02:00:00,0.10971,0.11008,0.10971,0.11008
2022-01-05 03:00:00,0.10986,0.10986,0.10904,0.10909
2022-01-05 04:00:00,0.10909,0.11013,0.10904,0.11013
2022-01-05 05:00:00,0.11013,0.11013,0.10953,0.10953
2022-01-05 06:00:00,0.10914,0.10914,0.10862,0.10862
2022-01-05 07:00:00,0.10886,0.10915,0.1085,0.10915
2022-01-05 08:00:00,0.10915,0.10963,0.10881,0.10929
2022-01-05 09:00:00,0.10963,0.11033,0.10947,0.11023
2022-01-05 10:00:00,0.11023,0.11103,0.10884,0.10906
2022-01-05 11:00:00,0.10949,0.11046,0.10944,0.10944
2022-01-05 12:00:00,0.10904,0.10904,0.10833,0.10833
2022-01-05 13:00:00,0.10833,0.10844,0.10738,0.10844
2022-01-05 14:00:00,0.10772,0.10841,0.105,0.10572
2022-01-05 15:00:00,0.10502,0.10551,0.10323,0.10345
2022-01-05 16:00:00,0.10318,0.10366,0.10185,0.10185
2022-01-05 17:00:00,0.10229,0.10229,0.09574,0.09905
2022-01-05 18:00:00,0.09912,0.10036,0.09911,0.09953
2022-01-05 19:00:00,0.09968,0.10019,0.09866,0.1
2022-01-05 20:00:00,0.10002,0.10003,0.099,0.0996
2022-01-05 21:00:00,0.09962,0.10035,0.0994,0.10015
2022-01-05 22:00:00,0.09948,0.10047,0.09922,0.09996
2022-01-05 23:00:00,0.09951,0.10008,0.09658,0.09748
2022-01-06 00:00:00,0.09756,0.09792,0.09741,0.09788
2022-01-06 01:00:00,0.09788,0.09833,0.0975,0.09793
2022-01-06 02:00:00,0.09792,0.09793,0.0979,0.0979
2022-01-06 03:00:00,0.09802,0.09802,0.09676,0.0973
2022-01-06 04:00:00,0.09726,0.09726,0.09532,0.09635
2022-01-06 05:00:00,0.0963,0.09647,0.09529,0.09647
2022-01-06 06:00:00,0.09646,0.09646,0.09568,0.0963
2022-01-06 07:00:00,0.096,0.09608,0.09586,0.09608
2022-01-06 08:00:00,0.09639,0.09743,0.09639,0.09743
