datetime,TROYBUSD_open,TROYBUSD_high,TROYBUSD_low,TROYBUSD_close
2022-01-01 00:00:00,0.010625,0.010733,0.0106,0.010699
2022-01-01 01:00:00,0.010685,0.010688,0.010658,0.010658
2022-01-01 02:00:00,0.010636,0.010698,0.010633,0.010698
2022-01-01 03:00:00,0.010664,0.010721,0.010664,0.010698
2022-01-01 04:00:00,0.010703,0.010717,0.010647,0.010668
2022-01-01 05:00:00,0.010693,0.010693,0.010627,0.010667
2022-01-01 06:00:00,0.010667,0.010704,0.01065,0.01065
2022-01-01 07:00:00,0.010657,0.010945,0.010657,0.010823
2022-01-01 08:00:00,0.010877,0.010893,0.010726,0.010726
2022-01-01 09:00:00,0.010753,0.010948,0.010708,0.010717
2022-01-01 10:00:00,0.010717,0.010823,0.010717,0.010769
2022-01-01 11:00:00,0.010797,0.010855,0.010781,0.010847
2022-01-01 12:00:00,0.010855,0.010935,0.010855,0.010871
2022-01-01 13:00:00,0.010872,0.011082,0.010854,0.011016
2022-01-01 14:00:00,0.011016,0.011119,0.010917,0.01092
2022-01-01 15:00:00,0.010912,0.010956,0.010888,0.010902
2022-01-01 16:00:00,0.010888,0.010908,0.010844,0.010844
2022-01-01 17:00:00,0.010843,0.010888,0.010814,0.010848
2022-01-01 18:00:00,0.01085,0.010868,0.010826,0.010867
2022-01-01 19:00:00,0.010874,0.010893,0.010854,0.010884
2022-01-01 20:00:00,0.010884,0.010905,0.010881,0.010881
2022-01-01 21:00:00,0.010881,0.010905,0.010863,0.010905
2022-01-01 22:00:00,0.010906,0.010917,0.010906,0.010917
2022-01-01 23:00:00,0.010904,0.010924,0.010779,0.010779
2022-01-02 00:00:00,0.010849,0.010849,0.010796,0.010807
2022-01-02 01:00:00,0.010827,0.010827,0.010827,0.010827
2022-01-02 02:00:00,0.010808,0.010844,0.010788,0.010824
2022-01-02 03:00:00,0.010787,0.010833,0.010752,0.010833
2022-01-02 04:00:00,0.010849,0.01095,0.010849,0.010907
2022-01-02 05:00:00,0.010927,0.010927,0.010875,0.010876
2022-01-02 06:00:00,0.01092,0.01092,0.010857,0.01086
2022-01-02 07:00:00,0.01088,0.01088,0.010785,0.010875
2022-01-02 08:00:00,0.010867,0.010867,0.010783,0.010797
2022-01-02 09:00:00,0.010802,0.010908,0.01078,0.010855
2022-01-02 10:00:00,0.010872,0.01106,0.010853,0.010911
2022-01-02 11:00:00,0.010895,0.010991,0.010895,0.010991
2022-01-02 12:00:00,0.010987,0.010988,0.010891,0.010891
2022-01-02 13:00:00,0.010891,0.010923,0.010746,0.010813
2022-01-02 14:00:00,0.01083,0.010896,0.010724,0.010756
2022-01-02 15:00:00,0.010776,0.010811,0.010766,0.01078
2022-01-02 16:00:00,0.010811,0.010887,0.010811,0.010887
2022-01-02 17:00:00,0.010826,0.010899,0.010826,0.010899
2022-01-02 18:00:00,0.010891,0.0109,0.010858,0.01086
2022-01-02 19:00:00,0.010818,0.010847,0.010783,0.010847
2022-01-02 20:00:00,0.010807,0.010855,0.0108,0.010831
2022-01-02 21:00:00,0.01085,0.01085,0.010783,0.010799
2022-01-02 22:00:00,0.0108,0.0108,0.010761,0.010784
2022-01-02 23:00:00,0.010763,0.010784,0.010733,0.010733
2022-01-03 00:00:00,0.01075,0.010795,0.010733,0.010795
2022-01-03 01:00:00,0.010783,0.010783,0.01072,0.010752
2022-01-03 02:00:00,0.01074,0.010749,0.010735,0.010735
2022-01-03 03:00:00,0.010761,0.010761,0.010726,0.010735
2022-01-03 04:00:00,0.010744,0.010744,0.010686,0.010715
2022-01-03 05:00:00,0.010753,0.010819,0.010753,0.010786
2022-01-03 06:00:00,0.010819,0.010839,0.010815,0.010829
2022-01-03 07:00:00,0.010829,0.01083,0.010752,0.010753
2022-01-03 08:00:00,0.010793,0.010817,0.010781,0.010781
2022-01-03 09:00:00,0.010781,0.010826,0.010769,0.010781
2022-01-03 10:00:00,0.010776,0.010782,0.01072,0.01072
2022-01-03 11:00:00,0.01072,0.010757,0.010655,0.010704
2022-01-03 12:00:00,0.010667,0.010711,0.010636,0.010711
2022-01-03 13:00:00,0.010653,0.010686,0.010636,0.010665
2022-01-03 14:00:00,0.010648,0.010705,0.010648,0.010705
2022-01-03 15:00:00,0.010699,0.010699,0.010503,0.010562
2022-01-03 16:00:00,0.010519,0.010593,0.010484,0.010583
2022-01-03 17:00:00,0.010543,0.010604,0.010543,0.010559
2022-01-03 18:00:00,0.010572,0.010599,0.010564,0.010588
2022-01-03 19:00:00,0.010588,0.0106,0.010492,0.010492
2022-01-03 20:00:00,0.010487,0.010487,0.01041,0.010411
2022-01-03 21:00:00,0.01042,0.010492,0.010374,0.010492
2022-01-03 22:00:00,0.010445,0.010504,0.010445,0.010504
2022-01-03 23:00:00,0.010498,0.010498,0.010456,0.010459
2022-01-04 00:00:00,0.010444,0.01053,0.010444,0.010505
2022-01-04 01:00:00,0.010535,0.010535,0.01049,0.010529
2022-01-04 02:00:00,0.0105,0.010537,0.0105,0.010518
2022-01-04 03:00:00,0.010537,0.010639,0.010537,0.010626
2022-01-04 04:00:00,0.010626,0.011322,0.010614,0.010616
2022-01-04 05:00:00,0.010617,0.010711,0.010596,0.010661
2022-01-04 06:00:00,0.01068,0.010767,0.010668,0.010758
2022-01-04 07:00:00,0.010759,0.010759,0.01066,0.01066
2022-01-04 08:00:00,0.010669,0.01073,0.010659,0.010697
2022-01-04 09:00:00,0.010747,0.010776,0.010697,0.010707
2022-01-04 10:00:00,0.01071,0.010724,0.010655,0.010655
2022-01-04 11:00:00,0.010655,0.010703,0.01064,0.010663
2022-01-04 12:00:00,0.010665,0.01079,0.010617,0.010728
