datetime,MANABUSD_open,MANABUSD_high,MANABUSD_low,MANABUSD_close
2022-01-04 21:00:00,3.1949,3.2138,3.1947,3.2123
2022-01-04 22:00:00,3.2132,3.2283,3.211,3.2199
2022-01-04 23:00:00,3.223,3.2291,3.2089,3.2145
2022-01-05 00:00:00,3.2155,3.2167,3.1972,3.2154
2022-01-05 01:00:00,3.2134,3.238,3.2097,3.2331
2022-01-05 02:00:00,3.2351,3.2477,3.2226,3.2314
2022-01-05 03:00:00,3.2339,3.2397,3.2111,3.2317
2022-01-05 04:00:00,3.2323,3.2626,3.2268,3.2626
2022-01-05 05:00:00,3.2627,3.2677,3.2344,3.2457
2022-01-05 06:00:00,3.2469,3.2485,3.2019,3.2126
2022-01-05 07:00:00,3.2122,3.2221,3.1797,3.2079
2022-01-05 08:00:00,3.2076,3.2229,3.197,3.213
2022-01-05 09:00:00,3.2131,3.2331,3.2004,3.2241
2022-01-05 10:00:00,3.2263,3.2317,3.1976,3.2122
2022-01-05 11:00:00,3.2122,3.2142,3.1899,3.1913
2022-01-05 12:00:00,3.19,3.2019,3.144,3.1462
2022-01-05 13:00:00,3.1465,3.1657,3.1107,3.1408
2022-01-05 14:00:00,3.1405,3.1509,2.9747,3.0021
2022-01-05 15:00:00,3.0,3.0179,2.9016,2.955
2022-01-05 16:00:00,2.9567,3.0069,2.9196,2.9254
2022-01-05 17:00:00,2.9247,2.9406,2.6764,2.8874
2022-01-05 18:00:00,2.8856,2.9694,2.8648,2.9143
2022-01-05 19:00:00,2.9153,2.9373,2.8897,2.9235
2022-01-05 20:00:00,2.9237,2.9309,2.851,2.8703
2022-01-05 21:00:00,2.8691,2.8895,2.8407,2.8485
2022-01-05 22:00:00,2.8454,2.8669,2.7931,2.795
2022-01-05 23:00:00,2.7969,2.8518,2.7878,2.8427
2022-01-06 00:00:00,2.8437,2.8747,2.8271,2.8535
2022-01-06 01:00:00,2.8547,2.8755,2.8319,2.8516
2022-01-06 02:00:00,2.8521,2.9048,2.8468,2.8998
2022-01-06 03:00:00,2.8995,2.9015,2.8491,2.8757
2022-01-06 04:00:00,2.8803,2.8803,2.8012,2.8144
2022-01-06 05:00:00,2.8174,2.8763,2.8174,2.867
2022-01-06 06:00:00,2.868,2.8744,2.83,2.8486
2022-01-06 07:00:00,2.85,2.8736,2.8128,2.8717
2022-01-06 08:00:00,2.8709,3.1995,2.8626,3.1423
2022-01-06 09:00:00,3.1426,3.4387,3.13,3.3345
2022-01-06 10:00:00,3.338,3.3548,3.2132,3.2847
2022-01-06 11:00:00,3.2853,3.3039,3.1533,3.1895
2022-01-06 12:00:00,3.1872,3.2446,3.1439,3.218
2022-01-06 13:00:00,3.22,3.2873,3.22,3.2542
2022-01-06 14:00:00,3.2537,3.3,3.2327,3.294
2022-01-06 15:00:00,3.2952,3.2997,3.215,3.2466
2022-01-06 16:00:00,3.2482,3.2576,3.2151,3.2508
2022-01-06 17:00:00,3.2517,3.3656,3.2515,3.3299
