datetime,ETHTUSD_open,ETHTUSD_high,ETHTUSD_low,ETHTUSD_close
2022-01-01 00:00:00,3707.2,3758.53,3703.77,3733.26
2022-01-01 01:00:00,3733.26,3733.26,3714.52,3720.77
2022-01-01 02:00:00,3714.13,3721.9,3702.42,3715.08
2022-01-01 03:00:00,3708.93,3730.11,3708.93,3729.24
2022-01-01 04:00:00,3726.37,3726.37,3711.64,3711.94
2022-01-01 05:00:00,3722.31,3727.64,3677.75,3694.27
2022-01-01 06:00:00,3698.35,3709.93,3692.69,3694.8
2022-01-01 07:00:00,3704.06,3718.18,3699.84,3709.98
2022-01-01 08:00:00,3717.94,3723.05,3708.29,3710.31
2022-01-01 09:00:00,3707.18,3711.65,3700.77,3703.88
2022-01-01 10:00:00,3695.56,3742.44,3695.52,3724.06
2022-01-01 11:00:00,3723.96,3744.39,3723.69,3726.39
2022-01-01 12:00:00,3730.09,3763.28,3725.87,3761.42
2022-01-01 13:00:00,3763.3,3763.3,3738.81,3754.98
2022-01-01 14:00:00,3756.46,3762.01,3734.31,3741.39
2022-01-01 15:00:00,3743.43,3775.19,3739.03,3762.21
2022-01-01 16:00:00,3762.21,3770.98,3747.74,3749.29
2022-01-01 17:00:00,3750.19,3762.49,3744.55,3755.09
2022-01-01 18:00:00,3755.09,3771.49,3740.09,3766.78
2022-01-01 19:00:00,3766.78,3766.87,3743.85,3761.38
2022-01-01 20:00:00,3754.72,3760.0,3743.83,3748.45
2022-01-01 21:00:00,3745.27,3752.81,3740.78,3747.52
2022-01-01 22:00:00,3749.67,3759.43,3748.34,3758.03
2022-01-01 23:00:00,3761.4,3761.4,3716.44,3726.85
2022-01-02 00:00:00,3728.59,3746.28,3723.23,3746.28
2022-01-02 01:00:00,3743.02,3752.29,3739.19,3739.19
2022-01-02 02:00:00,3747.72,3750.38,3741.21,3741.21
2022-01-02 03:00:00,3747.0,3747.58,3732.67,3744.08
2022-01-02 04:00:00,3744.08,3765.03,3739.54,3754.4
2022-01-02 05:00:00,3753.38,3757.0,3746.58,3746.58
2022-01-02 06:00:00,3746.77,3752.49,3745.07,3745.07
2022-01-02 07:00:00,3742.89,3759.53,3733.27,3754.1
2022-01-02 08:00:00,3756.78,3756.78,3745.49,3747.57
2022-01-02 09:00:00,3747.57,3758.82,3747.57,3754.68
2022-01-02 10:00:00,3754.04,3794.28,3752.1,3781.39
2022-01-02 11:00:00,3780.14,3844.19,3780.14,3836.85
2022-01-02 12:00:00,3850.0,3850.0,3813.0,3822.52
2022-01-02 13:00:00,3818.48,3824.81,3774.33,3791.72
2022-01-02 14:00:00,3800.09,3803.9,3785.68,3800.64
2022-01-02 15:00:00,3800.64,3814.61,3798.38,3811.16
2022-01-02 16:00:00,3807.88,3821.54,3807.4,3810.67
2022-01-02 17:00:00,3815.93,3829.78,3815.93,3824.5
2022-01-02 18:00:00,3829.26,3840.43,3822.83,3833.61
2022-01-02 19:00:00,3824.28,3825.19,3808.9,3810.58
2022-01-02 20:00:00,3810.98,3810.98,3799.44,3804.5
2022-01-02 21:00:00,3805.05,3805.05,3791.29,3800.53
2022-01-02 22:00:00,3797.95,3801.98,3779.07,3786.47
2022-01-02 23:00:00,3785.25,3796.93,3785.22,3791.67
2022-01-03 00:00:00,3798.31,3822.65,3794.22,3813.03
2022-01-03 01:00:00,3811.65,3815.41,3803.87,3803.87
2022-01-03 02:00:00,3801.96,3804.66,3798.85,3804.29
2022-01-03 03:00:00,3812.6,3819.81,3808.46,3808.6
2022-01-03 04:00:00,3811.75,3816.35,3794.46,3810.52
2022-01-03 05:00:00,3809.82,3825.66,3809.82,3824.71
2022-01-03 06:00:00,3828.3,3841.9,3828.3,3831.8
2022-01-03 07:00:00,3826.27,3836.72,3820.21,3820.21
2022-01-03 08:00:00,3820.44,3828.21,3820.39,3822.48
2022-01-03 09:00:00,3818.52,3845.37,3786.62,3805.71
2022-01-03 10:00:00,3804.97,3810.96,3774.29,3787.46
2022-01-03 11:00:00,3782.71,3782.71,3739.35,3746.51
2022-01-03 12:00:00,3757.26,3773.19,3746.59,3761.93
2022-01-03 13:00:00,3763.73,3770.23,3746.43,3753.18
2022-01-03 14:00:00,3754.21,3759.82,3743.38,3744.39
2022-01-03 15:00:00,3739.79,3739.79,3684.96,3699.08
2022-01-03 16:00:00,3694.5,3728.49,3693.88,3727.06
2022-01-03 17:00:00,3723.54,3772.46,3723.54,3756.51
2022-01-03 18:00:00,3756.5,3773.42,3747.41,3763.32
2022-01-03 19:00:00,3767.15,3767.28,3740.82,3740.82
2022-01-03 20:00:00,3750.87,3751.42,3730.29,3731.27
2022-01-03 21:00:00,3731.95,3736.3,3720.64,3724.31
2022-01-03 22:00:00,3731.24,3747.91,3719.81,3747.91
2022-01-03 23:00:00,3744.98,3750.8,3731.77,3731.77
2022-01-04 00:00:00,3730.26,3746.78,3729.48,3738.86
2022-01-04 01:00:00,3746.87,3755.12,3746.87,3750.1
2022-01-04 02:00:00,3756.08,3762.27,3748.62,3759.78
2022-01-04 03:00:00,3764.83,3777.83,3763.69,3768.48
2022-01-04 04:00:00,3776.9,3778.62,3760.99,3768.48
2022-01-04 05:00:00,3768.87,3810.0,3768.87,3806.75
2022-01-04 06:00:00,3811.52,3837.92,3811.52,3836.8
2022-01-04 07:00:00,3840.0,3840.46,3816.64,3830.13
2022-01-04 08:00:00,3830.99,3871.73,3815.6,3870.91
2022-01-04 09:00:00,3874.71,3890.59,3855.35,3880.77
2022-01-04 10:00:00,3884.85,3885.05,3856.94,3858.51
2022-01-04 11:00:00,3843.11,3859.33,3836.28,3850.76
2022-01-04 12:00:00,3850.87,3862.42,3838.2,3838.2
2022-01-04 13:00:00,3845.0,3853.51,3766.88,3766.88
2022-01-04 14:00:00,3767.25,3838.17,3762.51,3801.45
2022-01-04 15:00:00,3817.49,3827.82,3796.14,3816.19
2022-01-04 16:00:00,3813.15,3827.82,3813.15,3823.43
2022-01-04 17:00:00,3823.44,3825.06,3813.41,3813.41
2022-01-04 18:00:00,3799.57,3806.35,3789.06,3789.06
2022-01-04 19:00:00,3781.13,3801.93,3776.28,3801.33
2022-01-04 20:00:00,3805.65,3805.65,3796.21,3799.62
2022-01-04 21:00:00,3797.19,3805.31,3793.15,3800.69
2022-01-04 22:00:00,3802.91,3818.27,3802.91,3810.56
2022-01-04 23:00:00,3814.68,3814.68,3803.93,3805.08
2022-01-05 00:00:00,3806.0,3806.06,3803.09,3804.42
2022-01-05 01:00:00,3808.67,3822.68,3808.54,3822.55
2022-01-05 02:00:00,3815.75,3819.0,3811.42,3812.05
2022-01-05 03:00:00,3806.91,3823.61,3806.48,3821.71
2022-01-05 04:00:00,3821.98,3839.33,3820.74,3836.34
2022-01-05 05:00:00,3839.5,3847.1,3828.78,3828.78
2022-01-05 06:00:00,3821.29,3821.29,3785.51,3787.29
2022-01-05 07:00:00,3794.96,3794.96,3764.46,3782.12
2022-01-05 08:00:00,3791.44,3815.82,3783.69,3815.82
2022-01-05 09:00:00,3816.0,3828.78,3789.69,3824.8
2022-01-05 10:00:00,3821.68,3821.68,3806.43,3821.22
2022-01-05 11:00:00,3818.77,3818.77,3791.44,3792.25
2022-01-05 12:00:00,3798.41,3804.56,3776.98,3776.98
2022-01-05 13:00:00,3766.83,3766.83,3728.72,3748.8
2022-01-05 14:00:00,3744.17,3744.26,3644.39,3653.32
2022-01-05 15:00:00,3651.46,3655.59,3583.92,3597.88
2022-01-05 16:00:00,3598.69,3631.61,3552.48,3554.52
2022-01-05 17:00:00,3562.02,3566.89,3415.14,3537.43
2022-01-05 18:00:00,3529.82,3560.33,3508.75,3539.18
2022-01-05 19:00:00,3529.16,3546.46,3515.25,3538.74
2022-01-05 20:00:00,3532.66,3535.85,3502.52,3522.21
2022-01-05 21:00:00,3524.84,3524.84,3499.84,3511.07
2022-01-05 22:00:00,3504.86,3504.86,3447.55,3447.55
