datetime,BTCUSDC_open,BTCUSDC_high,BTCUSDC_low,BTCUSDC_close
2022-01-01 00:00:00,46223.43,46719.7,46223.43,46657.58
2022-01-01 01:00:00,46657.58,46932.29,46574.92,46792.26
2022-01-01 02:00:00,46803.49,46921.04,46733.46,46810.91
2022-01-01 03:00:00,46811.24,46898.56,46765.02,46802.59
2022-01-01 04:00:00,46797.12,47021.09,46626.94,46701.98
2022-01-01 05:00:00,46711.6,47547.96,46667.71,47229.12
2022-01-01 06:00:00,47241.09,47323.56,46963.86,46988.45
2022-01-01 07:00:00,46994.48,47239.71,46906.68,47207.12
2022-01-01 08:00:00,47208.53,47341.09,47085.95,47127.58
2022-01-01 09:00:00,47147.85,47201.19,46936.85,47175.82
2022-01-01 10:00:00,47170.65,47284.1,46722.77,46872.74
2022-01-01 11:00:00,46880.66,46994.23,46755.23,46799.31
2022-01-01 12:00:00,46792.54,47140.81,46763.66,47085.91
2022-01-01 13:00:00,47088.46,47201.01,46951.86,47040.6
2022-01-01 14:00:00,47035.2,47115.11,46847.79,46914.12
2022-01-01 15:00:00,46929.08,47483.43,46886.21,47220.92
2022-01-01 16:00:00,47228.3,47531.63,47203.87,47326.6
2022-01-01 17:00:00,47313.5,47991.26,47256.57,47771.2
2022-01-01 18:00:00,47776.55,47923.94,47446.34,47598.37
2022-01-01 19:00:00,47589.89,47622.0,47304.22,47349.88
2022-01-01 20:00:00,47352.39,47573.87,47268.02,47423.01
2022-01-01 21:00:00,47438.76,47564.13,47286.87,47327.75
2022-01-01 22:00:00,47347.71,47499.02,47244.4,47447.32
2022-01-01 23:00:00,47473.8,47820.81,47303.46,47722.8
2022-01-02 00:00:00,47728.88,47767.23,47400.0,47644.26
2022-01-02 01:00:00,47653.51,47653.51,47323.21,47379.46
2022-01-02 02:00:00,47378.93,47461.33,47290.88,47384.11
2022-01-02 03:00:00,47390.64,47468.76,47277.91,47334.57
2022-01-02 04:00:00,47333.41,47429.97,46780.21,46898.35
2022-01-02 05:00:00,46907.78,47088.94,46842.17,47084.37
2022-01-02 06:00:00,47080.97,47235.07,47028.26,47131.73
2022-01-02 07:00:00,47131.93,47301.35,47098.78,47147.22
2022-01-02 08:00:00,47150.69,47254.55,46987.28,47220.93
2022-01-02 09:00:00,47218.4,47491.63,47172.18,47293.07
2022-01-02 10:00:00,47285.44,47353.89,47153.34,47198.56
2022-01-02 11:00:00,47192.05,47398.44,47176.11,47247.51
2022-01-02 12:00:00,47243.73,47447.32,47022.28,47315.94
2022-01-02 13:00:00,47316.99,47316.99,47091.43,47135.08
2022-01-02 14:00:00,47129.62,47196.13,47024.11,47128.48
2022-01-02 15:00:00,47146.27,47385.21,47086.97,47354.56
2022-01-02 16:00:00,47350.01,47897.89,47295.77,47808.42
2022-01-02 17:00:00,47834.59,47998.02,47340.07,47409.7
2022-01-02 18:00:00,47408.17,47408.17,46658.05,47082.6
2022-01-02 19:00:00,47059.06,47223.42,46854.53,46926.66
2022-01-02 20:00:00,46903.64,47071.38,46824.42,47016.6
2022-01-02 21:00:00,47013.08,47177.86,46921.2,47061.47
2022-01-02 22:00:00,47068.69,47406.09,47037.25,47339.61
2022-01-02 23:00:00,47339.36,47486.9,47278.71,47299.03
2022-01-03 00:00:00,47297.83,47297.83,47058.65,47058.65
2022-01-03 01:00:00,47035.43,47176.29,46957.1,47107.26
