datetime,ZRXUSD_open,ZRXUSD_high,ZRXUSD_low,ZRXUSD_close
2022-01-01 00:00:00,0.803274,0.815819,0.803274,0.815819
2022-01-01 01:00:00,0.815761,0.818488,0.812232,0.816939
2022-01-01 02:00:00,0.817332,0.841967,0.81637,0.825341
2022-01-01 03:00:00,0.825479,0.826189,0.819242,0.821205
2022-01-01 04:00:00,0.822383,0.824401,0.814999,0.821184
2022-01-01 05:00:00,0.821348,0.839105,0.820908,0.833554
2022-01-01 06:00:00,0.833326,0.836271,0.824452,0.825062
2022-01-01 07:00:00,0.825622,0.831769,0.823801,0.829324
2022-01-01 08:00:00,0.829807,0.831961,0.826577,0.827326
2022-01-01 09:00:00,0.827861,0.833985,0.823756,0.833908
2022-01-01 10:00:00,0.834389,0.837747,0.817342,0.8322
2022-01-01 11:00:00,0.831641,0.837,0.8291,0.829187
2022-01-01 12:00:00,0.829218,0.847975,0.828981,0.841696
2022-01-01 13:00:00,0.841454,0.84771,0.834207,0.834739
2022-01-01 14:00:00,0.835047,0.840888,0.830281,0.83274
2022-01-01 15:00:00,0.832658,0.842224,0.830886,0.837964
2022-01-01 16:00:00,0.838214,0.857198,0.837812,0.847481
2022-01-01 17:00:00,0.848373,0.862479,0.847455,0.860354
2022-01-01 18:00:00,0.860362,0.865993,0.8581,0.864364
2022-01-01 19:00:00,0.864512,0.866347,0.857428,0.862106
2022-01-01 20:00:00,0.862168,0.866003,0.858376,0.859532
2022-01-01 21:00:00,0.859249,0.868454,0.843808,0.847942
2022-01-01 22:00:00,0.848076,0.85517,0.846199,0.852324
2022-01-01 23:00:00,0.852396,0.876001,0.848091,0.875736
2022-01-02 00:00:00,0.873881,0.876742,0.859638,0.867232
2022-01-02 01:00:00,0.867213,0.868244,0.8586,0.859788
2022-01-02 02:00:00,0.859285,0.861879,0.854779,0.858995
2022-01-02 03:00:00,0.859655,0.865357,0.858019,0.861873
2022-01-02 04:00:00,0.861255,0.866033,0.845798,0.847929
2022-01-02 05:00:00,0.848309,0.872699,0.848309,0.863228
2022-01-02 06:00:00,0.863482,0.865255,0.858818,0.864727
2022-01-02 07:00:00,0.86387,0.868039,0.863602,0.864442
2022-01-02 08:00:00,0.864209,0.877186,0.858838,0.869658
2022-01-02 09:00:00,0.86881,0.886548,0.868082,0.874211
2022-01-02 10:00:00,0.873698,0.883711,0.869641,0.875721
2022-01-02 11:00:00,0.875006,0.8814,0.868234,0.869126
2022-01-02 12:00:00,0.868956,0.882337,0.862491,0.8791
2022-01-02 13:00:00,0.879132,0.880863,0.874059,0.878704
2022-01-02 14:00:00,0.878446,0.882337,0.874289,0.875426
2022-01-02 15:00:00,0.875374,0.905441,0.875082,0.889468
2022-01-02 16:00:00,0.889453,0.895035,0.885878,0.891696
2022-01-02 17:00:00,0.892399,0.899084,0.886167,0.899084
2022-01-02 18:00:00,0.898655,0.899417,0.87827,0.891942
2022-01-02 19:00:00,0.89173,0.900351,0.888301,0.894836
2022-01-02 20:00:00,0.894537,0.925803,0.882385,0.888662
2022-01-02 21:00:00,0.888146,0.895402,0.883123,0.892801
2022-01-02 22:00:00,0.893049,0.898334,0.891252,0.895025
2022-01-02 23:00:00,0.895923,0.89876,0.886006,0.888416
2022-01-03 00:00:00,0.88898,0.910158,0.886822,0.902818
2022-01-03 01:00:00,0.903317,0.918536,0.9,0.915911
2022-01-03 02:00:00,0.91591,0.925,0.911683,0.915697
2022-01-03 03:00:00,0.915232,0.9211,0.9,0.900001
2022-01-03 04:00:00,0.9,0.922318,0.9,0.914197
2022-01-03 05:00:00,0.913942,0.916011,0.907185,0.915028
2022-01-03 06:00:00,0.914499,0.919584,0.912482,0.913659
2022-01-03 07:00:00,0.913459,0.938798,0.9132,0.919616
2022-01-03 08:00:00,0.920936,0.923479,0.895983,0.909289
2022-01-03 09:00:00,0.90929,0.917785,0.903526,0.913677
2022-01-03 10:00:00,0.913771,0.99,0.913329,0.967716
2022-01-03 11:00:00,0.967501,0.972719,0.943307,0.944628
2022-01-03 12:00:00,0.945437,0.953896,0.938151,0.95325
2022-01-03 13:00:00,0.953896,0.963259,0.942572,0.944551
2022-01-03 14:00:00,0.944064,0.949285,0.93838,0.944036
2022-01-03 15:00:00,0.943783,0.951502,0.930196,0.939822
2022-01-03 16:00:00,0.939365,0.948108,0.904245,0.923976
2022-01-03 17:00:00,0.923323,0.935344,0.915757,0.934074
2022-01-03 18:00:00,0.933792,0.945567,0.933029,0.94101
2022-01-03 19:00:00,0.940789,0.941411,0.928859,0.929907
2022-01-03 20:00:00,0.930344,0.931047,0.905576,0.922377
2022-01-03 21:00:00,0.923192,0.932584,0.918733,0.929855
2022-01-03 22:00:00,0.929032,0.942097,0.926735,0.934432
2022-01-03 23:00:00,0.935344,0.945874,0.931447,0.94026
2022-01-04 00:00:00,0.940604,0.947017,0.922988,0.927122
2022-01-04 01:00:00,0.926788,0.927738,0.902149,0.904089
2022-01-04 02:00:00,0.905543,0.915555,0.896534,0.913202
2022-01-04 03:00:00,0.912843,0.923108,0.907993,0.92241
2022-01-04 04:00:00,0.920839,0.935048,0.918117,0.920599
2022-01-04 05:00:00,0.920599,0.928593,0.918633,0.925694
2022-01-04 06:00:00,0.926085,0.929595,0.92204,0.926692
2022-01-04 07:00:00,0.926311,0.930663,0.92543,0.928073
