datetime,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close
2022-01-01 00:00:00,3682.53,3730.46,3682.21,3723.28
2022-01-01 01:00:00,3722.31,3747.84,3714.31,3724.24
2022-01-01 02:00:00,3725.72,3736.86,3722.97,3727.82
2022-01-01 03:00:00,3729.06,3736.77,3722.9,3723.4
2022-01-01 04:00:00,3724.06,3727.22,3706.58,3707.18
2022-01-01 05:00:00,3707.54,3765.92,3703.55,3737.16
2022-01-01 06:00:00,3735.43,3741.57,3708.34,3711.87
2022-01-01 07:00:00,3711.46,3724.01,3702.29,3716.08
2022-01-01 08:00:00,3713.87,3734.82,3709.72,3720.81
2022-01-01 09:00:00,3716.99,3730.5,3710.6,3720.62
2022-01-01 10:00:00,3720.62,3731.85,3674.76,3691.43
2022-01-01 11:00:00,3695.04,3713.6,3693.63,3693.63
2022-01-01 12:00:00,3693.41,3719.17,3693.41,3716.4
2022-01-01 13:00:00,3718.15,3724.38,3705.65,3710.13
2022-01-01 14:00:00,3712.53,3713.32,3693.96,3695.63
2022-01-01 15:00:00,3696.27,3745.23,3692.9,3725.82
2022-01-01 16:00:00,3725.07,3748.36,3719.97,3730.95
2022-01-01 17:00:00,3732.69,3764.69,3727.76,3764.69
2022-01-01 18:00:00,3764.84,3766.71,3739.97,3753.29
2022-01-01 19:00:00,3753.29,3757.42,3735.96,3748.88
2022-01-01 20:00:00,3748.24,3775.99,3742.05,3761.27
2022-01-01 21:00:00,3761.4,3775.97,3746.0,3748.49
2022-01-01 22:00:00,3748.63,3763.89,3740.25,3758.65
2022-01-01 23:00:00,3757.98,3772.64,3746.05,3766.72
2022-01-02 00:00:00,3766.47,3774.03,3751.61,3764.12
2022-01-02 01:00:00,3764.36,3764.36,3742.77,3747.01
2022-01-02 02:00:00,3746.45,3753.86,3742.02,3746.51
2022-01-02 03:00:00,3747.01,3761.24,3744.73,3757.97
2022-01-02 04:00:00,3758.49,3762.49,3717.67,3724.04
2022-01-02 05:00:00,3724.09,3745.48,3724.08,3743.76
2022-01-02 06:00:00,3742.67,3749.78,3737.42,3738.49
2022-01-02 07:00:00,3734.47,3752.16,3733.95,3747.83
2022-01-02 08:00:00,3746.53,3747.12,3733.54,3743.83
2022-01-02 09:00:00,3742.86,3769.69,3739.45,3754.65
2022-01-02 10:00:00,3754.7,3759.25,3741.75,3741.75
2022-01-02 11:00:00,3742.39,3756.34,3741.91,3743.76
2022-01-02 12:00:00,3742.92,3758.15,3732.05,3754.66
2022-01-02 13:00:00,3751.45,3756.94,3740.74,3744.72
2022-01-02 14:00:00,3743.24,3756.52,3743.24,3752.85
2022-01-02 15:00:00,3755.03,3789.76,3753.0,3778.67
2022-01-02 16:00:00,3781.7,3848.16,3780.56,3842.13
2022-01-02 17:00:00,3842.59,3857.15,3810.99,3825.88
2022-01-02 18:00:00,3825.87,3826.76,3772.94,3795.7
2022-01-02 19:00:00,3794.93,3806.6,3785.34,3799.78
2022-01-02 20:00:00,3799.76,3813.68,3794.54,3810.62
2022-01-02 21:00:00,3808.13,3828.43,3801.9,3811.88
2022-01-02 22:00:00,3810.54,3833.44,3810.53,3831.91
2022-01-02 23:00:00,3830.76,3842.12,3821.26,3827.39
2022-01-03 00:00:00,3827.27,3827.27,3805.06,3805.06
2022-01-03 01:00:00,3804.72,3810.0,3793.9,3805.38
2022-01-03 02:00:00,3803.44,3804.58,3785.03,3800.0
2022-01-03 03:00:00,3802.97,3805.53,3776.09,3783.28
2022-01-03 04:00:00,3782.5,3799.57,3781.3,3791.03
2022-01-03 05:00:00,3793.09,3823.0,3791.78,3812.78
2022-01-03 06:00:00,3812.5,3816.81,3800.26,3801.22
2022-01-03 07:00:00,3801.22,3810.41,3798.18,3809.11
