datetime,WBTCUSD_open,WBTCUSD_high,WBTCUSD_low,WBTCUSD_close
2022-01-01 00:00:00,46252.05,46696.63,46238.3,46630.85
2022-01-01 01:00:00,46625.29,46927.49,46598.01,46832.95
2022-01-01 02:00:00,46819.26,46920.27,46744.77,46825.3
2022-01-01 03:00:00,46813.5,46895.93,46756.58,46828.81
2022-01-01 04:00:00,46874.77,46874.77,46656.3,46713.94
2022-01-01 05:00:00,46708.26,47526.37,46683.54,47199.46
2022-01-01 06:00:00,47134.38,47301.45,46960.53,47010.04
2022-01-01 07:00:00,46972.93,47252.04,46927.46,47126.24
2022-01-01 08:00:00,47127.6,47292.57,47093.05,47128.76
2022-01-01 09:00:00,47192.72,47200.09,46946.97,47126.27
2022-01-01 10:00:00,47159.48,47259.26,46729.51,46935.66
2022-01-01 11:00:00,46869.25,46971.32,46762.45,46801.94
2022-01-01 12:00:00,46861.41,47126.27,46861.41,47126.27
2022-01-01 13:00:00,47059.89,47159.48,46960.53,47029.79
2022-01-01 14:00:00,47049.35,47073.72,46861.38,46890.21
2022-01-01 15:00:00,46946.92,47459.45,46946.92,47292.57
2022-01-01 16:00:00,47258.63,47500.0,47232.79,47317.57
2022-01-01 17:00:00,47320.21,47939.63,47259.23,47771.97
2022-01-01 18:00:00,47694.04,47794.98,47459.42,47588.54
2022-01-01 19:00:00,47603.25,47614.05,47299.11,47331.14
2022-01-01 20:00:00,47313.95,47556.73,47267.51,47401.04
2022-01-01 21:00:00,47404.54,47554.78,47287.8,47354.42
2022-01-01 22:00:00,47368.79,47490.3,47259.23,47359.22
2022-01-01 23:00:00,47362.67,47794.98,47292.54,47710.35
2022-01-02 00:00:00,47694.04,47694.04,47392.6,47593.35
2022-01-02 01:00:00,47559.83,47577.47,47353.96,47374.71
2022-01-02 02:00:00,47353.89,47450.0,47292.54,47379.49
2022-01-02 03:00:00,47377.94,47427.0,47278.67,47321.74
2022-01-02 04:00:00,47324.1,47395.82,46795.4,46893.35
2022-01-02 05:00:00,46861.38,47087.27,46830.22,47087.27
2022-01-02 06:00:00,47093.08,47216.81,47076.18,47089.74
2022-01-02 07:00:00,47149.96,47269.04,47093.05,47093.05
2022-01-02 08:00:00,47092.51,47262.02,46993.63,47229.55
2022-01-02 09:00:00,47180.98,47459.45,47142.61,47278.57
2022-01-02 10:00:00,47310.94,47339.47,47159.45,47216.19
2022-01-02 11:00:00,47227.58,47359.25,47210.01,47222.45
2022-01-02 12:00:00,47232.71,47426.02,47026.74,47259.23
2022-01-02 13:00:00,47259.62,47259.62,47093.05,47130.88
2022-01-02 14:00:00,47168.38,47179.37,47026.74,47120.16
2022-01-02 15:00:00,47100.2,47359.85,47100.2,47359.85
2022-01-02 16:00:00,47378.01,47882.73,47300.0,47862.37
2022-01-02 17:00:00,47870.06,47968.1,47307.32,47307.32
2022-01-02 18:00:00,47306.69,47364.31,46696.6,47059.92
2022-01-02 19:00:00,47093.08,47192.72,46861.38,46913.46
2022-01-02 20:00:00,46887.72,47029.01,46845.85,46999.63
2022-01-02 21:00:00,46999.02,47159.48,46944.92,47051.69
2022-01-02 22:00:00,47126.27,47394.78,47120.0,47326.85
2022-01-02 23:00:00,47274.79,47492.28,47274.79,47292.54
2022-01-03 00:00:00,47259.23,47279.36,47059.89,47059.89
2022-01-03 01:00:00,47050.72,47126.27,46991.78,47081.06
2022-01-03 02:00:00,47026.74,47044.28,46894.41,47015.06
2022-01-03 03:00:00,47026.77,47080.0,46762.45,46774.82
2022-01-03 04:00:00,46836.98,46928.4,46819.66,46887.86
2022-01-03 05:00:00,46867.96,47192.72,46776.05,47059.89
2022-01-03 06:00:00,47048.86,47056.44,46911.5,46931.2
2022-01-03 07:00:00,46894.41,47115.86,46891.92,47115.86
2022-01-03 08:00:00,47138.62,47138.62,46959.28,47059.92
2022-01-03 09:00:00,47093.08,47122.14,46795.4,47059.92
2022-01-03 10:00:00,47088.97,47272.74,47059.89,47225.98
2022-01-03 11:00:00,47238.56,47426.02,47223.47,47325.87
2022-01-03 12:00:00,47292.54,47579.69,47179.43,47292.57
2022-01-03 13:00:00,47310.02,47341.5,47139.23,47139.23
2022-01-03 14:00:00,47132.83,47259.26,46795.4,46927.49
2022-01-03 15:00:00,46960.56,47029.1,46630.85,46729.54
2022-01-03 16:00:00,46724.42,46762.47,46303.49,46495.58
2022-01-03 17:00:00,46499.66,46762.47,46434.16,46614.68
2022-01-03 18:00:00,46696.63,46696.63,46434.16,46462.04
2022-01-03 19:00:00,46505.32,46646.39,46369.69,46369.69
2022-01-03 20:00:00,46328.53,46328.53,45720.02,45937.04
2022-01-03 21:00:00,45946.08,46259.48,45834.94,45982.17
2022-01-03 22:00:00,46063.44,46434.19,46054.11,46270.91
2022-01-03 23:00:00,46266.23,46574.98,46200.56,46470.68
2022-01-04 00:00:00,46470.68,46532.43,46162.44,46162.44
2022-01-04 01:00:00,46167.95,46388.58,46043.26,46043.26
2022-01-04 02:00:00,46062.91,46260.97,45978.43,46159.36
2022-01-04 03:00:00,46075.71,46372.25,46036.1,46339.24
2022-01-04 04:00:00,46303.49,46401.49,46043.26,46069.65
