datetime,ETHBUSD_open,ETHBUSD_high,ETHBUSD_low,ETHBUSD_close
2022-01-01 00:00:00,3707.71,3764.4,3703.44,3735.87
2022-01-01 01:00:00,3735.88,3742.2,3708.92,3712.57
2022-01-01 02:00:00,3712.57,3725.73,3701.72,3715.76
2022-01-01 03:00:00,3715.78,3733.11,3709.4,3721.84
2022-01-01 04:00:00,3721.83,3729.99,3709.9,3718.75
2022-01-01 05:00:00,3718.75,3731.74,3673.53,3691.51
2022-01-01 06:00:00,3691.51,3711.85,3691.42,3694.14
2022-01-01 07:00:00,3694.01,3718.35,3694.01,3715.72
2022-01-01 08:00:00,3716.2,3724.92,3706.84,3710.5
2022-01-01 09:00:00,3710.5,3713.88,3693.58,3697.7
2022-01-01 10:00:00,3697.73,3745.42,3693.47,3725.28
2022-01-01 11:00:00,3725.28,3748.35,3718.95,3727.71
2022-01-01 12:00:00,3727.71,3764.43,3726.97,3760.42
2022-01-01 13:00:00,3761.05,3766.13,3740.15,3752.23
2022-01-01 14:00:00,3752.79,3757.77,3735.99,3747.77
2022-01-01 15:00:00,3747.79,3777.0,3740.71,3761.15
2022-01-01 16:00:00,3761.52,3776.0,3747.01,3749.35
2022-01-01 17:00:00,3749.34,3764.0,3740.15,3758.49
2022-01-01 18:00:00,3758.49,3775.0,3745.81,3766.05
2022-01-01 19:00:00,3766.06,3771.38,3751.75,3762.39
2022-01-01 20:00:00,3762.39,3764.2,3743.23,3747.32
2022-01-01 21:00:00,3747.33,3753.7,3743.0,3747.26
2022-01-01 22:00:00,3747.16,3761.13,3744.0,3759.21
2022-01-01 23:00:00,3759.21,3762.24,3717.98,3725.15
2022-01-02 00:00:00,3725.14,3745.53,3721.13,3744.78
2022-01-02 01:00:00,3744.77,3750.22,3738.0,3739.64
2022-01-02 02:00:00,3739.13,3752.37,3735.2,3748.01
2022-01-02 03:00:00,3748.01,3748.8,3733.45,3744.4
2022-01-02 04:00:00,3744.39,3770.0,3739.07,3754.09
2022-01-02 05:00:00,3754.09,3759.3,3741.0,3743.62
2022-01-02 06:00:00,3743.63,3756.95,3742.08,3744.48
2022-01-02 07:00:00,3744.48,3759.0,3731.03,3754.99
2022-01-02 08:00:00,3754.65,3757.28,3741.01,3745.23
2022-01-02 09:00:00,3745.23,3757.77,3744.0,3753.17
2022-01-02 10:00:00,3753.17,3788.93,3752.61,3779.16
