datetime,ROSEBUSD_open,ROSEBUSD_high,ROSEBUSD_low,ROSEBUSD_close
2022-01-01 00:00:00,0.43027,0.44158,0.42734,0.44158
2022-01-01 01:00:00,0.44158,0.45438,0.44112,0.45212
2022-01-01 02:00:00,0.45245,0.45306,0.44636,0.4477
2022-01-01 03:00:00,0.44767,0.4522,0.44387,0.44703
2022-01-01 04:00:00,0.44711,0.45194,0.44685,0.44914
2022-01-01 05:00:00,0.44908,0.45175,0.4436,0.45036
2022-01-01 06:00:00,0.45036,0.45036,0.44479,0.44504
2022-01-01 07:00:00,0.44544,0.44792,0.43677,0.43677
2022-01-01 08:00:00,0.43718,0.44567,0.43517,0.43885
2022-01-01 09:00:00,0.43905,0.4403,0.43224,0.43439
2022-01-01 10:00:00,0.43498,0.44421,0.43498,0.442
2022-01-01 11:00:00,0.44181,0.44683,0.4399,0.4413
2022-01-01 12:00:00,0.44184,0.44698,0.44158,0.44491
2022-01-01 13:00:00,0.44494,0.4466,0.44052,0.44166
2022-01-01 14:00:00,0.44153,0.44253,0.43785,0.44021
2022-01-01 15:00:00,0.44013,0.44422,0.43981,0.44148
2022-01-01 16:00:00,0.44137,0.44442,0.439,0.44442
2022-01-01 17:00:00,0.44442,0.44806,0.44227,0.445
2022-01-01 18:00:00,0.44462,0.44825,0.44462,0.44593
2022-01-01 19:00:00,0.44587,0.447,0.44,0.44141
2022-01-01 20:00:00,0.44128,0.44128,0.426,0.42931
2022-01-01 21:00:00,0.42909,0.43243,0.42513,0.42909
2022-01-01 22:00:00,0.4291,0.43197,0.42651,0.42785
2022-01-01 23:00:00,0.4274,0.437,0.42634,0.43226
2022-01-02 00:00:00,0.43226,0.43504,0.42794,0.43149
2022-01-02 01:00:00,0.43114,0.4349,0.429,0.43432
2022-01-02 02:00:00,0.43436,0.43494,0.42984,0.43256
2022-01-02 03:00:00,0.43255,0.43317,0.41701,0.42469
2022-01-02 04:00:00,0.42468,0.42783,0.422,0.4259
2022-01-02 05:00:00,0.42579,0.42583,0.417,0.41893
2022-01-02 06:00:00,0.41893,0.42259,0.415,0.41647
2022-01-02 07:00:00,0.41648,0.42334,0.41558,0.4228
2022-01-02 08:00:00,0.4228,0.42315,0.41757,0.41894
2022-01-02 09:00:00,0.41894,0.42149,0.41816,0.42011
2022-01-02 10:00:00,0.41985,0.42056,0.41675,0.4195
2022-01-02 11:00:00,0.4195,0.42559,0.4181,0.42327
2022-01-02 12:00:00,0.42331,0.42398,0.42031,0.4219
2022-01-02 13:00:00,0.4217,0.42215,0.40996,0.41552
2022-01-02 14:00:00,0.4155,0.41745,0.40641,0.40853
2022-01-02 15:00:00,0.40856,0.41351,0.4079,0.4131
2022-01-02 16:00:00,0.4132,0.41544,0.41251,0.41262
2022-01-02 17:00:00,0.41294,0.4158,0.41143,0.413
2022-01-02 18:00:00,0.4134,0.4177,0.41245,0.41575
2022-01-02 19:00:00,0.41596,0.41785,0.41313,0.41438
2022-01-02 20:00:00,0.41435,0.41766,0.41166,0.41465
2022-01-02 21:00:00,0.41465,0.41594,0.40404,0.40633
2022-01-02 22:00:00,0.40628,0.40772,0.39745,0.40526
2022-01-02 23:00:00,0.40526,0.40852,0.40086,0.40143
2022-01-03 00:00:00,0.40116,0.40705,0.40095,0.40639
2022-01-03 01:00:00,0.40639,0.4091,0.40484,0.40494
2022-01-03 02:00:00,0.40484,0.40511,0.401,0.40213
2022-01-03 03:00:00,0.40259,0.40484,0.39543,0.39913
2022-01-03 04:00:00,0.39915,0.40069,0.39,0.3967
2022-01-03 05:00:00,0.39642,0.40135,0.39487,0.39882
2022-01-03 06:00:00,0.39881,0.41783,0.39881,0.4158
2022-01-03 07:00:00,0.41579,0.42385,0.41151,0.41812
2022-01-03 08:00:00,0.41794,0.44,0.41655,0.43068
2022-01-03 09:00:00,0.43088,0.43722,0.42459,0.42624
2022-01-03 10:00:00,0.42589,0.43193,0.415,0.42004
2022-01-03 11:00:00,0.4199,0.42313,0.40834,0.41868
2022-01-03 12:00:00,0.41866,0.43446,0.41731,0.42875
2022-01-03 13:00:00,0.42873,0.4345,0.42415,0.42777
2022-01-03 14:00:00,0.42762,0.43378,0.42624,0.43113
2022-01-03 15:00:00,0.43076,0.43361,0.41637,0.43
2022-01-03 16:00:00,0.43,0.43,0.42144,0.42741
2022-01-03 17:00:00,0.42742,0.43151,0.42206,0.42363
2022-01-03 18:00:00,0.42322,0.42934,0.42179,0.42629
2022-01-03 19:00:00,0.42641,0.4393,0.42586,0.43618
2022-01-03 20:00:00,0.43618,0.4475,0.43618,0.44313
2022-01-03 21:00:00,0.44326,0.44662,0.433,0.43697
2022-01-03 22:00:00,0.43642,0.43769,0.42796,0.43259
2022-01-03 23:00:00,0.43259,0.44,0.4321,0.43435
2022-01-04 00:00:00,0.43431,0.43835,0.43189,0.43834
2022-01-04 01:00:00,0.43834,0.43968,0.42935,0.43183
2022-01-04 02:00:00,0.43181,0.43358,0.42974,0.43174
2022-01-04 03:00:00,0.43178,0.43474,0.4301,0.43423
2022-01-04 04:00:00,0.43401,0.436,0.43067,0.43255
2022-01-04 05:00:00,0.43258,0.43599,0.4296,0.431
2022-01-04 06:00:00,0.43143,0.4354,0.42807,0.4321
2022-01-04 07:00:00,0.43192,0.43282,0.42628,0.42868
2022-01-04 08:00:00,0.42866,0.43393,0.42632,0.43173
2022-01-04 09:00:00,0.43212,0.43295,0.42619,0.42853
2022-01-04 10:00:00,0.42882,0.43237,0.42728,0.4292
2022-01-04 11:00:00,0.42875,0.4299,0.42649,0.42702
2022-01-04 12:00:00,0.42709,0.42744,0.41331,0.41548
2022-01-04 13:00:00,0.41578,0.41858,0.40824,0.4116
2022-01-04 14:00:00,0.4116,0.41667,0.40816,0.4119
2022-01-04 15:00:00,0.4117,0.41764,0.4105,0.41647
2022-01-04 16:00:00,0.41628,0.41683,0.41164,0.414
2022-01-04 17:00:00,0.41389,0.414,0.40868,0.4098
2022-01-04 18:00:00,0.40987,0.41,0.40015,0.40282
2022-01-04 19:00:00,0.4026,0.4125,0.4,0.41203
2022-01-04 20:00:00,0.4116,0.41531,0.4092,0.40924
2022-01-04 21:00:00,0.40979,0.41372,0.40977,0.41289
2022-01-04 22:00:00,0.41258,0.4161,0.4113,0.41409
2022-01-04 23:00:00,0.41427,0.41487,0.40785,0.41103
2022-01-05 00:00:00,0.41103,0.41117,0.40525,0.41056
2022-01-05 01:00:00,0.41084,0.41665,0.40935,0.41526
2022-01-05 02:00:00,0.4149,0.41636,0.41211,0.41569
2022-01-05 03:00:00,0.41572,0.42085,0.41175,0.41804
2022-01-05 04:00:00,0.41815,0.42542,0.41711,0.42117
2022-01-05 05:00:00,0.42126,0.42412,0.41716,0.41787
2022-01-05 06:00:00,0.41801,0.41806,0.40929,0.4117
2022-01-05 07:00:00,0.41197,0.41295,0.40616,0.41086
2022-01-05 08:00:00,0.411,0.41323,0.40932,0.41177
2022-01-05 09:00:00,0.41157,0.41353,0.4081,0.41304
2022-01-05 10:00:00,0.4126,0.41531,0.4101,0.41187
2022-01-05 11:00:00,0.412,0.41265,0.40403,0.40582
2022-01-05 12:00:00,0.40562,0.40895,0.39525,0.39571
2022-01-05 13:00:00,0.39571,0.3982,0.38788,0.39437
2022-01-05 14:00:00,0.39434,0.39499,0.372,0.37346
2022-01-05 15:00:00,0.3732,0.38484,0.364,0.37302
2022-01-05 16:00:00,0.3737,0.38481,0.36446,0.36629
2022-01-05 17:00:00,0.36628,0.37622,0.341,0.37128
2022-01-05 18:00:00,0.37125,0.38676,0.35857,0.38374
2022-01-05 19:00:00,0.38398,0.38525,0.37102,0.37516
2022-01-05 20:00:00,0.37516,0.37576,0.36558,0.36976
2022-01-05 21:00:00,0.36955,0.37399,0.36173,0.37016
2022-01-05 22:00:00,0.37101,0.37277,0.35594,0.35705
2022-01-05 23:00:00,0.35734,0.37139,0.3555,0.37027
2022-01-06 00:00:00,0.37054,0.37285,0.3625,0.36663
2022-01-06 01:00:00,0.36663,0.37181,0.36425,0.36885
2022-01-06 02:00:00,0.3689,0.39071,0.36634,0.385
2022-01-06 03:00:00,0.38443,0.40005,0.38347,0.39168
2022-01-06 04:00:00,0.39194,0.39228,0.375,0.3792
2022-01-06 05:00:00,0.37922,0.38771,0.37836,0.37986
2022-01-06 06:00:00,0.3801,0.38791,0.37882,0.38311
2022-01-06 07:00:00,0.38338,0.38538,0.37023,0.37533
2022-01-06 08:00:00,0.37553,0.38028,0.37238,0.37997
2022-01-06 09:00:00,0.37959,0.38312,0.37219,0.37221
2022-01-06 10:00:00,0.37313,0.37675,0.36694,0.37485
2022-01-06 11:00:00,0.37513,0.3782,0.37166,0.3758
2022-01-06 12:00:00,0.37615,0.38393,0.37389,0.38185
2022-01-06 13:00:00,0.38185,0.39164,0.38146,0.38956
2022-01-06 14:00:00,0.38935,0.39599,0.38505,0.38968
2022-01-06 15:00:00,0.39017,0.3906,0.38095,0.38429
2022-01-06 16:00:00,0.38431,0.38642,0.38084,0.38198
2022-01-06 17:00:00,0.38237,0.39228,0.38091,0.39228
2022-01-06 18:00:00,0.39228,0.40743,0.38946,0.3977
2022-01-06 19:00:00,0.39756,0.39991,0.38135,0.38391
2022-01-06 20:00:00,0.38424,0.39265,0.38324,0.38939
2022-01-06 21:00:00,0.38938,0.38986,0.3756,0.37854
2022-01-06 22:00:00,0.37854,0.37957,0.36,0.36131
2022-01-06 23:00:00,0.36145,0.36914,0.351,0.3688
2022-01-07 00:00:00,0.36915,0.3785,0.3608,0.37325
2022-01-07 01:00:00,0.37316,0.37317,0.35382,0.3548
2022-01-07 02:00:00,0.35545,0.36706,0.35242,0.36706
2022-01-07 03:00:00,0.36642,0.37111,0.36163,0.3677
2022-01-07 04:00:00,0.36799,0.38114,0.36743,0.3725
2022-01-07 05:00:00,0.37283,0.37675,0.368,0.368
2022-01-07 06:00:00,0.368,0.374,0.36785,0.3709
2022-01-07 07:00:00,0.3711,0.37785,0.37097,0.37581
2022-01-07 08:00:00,0.37596,0.37964,0.35855,0.36592
2022-01-07 09:00:00,0.36599,0.37613,0.36329,0.37319
2022-01-07 10:00:00,0.37307,0.37328,0.35738,0.36481
2022-01-07 11:00:00,0.36478,0.37158,0.35721,0.37156
2022-01-07 12:00:00,0.37066,0.3721,0.36439,0.36999
2022-01-07 13:00:00,0.36994,0.36999,0.36157,0.36335
2022-01-07 14:00:00,0.36357,0.36881,0.3597,0.36589
2022-01-07 15:00:00,0.36591,0.36891,0.36161,0.36446
2022-01-07 16:00:00,0.36492,0.36666,0.3624,0.3634
2022-01-07 17:00:00,0.36335,0.36335,0.353,0.35607
2022-01-07 18:00:00,0.3556,0.35802,0.35094,0.35771
2022-01-07 19:00:00,0.35768,0.36549,0.35222,0.36357
2022-01-07 20:00:00,0.36375,0.36613,0.35883,0.35918
2022-01-07 21:00:00,0.35948,0.36419,0.3587,0.3634
2022-01-07 22:00:00,0.36346,0.36496,0.35672,0.36118
2022-01-07 23:00:00,0.36118,0.36815,0.36118,0.365
2022-01-08 00:00:00,0.36501,0.36894,0.36395,0.36686
2022-01-08 01:00:00,0.36686,0.3718,0.36515,0.3665
2022-01-08 02:00:00,0.36701,0.37116,0.36562,0.3703
2022-01-08 03:00:00,0.3703,0.37449,0.36826,0.37288
2022-01-08 04:00:00,0.37287,0.3782,0.37173,0.378
2022-01-08 05:00:00,0.37787,0.38389,0.3743,0.382
2022-01-08 06:00:00,0.38114,0.38655,0.377,0.37736
2022-01-08 07:00:00,0.37735,0.38351,0.36975,0.37493
2022-01-08 08:00:00,0.37456,0.37642,0.3697,0.37105
2022-01-08 09:00:00,0.37155,0.37461,0.36657,0.36775
2022-01-08 10:00:00,0.36722,0.36864,0.36389,0.36481
2022-01-08 11:00:00,0.36546,0.3658,0.34,0.34271
2022-01-08 12:00:00,0.34219,0.34968,0.333,0.333
2022-01-08 13:00:00,0.33311,0.34654,0.333,0.3358
2022-01-08 14:00:00,0.33488,0.34036,0.33351,0.33699
2022-01-08 15:00:00,0.33696,0.34117,0.33329,0.338
2022-01-08 16:00:00,0.33818,0.34821,0.33733,0.347
2022-01-08 17:00:00,0.34682,0.35477,0.34535,0.34914
2022-01-08 18:00:00,0.349,0.3495,0.34293,0.343
2022-01-08 19:00:00,0.34301,0.34503,0.33514,0.34284
2022-01-08 20:00:00,0.34286,0.34396,0.33571,0.33894
2022-01-08 21:00:00,0.33859,0.34635,0.33816,0.34082
2022-01-08 22:00:00,0.34063,0.342,0.3366,0.33782
2022-01-08 23:00:00,0.33833,0.34325,0.33653,0.3427
2022-01-09 00:00:00,0.3427,0.34271,0.32515,0.32603
2022-01-09 01:00:00,0.32608,0.3325,0.32593,0.32989
2022-01-09 02:00:00,0.32989,0.33158,0.32717,0.32886
2022-01-09 03:00:00,0.32888,0.3299,0.32328,0.3246
2022-01-09 04:00:00,0.32478,0.32665,0.31832,0.32115
2022-01-09 05:00:00,0.32105,0.32841,0.31982,0.32649
2022-01-09 06:00:00,0.32635,0.33134,0.32635,0.33064
2022-01-09 07:00:00,0.3306,0.33128,0.32644,0.3276
2022-01-09 08:00:00,0.3276,0.33008,0.32249,0.32249
2022-01-09 09:00:00,0.32288,0.32899,0.32288,0.32618
2022-01-09 10:00:00,0.32627,0.32762,0.32199,0.32693
2022-01-09 11:00:00,0.3268,0.33551,0.32478,0.33551
2022-01-09 12:00:00,0.33551,0.34703,0.3346,0.34363
2022-01-09 13:00:00,0.34379,0.34632,0.33557,0.33837
2022-01-09 14:00:00,0.33837,0.34804,0.33817,0.34752
2022-01-09 15:00:00,0.3479,0.34888,0.3412,0.3433
2022-01-09 16:00:00,0.34351,0.3465,0.33694,0.3402
2022-01-09 17:00:00,0.34055,0.34224,0.335,0.33755
2022-01-09 18:00:00,0.33739,0.34078,0.33512,0.33859
2022-01-09 19:00:00,0.33858,0.34329,0.33528,0.33564
2022-01-09 20:00:00,0.336,0.34246,0.33552,0.34196
2022-01-09 21:00:00,0.34186,0.34817,0.34,0.34801
2022-01-09 22:00:00,0.34817,0.34896,0.34131,0.34481
2022-01-09 23:00:00,0.34454,0.35412,0.34215,0.35325
2022-01-10 00:00:00,0.35371,0.35378,0.34777,0.35181
2022-01-10 01:00:00,0.35174,0.35863,0.35111,0.35431
2022-01-10 02:00:00,0.35432,0.35877,0.35336,0.35713
2022-01-10 03:00:00,0.35716,0.35742,0.34769,0.35188
2022-01-10 04:00:00,0.3517,0.35352,0.34525,0.34643
2022-01-10 05:00:00,0.3464,0.34876,0.34135,0.34236
2022-01-10 06:00:00,0.3425,0.34565,0.339,0.34159
2022-01-10 07:00:00,0.34165,0.34229,0.32407,0.32876
2022-01-10 08:00:00,0.32824,0.33345,0.32054,0.32211
2022-01-10 09:00:00,0.32209,0.32595,0.30281,0.322
2022-01-10 10:00:00,0.32231,0.33507,0.32211,0.33177
2022-01-10 11:00:00,0.33191,0.35626,0.32646,0.34822
2022-01-10 12:00:00,0.34829,0.34949,0.33107,0.33693
2022-01-10 13:00:00,0.33734,0.34461,0.33539,0.34061
2022-01-10 14:00:00,0.3404,0.3468,0.33932,0.34188
2022-01-10 15:00:00,0.34229,0.36101,0.34061,0.35938
2022-01-10 16:00:00,0.35938,0.36459,0.35608,0.35995
2022-01-10 17:00:00,0.35907,0.36855,0.35823,0.3605
2022-01-10 18:00:00,0.3599,0.36406,0.35525,0.36095
2022-01-10 19:00:00,0.36086,0.3702,0.36086,0.36757
2022-01-10 20:00:00,0.36764,0.38055,0.36656,0.37697
2022-01-10 21:00:00,0.377,0.39882,0.376,0.393
2022-01-10 22:00:00,0.393,0.39743,0.38535,0.38878
2022-01-10 23:00:00,0.38901,0.3961,0.38225,0.38935
2022-01-11 00:00:00,0.38952,0.38975,0.38271,0.38682
2022-01-11 01:00:00,0.38683,0.4018,0.38652,0.4
2022-01-11 02:00:00,0.4,0.40301,0.38857,0.38952
2022-01-11 03:00:00,0.38977,0.39227,0.38428,0.3869
2022-01-11 04:00:00,0.38689,0.39971,0.3848,0.39498
2022-01-11 05:00:00,0.39473,0.39813,0.38532,0.39023
2022-01-11 06:00:00,0.39001,0.39252,0.3863,0.39055
2022-01-11 07:00:00,0.391,0.3991,0.38979,0.39107
2022-01-11 08:00:00,0.391,0.40319,0.38977,0.39342
2022-01-11 09:00:00,0.3935,0.42039,0.39129,0.40952
2022-01-11 10:00:00,0.4085,0.43483,0.40793,0.428
2022-01-11 11:00:00,0.42771,0.42813,0.41489,0.42266
2022-01-11 12:00:00,0.42266,0.42659,0.41111,0.4166
2022-01-11 13:00:00,0.41711,0.42632,0.41351,0.41776
2022-01-11 14:00:00,0.41785,0.43326,0.41536,0.43314
2022-01-11 15:00:00,0.43286,0.4395,0.4258,0.42833
2022-01-11 16:00:00,0.4289,0.44136,0.426,0.44
2022-01-11 17:00:00,0.44001,0.45,0.43436,0.44753
2022-01-11 18:00:00,0.44753,0.45,0.44202,0.44858
2022-01-11 19:00:00,0.44888,0.46575,0.44621,0.45654
2022-01-11 20:00:00,0.45687,0.481,0.44356,0.47533
2022-01-11 21:00:00,0.47531,0.47938,0.4676,0.47747
2022-01-11 22:00:00,0.47756,0.50044,0.47405,0.48384
2022-01-11 23:00:00,0.48385,0.4842,0.45935,0.46312
2022-01-12 00:00:00,0.46289,0.47553,0.45654,0.4695
2022-01-12 01:00:00,0.46935,0.488,0.45979,0.481
2022-01-12 02:00:00,0.48087,0.48316,0.46765,0.47663
2022-01-12 03:00:00,0.477,0.477,0.44928,0.45123
2022-01-12 04:00:00,0.45154,0.46116,0.4492,0.45335
2022-01-12 05:00:00,0.45304,0.4578,0.451,0.45556
2022-01-12 06:00:00,0.45561,0.47499,0.45523,0.46663
2022-01-12 07:00:00,0.46659,0.47193,0.46024,0.46133
2022-01-12 08:00:00,0.46135,0.47335,0.4589,0.47009
2022-01-12 09:00:00,0.4698,0.47159,0.4534,0.45889
2022-01-12 10:00:00,0.45888,0.46239,0.45359,0.4614
2022-01-12 11:00:00,0.46132,0.47,0.45,0.46985
2022-01-12 12:00:00,0.46941,0.4925,0.46522,0.4907
2022-01-12 13:00:00,0.49114,0.49195,0.481,0.48975
2022-01-12 14:00:00,0.4897,0.495,0.48535,0.48904
2022-01-12 15:00:00,0.48985,0.5,0.487,0.494
2022-01-12 16:00:00,0.49457,0.537,0.49354,0.52205
2022-01-12 17:00:00,0.52276,0.52937,0.51437,0.528
2022-01-12 18:00:00,0.52799,0.53673,0.51755,0.51904
2022-01-12 19:00:00,0.51904,0.53015,0.51614,0.52163
2022-01-12 20:00:00,0.52193,0.52563,0.5015,0.50986
2022-01-12 21:00:00,0.50983,0.51763,0.49621,0.50452
2022-01-12 22:00:00,0.50445,0.50694,0.49694,0.506
2022-01-12 23:00:00,0.50565,0.50859,0.49967,0.50378
2022-01-13 00:00:00,0.50399,0.5149,0.50285,0.50901
2022-01-13 01:00:00,0.509,0.51284,0.50311,0.50604
