datetime,BETABUSD_open,BETABUSD_high,BETABUSD_low,BETABUSD_close
2022-01-01 00:00:00,0.61867,0.63,0.61866,0.62732
2022-01-01 01:00:00,0.62452,0.62545,0.61082,0.612
2022-01-01 02:00:00,0.61361,0.61558,0.61094,0.61345
2022-01-01 03:00:00,0.61432,0.62999,0.61432,0.61952
2022-01-01 04:00:00,0.62186,0.62343,0.6158,0.62095
2022-01-01 05:00:00,0.62095,0.62148,0.6142,0.61992
2022-01-01 06:00:00,0.61992,0.62173,0.612,0.6122
2022-01-01 07:00:00,0.61454,0.62072,0.6129,0.61763
2022-01-01 08:00:00,0.61808,0.61906,0.61562,0.61687
2022-01-01 09:00:00,0.61655,0.61684,0.61318,0.6133
2022-01-01 10:00:00,0.6133,0.6226,0.6133,0.61647
2022-01-01 11:00:00,0.61905,0.63106,0.618,0.62034
2022-01-01 12:00:00,0.6205,0.625,0.61725,0.62138
2022-01-01 13:00:00,0.62139,0.632,0.61667,0.62975
2022-01-01 14:00:00,0.63135,0.65162,0.62372,0.64248
2022-01-01 15:00:00,0.64201,0.67337,0.63736,0.65002
2022-01-01 16:00:00,0.6502,0.66231,0.63749,0.64314
2022-01-01 17:00:00,0.64001,0.64334,0.638,0.64332
2022-01-01 18:00:00,0.63929,0.65696,0.63701,0.64938
2022-01-01 19:00:00,0.6488,0.65042,0.641,0.6434
2022-01-01 20:00:00,0.64073,0.65287,0.63801,0.64381
2022-01-01 21:00:00,0.64065,0.65272,0.64065,0.64972
2022-01-01 22:00:00,0.6497,0.6497,0.64187,0.64242
2022-01-01 23:00:00,0.64242,0.64633,0.63285,0.63432
2022-01-02 00:00:00,0.63593,0.6404,0.63592,0.63997
2022-01-02 01:00:00,0.64031,0.64099,0.63769,0.64095
2022-01-02 02:00:00,0.64095,0.65071,0.6381,0.65071
2022-01-02 03:00:00,0.65071,0.66579,0.64921,0.65908
2022-01-02 04:00:00,0.65949,0.7255,0.65949,0.70654
2022-01-02 05:00:00,0.70648,0.71583,0.68522,0.68638
2022-01-02 06:00:00,0.68522,0.70407,0.67786,0.70343
2022-01-02 07:00:00,0.70343,0.70716,0.68344,0.68449
2022-01-02 08:00:00,0.68298,0.69799,0.6784,0.69249
2022-01-02 09:00:00,0.69248,0.707,0.68536,0.68745
2022-01-02 10:00:00,0.68745,0.76777,0.68571,0.72062
2022-01-02 11:00:00,0.71791,0.72999,0.7,0.71692
2022-01-02 12:00:00,0.71792,0.73499,0.705,0.7086
2022-01-02 13:00:00,0.71093,0.71331,0.68261,0.71
2022-01-02 14:00:00,0.70755,0.70882,0.68845,0.69766
2022-01-02 15:00:00,0.69403,0.69403,0.67379,0.68
2022-01-02 16:00:00,0.67999,0.69147,0.67212,0.68869
2022-01-02 17:00:00,0.68958,0.69668,0.68439,0.68439
2022-01-02 18:00:00,0.68439,0.68769,0.68019,0.68375
2022-01-02 19:00:00,0.68023,0.69181,0.67636,0.68974
2022-01-02 20:00:00,0.68943,0.71371,0.68806,0.70359
2022-01-02 21:00:00,0.70158,0.70224,0.6798,0.6798
2022-01-02 22:00:00,0.68,0.69147,0.6744,0.67451
2022-01-02 23:00:00,0.67379,0.67815,0.66206,0.66206
2022-01-03 00:00:00,0.66406,0.67134,0.66137,0.66608
2022-01-03 01:00:00,0.66608,0.66941,0.65827,0.66
2022-01-03 02:00:00,0.65964,0.66381,0.65686,0.65942
2022-01-03 03:00:00,0.65942,0.66114,0.64553,0.64596
2022-01-03 04:00:00,0.64539,0.64941,0.63092,0.64494
2022-01-03 05:00:00,0.64361,0.64924,0.64069,0.6412
2022-01-03 06:00:00,0.6431,0.6551,0.6413,0.64621
2022-01-03 07:00:00,0.6462,0.65317,0.64346,0.6505
2022-01-03 08:00:00,0.65208,0.65393,0.64454,0.65086
2022-01-03 09:00:00,0.64943,0.65173,0.63908,0.64
2022-01-03 10:00:00,0.6419,0.65347,0.63984,0.63992
2022-01-03 11:00:00,0.63984,0.64186,0.63005,0.63441
2022-01-03 12:00:00,0.63474,0.6375,0.63,0.63367
2022-01-03 13:00:00,0.63435,0.64315,0.63435,0.63864
2022-01-03 14:00:00,0.64028,0.641,0.63132,0.63132
2022-01-03 15:00:00,0.63132,0.63241,0.61958,0.62391
2022-01-03 16:00:00,0.62598,0.63361,0.62421,0.63089
2022-01-03 17:00:00,0.63249,0.6341,0.62861,0.63149
2022-01-03 18:00:00,0.63149,0.63704,0.63023,0.63636
2022-01-03 19:00:00,0.63439,0.63673,0.62706,0.62802
2022-01-03 20:00:00,0.62796,0.63241,0.62351,0.62513
2022-01-03 21:00:00,0.62585,0.62957,0.6201,0.62301
2022-01-03 22:00:00,0.62302,0.63199,0.62301,0.63198
2022-01-03 23:00:00,0.63002,0.63473,0.62941,0.62941
2022-01-04 00:00:00,0.62974,0.63236,0.628,0.62845
2022-01-04 01:00:00,0.62845,0.6428,0.62841,0.63788
2022-01-04 02:00:00,0.63789,0.65,0.634,0.6412
2022-01-04 03:00:00,0.64278,0.64776,0.63915,0.64012
2022-01-04 04:00:00,0.63914,0.6464,0.63739,0.64381
2022-01-04 05:00:00,0.64381,0.65259,0.63986,0.64595
2022-01-04 06:00:00,0.64787,0.64787,0.6404,0.64342
2022-01-04 07:00:00,0.64345,0.64345,0.63425,0.63425
2022-01-04 08:00:00,0.63425,0.6718,0.63301,0.65635
2022-01-04 09:00:00,0.65839,0.67653,0.65545,0.665
2022-01-04 10:00:00,0.66699,0.66699,0.65076,0.65076
2022-01-04 11:00:00,0.65066,0.66733,0.65066,0.66
2022-01-04 12:00:00,0.66,0.67075,0.65845,0.65845
2022-01-04 13:00:00,0.66008,0.66008,0.63233,0.633
2022-01-04 14:00:00,0.63284,0.64498,0.63225,0.63826
2022-01-04 15:00:00,0.63992,0.65022,0.63992,0.64587
2022-01-04 16:00:00,0.64587,0.64749,0.64068,0.64421
2022-01-04 17:00:00,0.64381,0.64589,0.63511,0.63794
2022-01-04 18:00:00,0.63628,0.63628,0.63031,0.63119
2022-01-04 19:00:00,0.63119,0.63874,0.63041,0.63471
2022-01-04 20:00:00,0.63471,0.65062,0.63432,0.64406
2022-01-04 21:00:00,0.64587,0.65758,0.64587,0.65512
2022-01-04 22:00:00,0.65304,0.66145,0.65089,0.65089
2022-01-04 23:00:00,0.65089,0.66088,0.64969,0.65433
2022-01-05 00:00:00,0.65433,0.65677,0.65095,0.65298
2022-01-05 01:00:00,0.65263,0.65546,0.64993,0.65275
2022-01-05 02:00:00,0.65475,0.65475,0.64903,0.6502
2022-01-05 03:00:00,0.65111,0.65895,0.64504,0.65895
2022-01-05 04:00:00,0.65766,0.66577,0.65324,0.66086
2022-01-05 05:00:00,0.66127,0.66701,0.65705,0.65962
2022-01-05 06:00:00,0.65756,0.66003,0.64383,0.6471
2022-01-05 07:00:00,0.6454,0.64746,0.63783,0.64715
2022-01-05 08:00:00,0.6458,0.64668,0.6384,0.64219
2022-01-05 09:00:00,0.64269,0.6503,0.6386,0.64789
2022-01-05 10:00:00,0.64789,0.64826,0.63564,0.64312
2022-01-05 11:00:00,0.64312,0.64312,0.63359,0.63583
2022-01-05 12:00:00,0.63748,0.64158,0.63126,0.63219
2022-01-05 13:00:00,0.63197,0.63603,0.62332,0.62854
2022-01-05 14:00:00,0.63047,0.63241,0.605,0.60653
2022-01-05 15:00:00,0.60655,0.60854,0.58742,0.59428
2022-01-05 16:00:00,0.59392,0.60036,0.58107,0.58524
2022-01-05 17:00:00,0.58216,0.58801,0.55727,0.57438
2022-01-05 18:00:00,0.57322,0.58299,0.57035,0.57326
2022-01-05 19:00:00,0.57323,0.57861,0.56822,0.57644
2022-01-05 20:00:00,0.57738,0.58,0.56123,0.56941
2022-01-05 21:00:00,0.56623,0.5707,0.55679,0.56038
2022-01-05 22:00:00,0.56009,0.56328,0.55328,0.55328
2022-01-05 23:00:00,0.55562,0.56535,0.54824,0.55991
2022-01-06 00:00:00,0.55928,0.57395,0.55414,0.56447
2022-01-06 01:00:00,0.56443,0.56454,0.54798,0.55473
2022-01-06 02:00:00,0.55474,0.56183,0.5523,0.55986
2022-01-06 03:00:00,0.55911,0.56316,0.54848,0.55314
2022-01-06 04:00:00,0.55314,0.55984,0.52474,0.53067
2022-01-06 05:00:00,0.52956,0.55831,0.52763,0.54601
2022-01-06 06:00:00,0.54669,0.54669,0.53122,0.53283
2022-01-06 07:00:00,0.53454,0.53851,0.53001,0.53563
2022-01-06 08:00:00,0.53946,0.55099,0.53696,0.54429
2022-01-06 09:00:00,0.5444,0.55049,0.53612,0.53638
2022-01-06 10:00:00,0.53866,0.54056,0.533,0.53977
2022-01-06 11:00:00,0.53915,0.54442,0.53711,0.54203
2022-01-06 12:00:00,0.54203,0.5493,0.53926,0.54649
2022-01-06 13:00:00,0.54649,0.55351,0.54371,0.5515
2022-01-06 14:00:00,0.55149,0.55456,0.54898,0.552
2022-01-06 15:00:00,0.55299,0.5555,0.54469,0.54844
2022-01-06 16:00:00,0.55001,0.55052,0.54387,0.54798
2022-01-06 17:00:00,0.54856,0.5499,0.5449,0.54989
2022-01-06 18:00:00,0.54989,0.5499,0.54251,0.54989
2022-01-06 19:00:00,0.54555,0.54728,0.53415,0.53651
2022-01-06 20:00:00,0.53601,0.5423,0.53601,0.53901
2022-01-06 21:00:00,0.53901,0.5407,0.52831,0.52984
2022-01-06 22:00:00,0.52975,0.52975,0.50306,0.5106
2022-01-06 23:00:00,0.5102,0.51355,0.4861,0.50199
2022-01-07 00:00:00,0.50424,0.50458,0.496,0.5005
2022-01-07 01:00:00,0.50366,0.50367,0.48874,0.48875
2022-01-07 02:00:00,0.48949,0.4993,0.48476,0.4993
2022-01-07 03:00:00,0.49752,0.51511,0.49711,0.50286
2022-01-07 04:00:00,0.50277,0.5166,0.502,0.50986
2022-01-07 05:00:00,0.51117,0.51117,0.5031,0.5031
2022-01-07 06:00:00,0.50277,0.50931,0.49849,0.50247
2022-01-07 07:00:00,0.50384,0.50869,0.49555,0.50037
2022-01-07 08:00:00,0.50079,0.50485,0.48421,0.49124
2022-01-07 09:00:00,0.4912,0.50155,0.48637,0.49462
2022-01-07 10:00:00,0.49222,0.49466,0.47167,0.48634
2022-01-07 11:00:00,0.48372,0.49682,0.475,0.49406
2022-01-07 12:00:00,0.49697,0.49699,0.48625,0.49506
2022-01-07 13:00:00,0.49505,0.49669,0.48484,0.48484
2022-01-07 14:00:00,0.4865,0.49599,0.48382,0.49254
2022-01-07 15:00:00,0.49305,0.49803,0.486,0.49313
2022-01-07 16:00:00,0.49319,0.49333,0.48717,0.48941
2022-01-07 17:00:00,0.48941,0.48941,0.47925,0.48321
2022-01-07 18:00:00,0.48312,0.48848,0.47602,0.48081
2022-01-07 19:00:00,0.48081,0.49361,0.4808,0.4907
2022-01-07 20:00:00,0.49239,0.49622,0.48808,0.48934
2022-01-07 21:00:00,0.48934,0.49072,0.48635,0.48905
2022-01-07 22:00:00,0.48869,0.49131,0.4859,0.48818
2022-01-07 23:00:00,0.48799,0.49777,0.48583,0.49487
2022-01-08 00:00:00,0.495,0.49748,0.48974,0.49151
2022-01-08 01:00:00,0.49154,0.49313,0.48875,0.49287
2022-01-08 02:00:00,0.49288,0.50547,0.49288,0.50093
2022-01-08 03:00:00,0.50094,0.50851,0.49679,0.49913
2022-01-08 04:00:00,0.49913,0.50281,0.49764,0.50281
2022-01-08 05:00:00,0.50281,0.50527,0.49547,0.49903
2022-01-08 06:00:00,0.49903,0.49903,0.49156,0.49642
2022-01-08 07:00:00,0.4948,0.49794,0.49081,0.49142
2022-01-08 08:00:00,0.49234,0.49803,0.48697,0.49214
2022-01-08 09:00:00,0.49163,0.49301,0.48,0.48
2022-01-08 10:00:00,0.47961,0.48366,0.47421,0.47663
2022-01-08 11:00:00,0.47662,0.47726,0.46504,0.4652
2022-01-08 12:00:00,0.4652,0.46879,0.45504,0.45567
2022-01-08 13:00:00,0.45567,0.46268,0.44942,0.45259
2022-01-08 14:00:00,0.45225,0.46608,0.44588,0.45086
2022-01-08 15:00:00,0.4531,0.45972,0.44835,0.45276
2022-01-08 16:00:00,0.45406,0.47353,0.45406,0.46395
2022-01-08 17:00:00,0.46395,0.47071,0.46049,0.46517
2022-01-08 18:00:00,0.46416,0.46517,0.45823,0.46013
2022-01-08 19:00:00,0.45993,0.46403,0.455,0.46086
2022-01-08 20:00:00,0.46292,0.46468,0.45549,0.45914
2022-01-08 21:00:00,0.45876,0.4703,0.45876,0.46714
2022-01-08 22:00:00,0.46568,0.46728,0.45975,0.46278
2022-01-08 23:00:00,0.46148,0.47171,0.46089,0.47171
2022-01-09 00:00:00,0.46798,0.4689,0.46231,0.46238
2022-01-09 01:00:00,0.46221,0.4709,0.46221,0.46411
2022-01-09 02:00:00,0.46413,0.46605,0.46099,0.4625
2022-01-09 03:00:00,0.46241,0.46352,0.45685,0.45763
2022-01-09 04:00:00,0.45725,0.45964,0.45388,0.45446
2022-01-09 05:00:00,0.45374,0.45868,0.45103,0.45485
2022-01-09 06:00:00,0.45485,0.46501,0.45063,0.45701
2022-01-09 07:00:00,0.45883,0.46499,0.45311,0.46298
2022-01-09 08:00:00,0.4625,0.47308,0.45901,0.45978
2022-01-09 09:00:00,0.46144,0.46526,0.45845,0.46219
2022-01-09 10:00:00,0.461,0.461,0.4493,0.4507
2022-01-09 11:00:00,0.45144,0.4653,0.45,0.46458
2022-01-09 12:00:00,0.46527,0.48464,0.46051,0.47874
2022-01-09 13:00:00,0.47835,0.49215,0.47259,0.47599
2022-01-09 14:00:00,0.47596,0.49194,0.47484,0.48513
2022-01-09 15:00:00,0.48625,0.48914,0.47483,0.47615
2022-01-09 16:00:00,0.47598,0.47766,0.47463,0.47729
2022-01-09 17:00:00,0.47561,0.48194,0.47389,0.47501
2022-01-09 18:00:00,0.47501,0.47501,0.46706,0.46971
2022-01-09 19:00:00,0.47101,0.48063,0.46584,0.47261
2022-01-09 20:00:00,0.47563,0.48051,0.47084,0.47564
2022-01-09 21:00:00,0.47647,0.47686,0.47029,0.47649
2022-01-09 22:00:00,0.47302,0.47425,0.46896,0.47425
2022-01-09 23:00:00,0.47451,0.48799,0.47301,0.48488
2022-01-10 00:00:00,0.487,0.488,0.48001,0.4838
2022-01-10 01:00:00,0.4816,0.48194,0.47402,0.48074
2022-01-10 02:00:00,0.48074,0.48284,0.47325,0.47636
2022-01-10 03:00:00,0.47637,0.48006,0.46722,0.46876
2022-01-10 04:00:00,0.46794,0.4765,0.46794,0.46901
2022-01-10 05:00:00,0.46832,0.4737,0.4657,0.46933
2022-01-10 06:00:00,0.46932,0.46932,0.457,0.457
2022-01-10 07:00:00,0.45815,0.45816,0.43743,0.44229
2022-01-10 08:00:00,0.44229,0.4472,0.4331,0.43371
2022-01-10 09:00:00,0.43364,0.43949,0.41242,0.43228
2022-01-10 10:00:00,0.42937,0.42937,0.41865,0.42376
2022-01-10 11:00:00,0.42656,0.45368,0.42652,0.45
2022-01-10 12:00:00,0.45001,0.45254,0.42518,0.43201
2022-01-10 13:00:00,0.43156,0.43862,0.42782,0.43693
2022-01-10 14:00:00,0.43466,0.44675,0.43119,0.43673
2022-01-10 15:00:00,0.43889,0.44968,0.43673,0.44735
2022-01-10 16:00:00,0.44958,0.44958,0.43701,0.44299
2022-01-10 17:00:00,0.44299,0.44653,0.43971,0.44276
2022-01-10 18:00:00,0.44069,0.45121,0.44,0.44768
2022-01-10 19:00:00,0.44758,0.44842,0.44113,0.44584
2022-01-10 20:00:00,0.4434,0.45499,0.44204,0.44956
2022-01-10 21:00:00,0.4495,0.458,0.44931,0.45456
2022-01-10 22:00:00,0.45403,0.46466,0.4514,0.46466
2022-01-10 23:00:00,0.46418,0.46599,0.45575,0.45736
2022-01-11 00:00:00,0.45686,0.46849,0.45151,0.45617
2022-01-11 01:00:00,0.459,0.46052,0.45,0.45
2022-01-11 02:00:00,0.45229,0.45365,0.4473,0.45365
2022-01-11 03:00:00,0.45365,0.4619,0.45147,0.45502
2022-01-11 04:00:00,0.45496,0.46404,0.44965,0.45659
2022-01-11 05:00:00,0.4556,0.45846,0.44601,0.44601
2022-01-11 06:00:00,0.44536,0.45365,0.44436,0.45062
2022-01-11 07:00:00,0.45062,0.45292,0.44854,0.44959
2022-01-11 08:00:00,0.44968,0.46056,0.4487,0.45328
2022-01-11 09:00:00,0.45042,0.47965,0.44579,0.47079
2022-01-11 10:00:00,0.47003,0.50998,0.46517,0.47076
2022-01-11 11:00:00,0.46912,0.48,0.46305,0.46801
2022-01-11 12:00:00,0.468,0.4813,0.468,0.4717
2022-01-11 13:00:00,0.47172,0.47455,0.46797,0.4695
2022-01-11 14:00:00,0.46837,0.47314,0.46416,0.47175
2022-01-11 15:00:00,0.47176,0.47176,0.4684,0.46999
2022-01-11 16:00:00,0.46999,0.47805,0.46726,0.47146
2022-01-11 17:00:00,0.4738,0.47767,0.46952,0.47561
