datetime,SOLUSD_open,SOLUSD_high,SOLUSD_low,SOLUSD_close
2022-01-03 22:00:00,169.01,170.69,168.55,170.03
2022-01-03 23:00:00,170.07,171.09,169.51,170.13
2022-01-04 00:00:00,170.19,170.35,168.09,168.38
2022-01-04 01:00:00,168.38,169.54,167.75,167.84
2022-01-04 02:00:00,167.84,168.29,166.97,167.7
2022-01-04 03:00:00,167.66,168.09,167.01,167.81
2022-01-04 04:00:00,167.84,168.31,166.5,166.8
2022-01-04 05:00:00,166.8,168.32,166.58,167.5
2022-01-04 06:00:00,167.5,168.22,167.03,168.0
2022-01-04 07:00:00,168.0,169.23,167.49,169.01
2022-01-04 08:00:00,169.03,169.65,168.38,168.68
2022-01-04 09:00:00,168.68,169.05,167.53,167.81
2022-01-04 10:00:00,167.86,170.34,167.29,169.83
2022-01-04 11:00:00,169.87,172.27,169.87,171.59
2022-01-04 12:00:00,171.62,171.96,170.51,171.73
2022-01-04 13:00:00,171.75,172.26,170.78,171.56
2022-01-04 14:00:00,171.56,173.43,171.29,173.04
2022-01-04 15:00:00,173.07,173.88,171.52,172.17
2022-01-04 16:00:00,172.15,172.54,170.84,171.5
2022-01-04 17:00:00,171.5,171.79,170.01,170.05
2022-01-04 18:00:00,170.11,170.88,167.0,167.5
2022-01-04 19:00:00,167.52,169.6,167.11,168.59
2022-01-04 20:00:00,168.59,169.45,168.08,168.64
2022-01-04 21:00:00,168.67,169.27,168.19,169.08
2022-01-04 22:00:00,169.01,169.21,168.09,168.89
2022-01-04 23:00:00,168.86,168.95,167.46,167.72
2022-01-05 00:00:00,167.72,168.93,167.12,168.9
2022-01-05 01:00:00,168.88,168.9,167.18,167.28
2022-01-05 02:00:00,167.28,168.63,167.24,168.41
2022-01-05 03:00:00,168.42,169.32,168.4,169.16
2022-01-05 04:00:00,169.15,169.38,168.29,168.65
2022-01-05 05:00:00,168.65,169.11,168.09,169.0
2022-01-05 06:00:00,169.0,170.12,168.53,170.08
2022-01-05 07:00:00,170.09,170.46,169.44,169.9
2022-01-05 08:00:00,169.93,170.09,169.08,169.78
2022-01-05 09:00:00,169.82,170.89,169.61,170.85
2022-01-05 10:00:00,170.83,171.34,169.75,170.71
2022-01-05 11:00:00,170.72,170.83,168.01,168.51
2022-01-05 12:00:00,168.51,168.97,167.53,168.75
2022-01-05 13:00:00,168.75,169.26,168.02,168.52
2022-01-05 14:00:00,168.52,168.9,167.48,168.21
2022-01-05 15:00:00,168.22,169.27,167.9,168.19
2022-01-05 16:00:00,168.18,168.64,167.28,167.65
2022-01-05 17:00:00,167.63,168.09,163.06,163.59
2022-01-05 18:00:00,163.59,165.39,162.41,163.88
2022-01-05 19:00:00,163.83,164.35,157.53,158.68
2022-01-05 20:00:00,158.68,159.73,155.3,156.26
2022-01-05 21:00:00,156.28,158.26,153.26,153.37
2022-01-05 22:00:00,153.36,154.25,145.0,151.43
2022-01-05 23:00:00,151.45,156.26,150.99,154.44
2022-01-06 00:00:00,154.47,154.82,152.72,154.38
2022-01-06 01:00:00,154.35,154.43,151.61,152.47
2022-01-06 02:00:00,152.47,152.71,150.5,150.79
2022-01-06 03:00:00,150.8,151.4,148.0,148.07
2022-01-06 04:00:00,148.09,150.58,147.07,149.5
2022-01-06 05:00:00,149.47,150.99,148.51,149.36
2022-01-06 06:00:00,149.36,150.18,148.56,149.31
2022-01-06 07:00:00,149.39,150.79,148.79,150.67
2022-01-06 08:00:00,150.71,150.93,148.78,149.64
2022-01-06 09:00:00,149.65,149.8,146.74,146.99
2022-01-06 10:00:00,147.02,148.75,145.76,148.34
2022-01-06 11:00:00,148.36,148.76,146.6,147.51
2022-01-06 12:00:00,147.47,149.13,146.22,149.05
2022-01-06 13:00:00,149.05,150.02,148.24,149.42
2022-01-06 14:00:00,149.44,151.12,148.02,148.49
