datetime,MKRUSD_open,MKRUSD_high,MKRUSD_low,MKRUSD_close
2022-01-01 00:00:00,2331.92,2359.8,2331.92,2353.06
2022-01-01 01:00:00,2354.09,2357.48,2337.42,2346.07
2022-01-01 02:00:00,2347.94,2355.15,2343.49,2347.34
2022-01-01 03:00:00,2348.23,2348.31,2334.68,2336.57
2022-01-01 04:00:00,2336.57,2337.33,2321.68,2332.84
2022-01-01 05:00:00,2330.79,2367.52,2322.46,2356.4
2022-01-01 06:00:00,2359.4,2367.88,2345.0,2347.66
2022-01-01 07:00:00,2347.9,2359.97,2342.0,2355.79
2022-01-01 08:00:00,2353.91,2365.88,2352.65,2359.3
2022-01-01 09:00:00,2358.13,2392.56,2350.1,2373.12
2022-01-01 10:00:00,2372.32,2375.36,2328.04,2339.55
2022-01-01 11:00:00,2340.34,2347.73,2338.54,2339.63
2022-01-01 12:00:00,2339.63,2360.05,2337.74,2360.05
2022-01-01 13:00:00,2360.08,2365.51,2353.41,2358.56
2022-01-01 14:00:00,2357.22,2366.83,2351.75,2359.13
2022-01-01 15:00:00,2360.14,2387.85,2358.7,2376.33
2022-01-01 16:00:00,2377.44,2403.5,2377.15,2393.91
2022-01-01 17:00:00,2393.15,2449.0,2388.6,2417.62
2022-01-01 18:00:00,2418.13,2437.95,2415.68,2423.06
2022-01-01 19:00:00,2425.39,2429.44,2399.01,2401.85
2022-01-01 20:00:00,2401.85,2407.1,2396.33,2401.18
2022-01-01 21:00:00,2400.91,2410.43,2393.88,2396.57
2022-01-01 22:00:00,2396.48,2399.48,2386.81,2395.48
2022-01-01 23:00:00,2397.49,2460.16,2392.42,2419.71
2022-01-02 00:00:00,2421.33,2427.62,2380.6,2390.15
2022-01-02 01:00:00,2390.75,2390.75,2371.55,2384.07
2022-01-02 02:00:00,2385.09,2388.36,2360.66,2361.98
2022-01-02 03:00:00,2362.25,2363.99,2351.75,2353.87
2022-01-02 04:00:00,2354.8,2359.69,2326.36,2330.82
2022-01-02 05:00:00,2331.76,2345.17,2331.76,2341.75
2022-01-02 06:00:00,2341.04,2347.21,2336.38,2340.49
2022-01-02 07:00:00,2340.02,2350.93,2339.55,2345.11
2022-01-02 08:00:00,2344.18,2371.46,2337.65,2369.16
2022-01-02 09:00:00,2368.1,2383.3,2366.69,2375.65
2022-01-02 10:00:00,2374.41,2378.31,2372.28,2372.98
2022-01-02 11:00:00,2374.76,2382.6,2371.59,2374.29
