datetime,GALABUSD_open,GALABUSD_high,GALABUSD_low,GALABUSD_close
2022-01-01 00:00:00,0.45362,0.462,0.45266,0.45781
2022-01-01 01:00:00,0.45793,0.46047,0.45645,0.45708
2022-01-01 02:00:00,0.45708,0.46076,0.45538,0.46021
2022-01-01 03:00:00,0.46035,0.46035,0.45704,0.45741
2022-01-01 04:00:00,0.4576,0.45863,0.4545,0.45636
2022-01-01 05:00:00,0.45641,0.45782,0.45253,0.45418
2022-01-01 06:00:00,0.45432,0.45524,0.45246,0.45272
2022-01-01 07:00:00,0.4528,0.45599,0.4528,0.45558
2022-01-01 08:00:00,0.45556,0.45596,0.45364,0.45515
2022-01-01 09:00:00,0.45552,0.45792,0.45481,0.45679
2022-01-01 10:00:00,0.4568,0.46197,0.45597,0.45962
2022-01-01 11:00:00,0.45959,0.46098,0.45735,0.45821
2022-01-01 12:00:00,0.45826,0.46292,0.45641,0.46089
2022-01-01 13:00:00,0.46142,0.46243,0.45912,0.46188
2022-01-01 14:00:00,0.46197,0.46468,0.45957,0.46027
2022-01-01 15:00:00,0.46027,0.46283,0.45934,0.46165
2022-01-01 16:00:00,0.46205,0.46209,0.45832,0.45846
2022-01-01 17:00:00,0.45851,0.46025,0.45798,0.4587
2022-01-01 18:00:00,0.45884,0.46323,0.458,0.46133
2022-01-01 19:00:00,0.46163,0.46198,0.4554,0.4583
2022-01-01 20:00:00,0.45848,0.45883,0.457,0.45801
2022-01-01 21:00:00,0.458,0.459,0.45677,0.45746
2022-01-01 22:00:00,0.45759,0.459,0.45716,0.4578
2022-01-01 23:00:00,0.4578,0.45821,0.451,0.45315
2022-01-02 00:00:00,0.4531,0.45553,0.45275,0.45494
2022-01-02 01:00:00,0.45487,0.45696,0.4545,0.45587
2022-01-02 02:00:00,0.45587,0.45823,0.45559,0.45674
2022-01-02 03:00:00,0.45674,0.45716,0.45412,0.45711
2022-01-02 04:00:00,0.45694,0.46017,0.45662,0.45817
2022-01-02 05:00:00,0.45798,0.45987,0.45708,0.45724
2022-01-02 06:00:00,0.4571,0.45961,0.45683,0.45786
2022-01-02 07:00:00,0.45777,0.45983,0.45607,0.45902
2022-01-02 08:00:00,0.45902,0.45902,0.45688,0.4574
2022-01-02 09:00:00,0.45782,0.45822,0.45504,0.4567
2022-01-02 10:00:00,0.457,0.45912,0.45575,0.45863
2022-01-02 11:00:00,0.4582,0.46417,0.4582,0.46297
2022-01-02 12:00:00,0.4632,0.4641,0.45837,0.45915
2022-01-02 13:00:00,0.45907,0.45913,0.4521,0.45713
2022-01-02 14:00:00,0.45678,0.45814,0.45514,0.45635
2022-01-02 15:00:00,0.45614,0.45718,0.4549,0.45545
2022-01-02 16:00:00,0.45511,0.45626,0.45424,0.45491
2022-01-02 17:00:00,0.45474,0.4566,0.45459,0.45551
2022-01-02 18:00:00,0.4555,0.45771,0.455,0.45694
2022-01-02 19:00:00,0.45666,0.45689,0.45475,0.45554
2022-01-02 20:00:00,0.45535,0.456,0.45345,0.45597
