datetime,BIFIBUSD_open,BIFIBUSD_high,BIFIBUSD_low,BIFIBUSD_close
2022-01-01 00:00:00,1204.0,1218.4,1202.2,1213.8
2022-01-01 01:00:00,1211.4,1211.4,1204.9,1204.9
2022-01-01 02:00:00,1205.0,1205.0,1202.2,1202.2
2022-01-01 03:00:00,1202.2,1206.8,1201.0,1206.8
2022-01-01 04:00:00,1202.6,1209.0,1201.0,1203.0
2022-01-01 05:00:00,1201.1,1203.7,1199.6,1199.6
2022-01-01 06:00:00,1199.6,1205.7,1199.6,1200.0
2022-01-01 07:00:00,1199.7,1208.8,1199.7,1205.1
2022-01-01 08:00:00,1205.1,1219.4,1205.1,1215.1
2022-01-01 09:00:00,1212.4,1225.4,1212.4,1214.7
2022-01-01 10:00:00,1215.0,1223.7,1215.0,1223.7
2022-01-01 11:00:00,1217.5,1220.4,1213.3,1216.4
2022-01-01 12:00:00,1214.2,1225.0,1212.4,1221.2
2022-01-01 13:00:00,1221.6,1225.4,1203.5,1214.7
2022-01-01 14:00:00,1211.3,1218.9,1205.4,1209.7
2022-01-01 15:00:00,1207.4,1209.7,1199.6,1203.5
2022-01-01 16:00:00,1201.9,1207.6,1199.6,1199.6
2022-01-01 17:00:00,1201.7,1212.7,1201.7,1210.7
2022-01-01 18:00:00,1207.8,1219.4,1206.8,1217.9
2022-01-01 19:00:00,1217.0,1217.0,1206.0,1210.8
2022-01-01 20:00:00,1210.8,1210.8,1204.9,1207.4
2022-01-01 21:00:00,1204.9,1206.3,1203.5,1206.3
2022-01-01 22:00:00,1205.8,1205.8,1203.3,1203.3
2022-01-01 23:00:00,1203.0,1222.0,1198.7,1211.5
2022-01-02 00:00:00,1209.7,1210.0,1203.2,1206.7
2022-01-02 01:00:00,1205.9,1207.6,1205.9,1207.2
2022-01-02 02:00:00,1205.6,1212.9,1205.6,1210.3
2022-01-02 03:00:00,1210.3,1210.3,1194.8,1204.7
2022-01-02 04:00:00,1203.2,1213.5,1202.8,1213.5
2022-01-02 05:00:00,1213.0,1213.5,1209.7,1213.5
2022-01-02 06:00:00,1210.9,1219.5,1204.9,1204.9
2022-01-02 07:00:00,1204.9,1209.1,1203.9,1209.1
2022-01-02 08:00:00,1206.8,1213.0,1204.2,1208.8
2022-01-02 09:00:00,1208.7,1210.8,1201.4,1210.6
2022-01-02 10:00:00,1208.5,1213.6,1205.1,1213.6
2022-01-02 11:00:00,1211.3,1218.5,1179.0,1212.6
2022-01-02 12:00:00,1209.1,1215.7,1199.7,1199.7
2022-01-02 13:00:00,1199.7,1202.5,1189.6,1195.6
2022-01-02 14:00:00,1195.6,1201.1,1195.2,1200.0
2022-01-02 15:00:00,1197.6,1200.0,1196.8,1198.3
2022-01-02 16:00:00,1197.2,1199.8,1196.8,1197.6
2022-01-02 17:00:00,1199.5,1205.2,1199.5,1204.7
2022-01-02 18:00:00,1201.0,1213.3,1201.0,1213.3
2022-01-02 19:00:00,1211.1,1212.6,1205.8,1205.8
2022-01-02 20:00:00,1204.6,1207.6,1200.0,1207.4
2022-01-02 21:00:00,1205.2,1208.7,1202.6,1202.6
2022-01-02 22:00:00,1200.1,1200.1,1190.8,1193.3
2022-01-02 23:00:00,1191.0,1193.3,1190.7,1190.7
2022-01-03 00:00:00,1190.5,1198.3,1190.0,1194.6
2022-01-03 01:00:00,1195.1,1195.3,1190.0,1194.5
2022-01-03 02:00:00,1191.7,1207.0,1190.1,1202.0
2022-01-03 03:00:00,1202.1,1202.1,1199.0,1199.1
2022-01-03 04:00:00,1199.1,1210.0,1199.1,1202.9
2022-01-03 05:00:00,1201.6,1209.9,1201.6,1208.0
2022-01-03 06:00:00,1208.0,1215.6,1208.0,1208.7
2022-01-03 07:00:00,1210.6,1212.7,1206.9,1209.3
2022-01-03 08:00:00,1207.9,1214.8,1207.0,1208.3
2022-01-03 09:00:00,1208.2,1220.1,1208.2,1216.1
2022-01-03 10:00:00,1214.1,1214.1,1209.8,1209.8
2022-01-03 11:00:00,1209.4,1209.4,1190.0,1190.0
2022-01-03 12:00:00,1190.0,1203.0,1190.0,1203.0
2022-01-03 13:00:00,1201.8,1209.0,1199.6,1206.4
2022-01-03 14:00:00,1206.5,1206.6,1201.5,1201.5
2022-01-03 15:00:00,1201.5,1201.9,1189.9,1189.9
2022-01-03 16:00:00,1189.9,1207.2,1189.9,1207.2
2022-01-03 17:00:00,1204.6,1211.0,1198.9,1205.8
2022-01-03 18:00:00,1207.0,1215.1,1206.1,1210.0
2022-01-03 19:00:00,1208.8,1212.1,1207.1,1212.0
2022-01-03 20:00:00,1209.6,1209.6,1209.5,1209.5
2022-01-03 21:00:00,1206.6,1206.6,1204.5,1206.1
2022-01-03 22:00:00,1204.1,1208.1,1198.3,1200.7
2022-01-03 23:00:00,1206.1,1206.1,1200.0,1203.7
2022-01-04 00:00:00,1199.9,1204.0,1195.9,1195.9
2022-01-04 01:00:00,1195.9,1202.9,1195.9,1202.9
2022-01-04 02:00:00,1203.4,1211.4,1199.4,1204.9
2022-01-04 03:00:00,1204.7,1204.7,1199.6,1200.2
2022-01-04 04:00:00,1200.0,1207.4,1197.0,1197.0
2022-01-04 05:00:00,1197.0,1231.4,1197.0,1223.1
2022-01-04 06:00:00,1224.2,1226.8,1221.6,1223.3
2022-01-04 07:00:00,1223.1,1226.5,1221.7,1226.4
2022-01-04 08:00:00,1224.0,1227.0,1223.0,1227.0
2022-01-04 09:00:00,1224.6,1319.6,1223.9,1247.4
2022-01-04 10:00:00,1248.4,1261.1,1247.3,1253.4
2022-01-04 11:00:00,1254.6,1264.4,1240.0,1250.1
2022-01-04 12:00:00,1250.1,1262.1,1250.1,1259.7
2022-01-04 13:00:00,1257.5,1262.1,1240.0,1240.0
2022-01-04 14:00:00,1240.0,1267.1,1235.4,1247.3
2022-01-04 15:00:00,1243.3,1258.0,1237.5,1245.7
2022-01-04 16:00:00,1243.4,1246.7,1226.3,1235.3
2022-01-04 17:00:00,1232.5,1232.8,1225.0,1232.8
2022-01-04 18:00:00,1229.4,1229.4,1224.0,1226.7
2022-01-04 19:00:00,1224.4,1234.0,1215.5,1234.0
2022-01-04 20:00:00,1229.3,1231.6,1226.1,1226.1
2022-01-04 21:00:00,1226.3,1233.7,1226.3,1233.7
2022-01-04 22:00:00,1230.2,1234.0,1229.1,1231.3
2022-01-04 23:00:00,1231.0,1231.5,1229.1,1229.1
2022-01-05 00:00:00,1229.1,1231.4,1228.8,1229.1
2022-01-05 01:00:00,1229.1,1235.9,1228.4,1235.7
2022-01-05 02:00:00,1230.8,1233.6,1220.9,1233.6
