datetime,BTCTUSD_open,BTCTUSD_high,BTCTUSD_low,BTCTUSD_close
2022-01-01 00:00:00,46709.76,47535.43,46680.58,47197.66
2022-01-01 01:00:00,47159.2,47314.6,46968.65,46968.65
2022-01-01 02:00:00,47016.82,47172.69,46919.68,47145.35
2022-01-01 03:00:00,47210.38,47295.53,47087.27,47106.93
2022-01-01 04:00:00,47095.05,47225.42,46946.06,47110.25
2022-01-01 05:00:00,47188.8,47290.01,46748.18,46874.8
2022-01-01 06:00:00,46872.81,46976.49,46757.58,46757.58
2022-01-01 07:00:00,46795.39,47131.49,46772.55,47096.28
2022-01-01 08:00:00,47128.13,47182.49,46971.98,47012.26
2022-01-01 09:00:00,47045.28,47099.51,46875.16,46940.09
2022-01-01 10:00:00,46908.4,47465.97,46908.4,47212.46
2022-01-01 11:00:00,47237.13,47501.56,47205.26,47267.91
2022-01-01 12:00:00,47298.94,47933.15,47239.76,47756.11
2022-01-01 13:00:00,47779.71,47822.72,47418.53,47522.58
2022-01-01 14:00:00,47588.64,47621.89,47292.31,47336.13
2022-01-01 15:00:00,47333.14,47550.52,47252.39,47402.44
2022-01-01 16:00:00,47394.13,47544.29,47296.24,47325.26
2022-01-01 17:00:00,47304.99,47493.46,47261.01,47435.69
2022-01-01 18:00:00,47301.99,47808.25,47301.99,47735.07
2022-01-01 19:00:00,47727.97,47756.7,47384.49,47633.95
2022-01-01 20:00:00,47532.23,47551.03,47313.59,47371.92
2022-01-01 21:00:00,47360.98,47443.55,47304.03,47419.02
2022-01-01 22:00:00,47401.38,47454.58,47291.57,47326.28
2022-01-01 23:00:00,47376.96,47432.41,46786.8,46939.0
2022-01-02 00:00:00,46871.88,47097.38,46810.6,47083.4
2022-01-02 01:00:00,47090.79,47220.06,47001.02,47126.28
2022-01-02 02:00:00,47086.97,47295.81,47086.97,47144.74
2022-01-02 03:00:00,47119.43,47238.47,47013.98,47192.6
2022-01-02 04:00:00,47200.47,47467.75,47140.38,47292.05
2022-01-02 05:00:00,47270.36,47351.48,47241.1,47250.27
2022-01-02 06:00:00,47191.71,47370.82,47189.18,47252.05
2022-01-02 07:00:00,47248.42,47440.74,47052.27,47305.35
2022-01-02 08:00:00,47287.28,47302.94,47093.03,47159.24
2022-01-02 09:00:00,47125.7,47200.0,47033.8,47109.08
2022-01-02 10:00:00,47129.95,47374.58,47073.69,47350.22
2022-01-02 11:00:00,47362.4,47878.63,47314.11,47801.23
2022-01-02 12:00:00,47869.81,47979.13,47121.66,47438.14
2022-01-02 13:00:00,47392.63,47392.63,46718.5,47071.57
2022-01-02 14:00:00,47028.69,47206.7,46862.62,46920.32
2022-01-02 15:00:00,46897.67,47051.75,46835.11,47010.75
2022-01-02 16:00:00,46995.77,47178.46,46953.23,47015.8
2022-01-02 17:00:00,47038.95,47399.2,47038.57,47252.27
2022-01-02 18:00:00,47352.21,47470.9,47237.69,47352.72
2022-01-02 19:00:00,47285.54,47296.45,47053.48,47053.48
2022-01-02 20:00:00,47054.49,47154.56,46977.95,47115.75
2022-01-02 21:00:00,47120.38,47125.49,46873.18,46992.13
2022-01-02 22:00:00,47041.0,47057.66,46748.62,46819.94
2022-01-02 23:00:00,46794.6,46942.96,46794.6,46818.35
2022-01-03 00:00:00,46872.51,47202.02,46787.21,47088.24
2022-01-03 01:00:00,47093.43,47106.5,46910.1,46923.03
2022-01-03 02:00:00,46893.25,47072.82,46854.45,47045.21
2022-01-03 03:00:00,47093.37,47141.34,46943.48,46973.08
2022-01-03 04:00:00,46995.47,47095.61,46784.32,46966.94
2022-01-03 05:00:00,46999.71,47236.86,46999.71,47142.88
2022-01-03 06:00:00,47190.47,47424.87,47190.47,47410.42
2022-01-03 07:00:00,47372.04,47556.72,47197.98,47197.98
2022-01-03 08:00:00,47218.81,47349.1,47147.25,47147.25
2022-01-03 09:00:00,47147.25,47267.04,46771.64,46885.08
2022-01-03 10:00:00,46873.07,46977.41,46595.35,46705.19
2022-01-03 11:00:00,46634.15,46742.62,46302.74,46490.32
2022-01-03 12:00:00,46487.95,46776.16,46432.01,46618.49
2022-01-03 13:00:00,46582.08,46703.34,46417.65,46466.75
2022-01-03 14:00:00,46469.44,46637.33,46381.24,46403.91
2022-01-03 15:00:00,46350.8,46389.0,45715.07,45865.27
2022-01-03 16:00:00,45989.61,46261.67,45837.77,45986.96
2022-01-03 17:00:00,45983.27,46423.02,45970.23,46227.67
2022-01-03 18:00:00,46294.79,46556.82,46194.76,46430.02
2022-01-03 19:00:00,46501.03,46511.65,46178.35,46199.26
2022-01-03 20:00:00,46241.53,46393.52,46060.94,46071.71
2022-01-03 21:00:00,46088.7,46255.74,45967.79,46089.52
2022-01-03 22:00:00,46093.84,46388.39,46055.58,46343.96
2022-01-03 23:00:00,46294.84,46398.37,46045.63,46094.28
2022-01-04 00:00:00,46070.54,46292.72,46053.35,46118.56
2022-01-04 01:00:00,46158.4,46375.88,46076.09,46375.88
2022-01-04 02:00:00,46360.15,46580.32,46335.79,46509.08
2022-01-04 03:00:00,46558.19,46664.28,46416.65,46501.37
2022-01-04 04:00:00,46501.37,46572.85,46315.79,46352.52
2022-01-04 05:00:00,46396.23,46733.95,46326.45,46659.36
2022-01-04 06:00:00,46654.64,46750.01,46639.76,46748.4
2022-01-04 07:00:00,46762.51,46762.51,46484.17,46669.37
2022-01-04 08:00:00,46613.76,47061.51,46450.16,46954.88
2022-01-04 09:00:00,47008.66,47456.17,46835.11,47377.02
2022-01-04 10:00:00,47377.02,47514.73,46853.22,46910.93
2022-01-04 11:00:00,46901.12,46901.12,46661.25,46779.55
2022-01-04 12:00:00,46752.65,46982.03,46550.0,46550.0
2022-01-04 13:00:00,46550.0,46700.7,45557.74,45737.02
2022-01-04 14:00:00,45648.86,46434.67,45589.15,46019.1
2022-01-04 15:00:00,46109.65,46400.88,45954.6,46262.83
2022-01-04 16:00:00,46259.96,46259.96,46003.26,46249.15
2022-01-04 17:00:00,46190.56,46198.99,45981.03,46055.3
2022-01-04 18:00:00,46068.93,46108.92,45757.42,45857.43
